Id,Label,timeset,module,cached,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
23,generateDebugResources,,:bypass,false,1,2,3,1,2,3,3,0.571429,0.708333,262,0.000031,0.000131,11,0.003198,8,23,0,0.045334
24,dataBindingMergeDependencyArtifactsDebug,,:core,true,2,1,3,2,1,3,2,0.666667,0.75,0.5,0.006937,0.00372,12,0.002539,8,24,0.333333,0.111263
25,packageDebugResources,,:bypass,true,8,2,10,8,2,10,2,0.625,0.7,519,0.016224,0.00032,11,0.005526,8,25,0.033333,0.189797
26,processDebugManifest,,:bypass,true,12,2,14,12,2,14,2,0.75,0.833333,372.901948,0.033759,0.000323,11,0.020987,8,26,0.071429,0.565047
27,dataBindingMergeGenClassesDebug,,:core,false,1,1,2,1,1,2,2,0.666667,0.75,0,0.000489,0.00372,12,0.001958,8,27,0.5,0.059436
28,generateDebugResValues,,:core,true,1,1,2,1,1,2,2,0.666667,0.75,1,0.000321,0.00372,12,0.002167,8,28,0,0.016013
29,generateDebugRFile,,:bypass,true,13,3,16,13,3,16,3,0.533333,0.645833,624.537951,0.028276,0.005115,11,0.009776,8,29,0.116667,0.415541
30,processDebugManifest,,:core,true,12,2,14,12,2,14,2,0.75,0.833333,347.663853,0.036933,0.00379,12,0.019794,8,30,0.071429,0.563777
31,packageDebugRenderscript,,:core,false,7,1,8,7,1,8,2,0.666667,0.75,32,0.007894,0.00372,12,0.004411,8,31,0.017857,0.108805
32,prepareLintJar,,:about,false,1,0,1,1,0,1,0,0,0,0,0.001508,0,10,0.001167,8,32,0,0.00915
33,preBuild,,:app,false,1,0,1,1,0,1,0,0,0,0,0.000664,0,16,0.005165,8,33,0,0.123093
34,preBuild,,:designernews,false,1,0,1,1,0,1,0,0,0,0,0.002987,0,14,0.004034,8,34,0,0.074131
35,preBuild,,:dribbble,false,1,0,1,1,0,1,0,0,0,0,0.002987,0,13,0.004034,8,35,0,0.074131
36,preBuild,,:search,false,1,0,1,1,0,1,0,0,0,0,0.002987,0,15,0.00366,8,36,0,0.057415
37,processDebugGoogleServices,,:app,false,3,0,3,3,0,3,0,0,0,0,0.001957,0,16,0.001704,8,37,0.333333,0.042912
38,mergeDebugShaders,,:core,true,1,1,2,1,1,2,2,0.666667,0.75,0,0.00036,0.00372,12,0.001888,8,38,0.5,0.009014
39,prepareLintJar,,:app,false,1,0,1,1,0,1,0,0,0,0,0.001152,0,16,0.001092,8,39,0,0.013101
40,compileDebugShaders,,:core,true,2,2,4,2,2,4,2,0.75,0.833333,82,0.000367,0.003754,12,0.002447,8,40,0.25,0.020636
41,generateDebugAssets,,:core,false,1,1,2,1,1,2,3,0.5,0.583333,0,0.000364,0.000035,12,0.001323,8,41,0.5,0.01394
42,packageDebugAssets,,:core,true,6,3,9,6,3,9,2,0.714286,0.8,247.424603,0.017748,0.00379,12,0.001676,8,42,0.041667,0.026929
43,processDebugJavaRes,,:core,false,2,1,3,2,1,3,2,0.666667,0.75,1,0.001743,0.00372,12,0.001608,8,43,0.166667,0.024886
44,mergeDebugJniLibFolders,,:core,true,1,1,2,1,1,2,2,0.666667,0.75,6,0,0.00372,12,0.003346,8,44,0,0.007953
45,prepareLintJar,,:designernews,false,1,0,1,1,0,1,0,0,0,0,0.001508,0,14,0.001167,8,45,0,0.00915
46,prepareLintJar,,:dribbble,false,1,0,1,1,0,1,0,0,0,0,0.001508,0,13,0.001167,8,46,0,0.00915
47,prepareLintJar,,:search,false,1,0,1,1,0,1,0,0,0,0,0.001392,0,15,0.001063,8,47,0,0.005687
48,preBuild,,:test_shared,false,1,0,1,1,0,1,0,0,0,0,0,0,9,0.012602,8,48,0,0.052018
49,preDebugBuild,,:test_shared,false,18,1,19,18,1,19,1,1,1,28,0.043579,0,9,0.013833,8,49,0.067251,0.146104
50,compileDebugAidl,,:test_shared,false,5,3,8,5,3,8,3,0.533333,0.645833,24.166667,0.038034,0.009328,9,0.001725,8,50,0.160714,0.039236
51,transformNativeLibsWithMergeJniLibsForDebug,,:core,false,2,1,3,2,1,3,3,0.5,0.611111,23,0,0,12,0.002939,8,51,0,0.015582
52,transformNativeLibsWithIntermediateJniLibsForDebug,,:core,false,5,1,6,5,1,6,4,0.4,0.520833,30,0.013223,0,11,0.001543,8,52,0,0.020308
53,mergeDebugConsumerProguardFiles,,:core,false,1,0,1,1,0,1,0,0,0,0,0.003617,0,12,0.000916,8,53,0,0.00366
54,prepareLintJarForPublish,,:core,false,1,0,1,1,0,1,0,0,0,0,0.003617,0,12,0.000916,8,54,0,0.00366
55,checkDebugManifest,,:test_shared,false,2,1,3,2,1,3,2,0.666667,0.75,0,0.000818,0.004183,9,0.002062,8,55,0.333333,0.023047
56,transformNativeLibsWithSyncJniLibsForDebug,,:core,false,1,1,2,1,1,2,4,0.4,0.520833,4,0.003617,0,12,0.000916,8,56,0,0.00366
57,generateDebugBuildConfig,,:test_shared,true,4,2,6,4,2,6,2,0.75,0.833333,8.916667,0.036799,0.004262,9,0.00164,8,57,0.233333,0.035576
58,generateDebugResValues,,:test_shared,true,1,1,2,1,1,2,2,0.666667,0.75,1,0.000345,0.004183,9,0.001428,8,58,0,0.005093
59,processDebugManifest,,:test_shared,true,2,2,4,2,2,4,2,0.75,0.833333,3.25,0.002595,0.004262,9,0.001216,8,59,0.333333,0.019533
60,prepareLintJar,,:test_shared,false,1,0,1,1,0,1,0,0,0,0,0.001041,0,9,0.001072,8,60,0,0.005698
61,mergeDebugConsumerProguardFiles,,:test_shared,false,1,0,1,1,0,1,0,0,0,0,0.001236,0,9,0.000933,8,61,0,0.00366
62,mergeDebugShaders,,:test_shared,true,1,1,2,1,1,2,2,0.666667,0.75,0,0.000405,0.004183,9,0.001723,8,62,0.5,0.005995
63,compileDebugShaders,,:test_shared,true,2,2,4,2,2,4,2,0.75,0.833333,6,0.000413,0.004222,9,0.002059,8,63,0.25,0.008201
64,generateDebugAssets,,:test_shared,false,1,1,2,1,1,2,3,0.5,0.583333,0,0.000409,0.00004,9,0.001112,8,64,0.5,0.004062
65,packageDebugAssets,,:test_shared,true,1,3,4,1,3,4,2,0.714286,0.8,6,0.001236,0.004262,9,0.000933,8,65,0.25,0.00366
66,packageDebugRenderscript,,:test_shared,false,1,1,2,1,1,2,2,0.666667,0.75,0,0.001236,0.004183,9,0.000933,8,66,0.5,0.00366
67,prepareLintJarForPublish,,:test_shared,false,1,0,1,1,0,1,0,0,0,0,0.001236,0,9,0.000933,8,67,0,0.00366
68,processDebugJavaRes,,:test_shared,false,1,1,2,1,1,2,2,0.666667,0.75,1,0.000465,0.004183,9,0.001133,8,68,0,0.004139
69,mergeDebugJniLibFolders,,:test_shared,true,1,1,2,1,1,2,2,0.666667,0.75,4,0,0.004183,9,0.002244,8,69,0,0.004139
70,transformNativeLibsWithMergeJniLibsForDebug,,:test_shared,false,1,1,2,1,1,2,3,0.5,0.611111,5,0,0,9,0.001642,8,70,0,0.004062
71,transformNativeLibsWithSyncJniLibsForDebug,,:test_shared,false,1,1,2,1,1,2,4,0.4,0.520833,4,0.001236,0,9,0.000933,8,71,0,0.00366
72,compileDebugKotlin,,:bypass,true,8,4,12,8,4,12,4,0.5,0.628788,345.795382,0.00166,0.003869,11,0.009242,8,72,0.143939,0.331906
73,prepareLintJar,,:bypass,false,1,0,1,1,0,1,0,0,0,0,0.000112,0,11,0.001222,8,73,0,0.01469
74,generateDebugSources,,:bypass,false,1,4,5,1,4,5,3,0.636364,0.761905,234,0.000425,0.001166,11,0.001762,8,74,0.15,0.062846
75,javaPreCompileDebug,,:bypass,true,1,2,3,1,2,3,5,0.4,0.495833,0,0.000425,0.000476,11,0.001762,8,75,0.333333,0.062846
76,compileDebugJavaWithJavac,,:bypass,true,7,8,15,7,8,15,4,0.6,0.738889,1050.795382,0.001201,0.004427,11,0.008606,8,76,0.147619,0.258031
77,bundleLibRuntimeDebug,,:bypass,false,10,4,14,10,4,14,4,0.484848,0.578125,1639.064214,0.10577,0.003306,13,0.014112,8,77,0.071429,0.244875
78,bundleLibCompileDebug,,:bypass,false,40,3,43,40,3,43,5,0.421053,0.517708,681.775036,0.561555,0.000592,10,0.009461,8,78,0.030454,0.560057
79,packageDebugRenderscript,,:bypass,false,8,1,9,8,1,9,2,0.666667,0.75,40,0.005771,0.000317,11,0.00634,8,79,0.013889,0.155595
80,compileDebugRenderscript,,:core,false,6,2,8,6,2,8,3,0.555556,0.666667,138.333333,0.034472,0.004274,12,0.004501,8,80,0.107143,0.206593
81,generateDebugSources,,:core,false,2,4,6,2,4,6,4,0.5,0.628788,233,0.009267,0.010936,12,0.002636,8,81,0.133333,0.111493
82,compileDebugRenderscript,,:test_shared,false,5,3,8,5,3,8,3,0.533333,0.645833,38.166667,0.037144,0.005495,9,0.00222,8,82,0.107143,0.040669
83,generateDebugResources,,:test_shared,false,1,2,3,1,2,3,4,0.4,0.5,21,0.000405,0.003599,9,0.001365,8,83,0,0.00865
84,mergeDebugShaders,,:bypass,true,1,1,2,1,1,2,2,0.666667,0.75,0,0.000031,0.000317,11,0.001892,8,84,0.5,0.009014
85,compileDebugShaders,,:bypass,true,2,2,4,2,2,4,2,0.75,0.833333,82,0.000031,0.00032,11,0.002456,8,85,0.25,0.020636
86,dataBindingExportBuildInfoDebug,,:core,false,4,2,6,4,2,6,5,0.4,0.495833,9.666667,0.033102,0.004609,12,0.002621,8,86,0.2,0.164998
87,generateDebugResources,,:core,false,2,2,4,2,2,4,4,0.4375,0.559524,256,0.00088,0.00334,12,0.003104,8,87,0,0.065537
88,generateDebugAssets,,:bypass,false,1,1,2,1,1,2,3,0.5,0.583333,0,0.000031,0.000003,11,0.001328,8,88,0.5,0.01394
89,packageDebugResources,,:test_shared,true,2,2,4,2,2,4,5,0.34375,0.460606,23,0.002595,0.004222,9,0.001216,8,89,0.25,0.019533
90,generateDebugSources,,:test_shared,false,1,4,5,1,4,5,4,0.454545,0.566667,7,0.012274,0.010849,9,0.001054,8,90,0.15,0.010098
91,packageDebugAssets,,:bypass,true,6,3,9,6,3,9,2,0.714286,0.8,247.424603,0.015215,0.000323,11,0.001693,8,91,0.041667,0.026929
92,processDebugJavaRes,,:bypass,false,2,1,3,2,1,3,2,0.666667,0.75,1,0.000085,0.000317,11,0.001609,8,92,0.166667,0.024886
93,bundleLibResDebug,,:bypass,false,10,4,14,10,4,14,5,0.435897,0.546078,181.40938,0.028775,0.0006,11,0.002239,8,93,0.016484,0.040616
94,mergeDebugJniLibFolders,,:bypass,true,1,1,2,1,1,2,2,0.666667,0.75,6,0,0.000317,11,0.003359,8,94,0,0.007953
95,transformNativeLibsWithMergeJniLibsForDebug,,:bypass,false,2,1,3,2,1,3,3,0.5,0.611111,23,0,0,11,0.002954,8,95,0,0.015582
96,transformNativeLibsWithIntermediateJniLibsForDebug,,:bypass,false,5,1,6,5,1,6,4,0.4,0.520833,30,0.013223,0,11,0.001543,8,96,0,0.020308
97,extractDebugAnnotations,,:bypass,true,2,7,9,2,7,9,4,0.551724,0.682292,7.75,0.001386,0.004461,11,0.001092,8,97,0.291667,0.007722
98,mergeDebugConsumerProguardFiles,,:bypass,false,1,0,1,1,0,1,0,0,0,0,0.001084,0,11,0.000933,8,98,0,0.00366
99,prepareLintJarForPublish,,:bypass,false,1,0,1,1,0,1,0,0,0,0,0.001084,0,11,0.000933,8,99,0,0.00366
100,transformResourcesWithMergeJavaResForDebug,,:bypass,false,1,3,4,1,3,4,5,0.414634,0.506863,3,0.000302,0.000283,11,0.001007,8,100,0.25,0.004062
101,transformClassesAndResourcesWithSyncLibJarsForDebug,,:bypass,false,1,5,6,1,5,6,4,0.487179,0.583333,6.833333,0.001084,0.003151,11,0.000933,8,101,0.333333,0.00366
102,transformNativeLibsWithSyncJniLibsForDebug,,:bypass,false,1,1,2,1,1,2,4,0.4,0.520833,4,0.001084,0,11,0.000933,8,102,0,0.00366
103,mergeDebugResources,,:core,true,2,3,5,2,3,5,3,0.48,0.569444,127.179654,0.006937,0.005362,12,0.002539,8,103,0.1,0.111263
104,dataBindingGenBaseClassesDebug,,:core,false,10,4,14,10,4,14,4,0.394737,0.522222,505.498918,0.04746,0.005099,12,0.005222,8,104,0.093407,0.247173
105,packageDebugResources,,:core,true,7,2,9,7,2,9,5,0.4,0.535417,424.520346,0.018883,0.003804,12,0.003614,8,105,0.041667,0.163358
106,generateDebugRFile,,:core,true,14,4,18,14,4,18,4,0.418605,0.523148,630.415007,0.07045,0.011792,12,0.007504,8,106,0.107843,0.392757
107,generateDebugRFile,,:test_shared,true,5,5,10,5,5,10,4,0.394366,0.488095,125.035714,0.037829,0.014158,9,0.00166,8,107,0.177778,0.037599
108,bundleDebugAar,,:bypass,false,1,12,13,1,12,13,4,0.535714,0.658333,24.666667,0,0.01129,11,0.001208,8,108,0.083333,0.002294
109,compileDebugSources,,:bypass,false,1,1,2,1,1,2,5,0.390244,0.444792,5.333333,0,0.000115,11,0.001208,8,109,0,0.002294
110,assembleDebug,,:bypass,false,0,2,2,0,2,2,4,0.380952,0.429688,0,0,0,11,0.000848,8,110,0,0
111,kaptGenerateStubsDebugKotlin,,:core,true,1,7,8,1,7,8,5,0.418605,0.514815,7.833333,0.006448,0.079233,12,0.001429,8,111,0.053571,0.051827
112,kaptDebugKotlin,,:core,false,10,6,16,10,6,16,4,0.41573,0.495495,570.785498,0.046329,0.067172,12,0.004102,8,112,0.091667,0.204697
113,compileDebugKotlin,,:core,true,8,8,16,8,8,16,5,0.426966,0.527193,1145.743759,0.029108,0.08368,12,0.007849,8,113,0.125,0.295856
114,javaPreCompileDebug,,:core,true,1,3,4,1,3,4,6,0.345133,0.407692,0,0.008824,0.060417,12,0.001522,8,114,0.333333,0.07375
115,compileDebugJavaWithJavac,,:core,true,15,12,27,15,12,27,5,0.45977,0.584167,1990.141378,0.044366,0.091931,12,0.009517,8,115,0.084046,0.266462
116,bundleLibRuntimeDebug,,:core,false,10,4,14,10,4,14,5,0.359649,0.428455,2737.922439,0.10577,0.017535,13,0.014112,8,116,0.071429,0.244875
117,generateDebugFeatureTransitiveDeps,,:app,true,50,2,52,50,2,52,5,0.325758,0.367829,3319.267605,0.250474,0.020305,13,0.023284,8,117,0.027903,0.606479
118,generateDebugFeatureTransitiveDeps,,:designernews,true,1,3,4,1,3,4,5,0.330827,0.382197,226.92381,0,0.044348,13,0.001945,8,118,0.166667,0.028405
119,generateDebugFeatureTransitiveDeps,,:search,true,1,3,4,1,3,4,5,0.330827,0.382197,226.92381,0,0.044348,13,0.001945,8,119,0.166667,0.028405
120,preDebugBuild,,:about,true,25,4,29,25,4,29,6,0.279503,0.351111,895.480231,0.078275,0.031115,10,0.014998,8,120,0.041872,0.222422
121,compileDebugAidl,,:about,false,4,3,7,4,3,7,7,0.235897,0.306211,36.674747,0.053875,0.012659,10,0.001528,8,121,0.095238,0.036433
122,generateDebugFeatureTransitiveDeps,,:dribbble,true,1,3,4,1,3,4,5,0.330827,0.382197,226.92381,0,0.044348,13,0.001945,8,122,0.166667,0.028405
123,compileDebugRenderscript,,:about,false,5,3,8,5,3,8,7,0.236181,0.304661,76.474747,0.054381,0.008825,10,0.001988,8,123,0.053571,0.042461
124,preDebugBuild,,:designernews,true,25,4,29,25,4,29,6,0.279503,0.351111,895.480231,0.078275,0.031115,14,0.014998,8,124,0.041872,0.222422
125,checkDebugManifest,,:about,false,2,1,3,2,1,3,7,0.222222,0.260559,0,0.005324,0.007514,10,0.001611,8,125,0.333333,0.026328
126,generateDebugBuildConfig,,:about,true,4,2,6,4,2,6,7,0.225962,0.276292,26.474747,0.053875,0.008025,10,0.001528,8,126,0.133333,0.036433
127,generateDebugSources,,:about,false,2,4,6,2,4,6,8,0.213115,0.296658,21,0.019524,0.015708,10,0.001503,8,127,0.133333,0.021473
128,featureDebugWriter,,:designernews,false,2,1,3,2,1,3,7,0.222222,0.260559,112.6,0.000823,0.007514,14,0.001411,8,128,0,0.044292
129,dataBindingExportBuildInfoDebug,,:about,false,3,2,5,3,2,5,7,0.246512,0.303504,9.474747,0.052368,0.009388,10,0.001208,8,129,0.15,0.027282
130,preDebugBuild,,:dribbble,true,25,4,29,25,4,29,6,0.279503,0.351111,895.480231,0.078275,0.031115,13,0.014998,8,130,0.041872,0.222422
131,featureDebugWriter,,:dribbble,false,2,1,3,2,1,3,7,0.222222,0.260559,112.6,0.000823,0.007514,14,0.001411,8,131,0,0.044292
132,preDebugBuild,,:search,true,20,4,24,20,4,24,6,0.279503,0.351111,800.512698,0.062422,0.031115,15,0.013236,8,132,0.048913,0.16558
133,checkDebugManifest,,:designernews,false,2,1,3,2,1,3,7,0.222222,0.260559,0,0.005324,0.007514,14,0.001611,8,133,0.333333,0.026328
134,dataBindingMergeDependencyArtifactsDebug,,:about,true,2,4,6,2,4,6,5,0.377049,0.441667,34.854906,0.015899,0.040262,10,0.001249,8,134,0.133333,0.023825
135,featureDebugWriter,,:search,false,2,1,3,2,1,3,7,0.222222,0.260559,114.6,0.000823,0.005992,14,0.001411,8,135,0,0.044292
136,dataBindingMergeGenClassesDebug,,:about,false,1,2,3,1,2,3,6,0.262857,0.318841,8.334127,0.001074,0.012069,10,0.00113,8,136,0.166667,0.014402
137,createDebugCompatibleScreenManifests,,:designernews,true,1,1,2,1,1,2,7,0.222222,0.260559,0,0.004553,0.007514,14,0.000961,8,137,0.5,0.011987
138,generateDebugResValues,,:about,true,1,1,2,1,1,2,7,0.222222,0.260559,20.5,0.000506,0.007514,10,0.001307,8,138,0,0.006028
139,generateDebugResources,,:about,false,1,2,3,1,2,3,8,0.197581,0.250194,23.5,0.003384,0.005269,10,0.001081,8,139,0,0.01331
140,mainApkListPersistenceDebug,,:designernews,true,3,1,4,3,1,4,7,0.222222,0.260559,0,0.014343,0.007514,14,0.001178,8,140,0.5,0.028866
141,checkDebugManifest,,:search,false,2,1,3,2,1,3,7,0.222222,0.260559,0,0.005018,0.005992,15,0.00161,8,141,0.333333,0.025574
142,checkDebugManifest,,:dribbble,false,2,1,3,2,1,3,7,0.222222,0.260559,0,0.005324,0.007514,13,0.001611,8,142,0.333333,0.026328
143,createDebugCompatibleScreenManifests,,:search,true,1,1,2,1,1,2,7,0.222222,0.260559,0,0.004397,0.005992,15,0.000962,8,143,0.5,0.011987
144,mainApkListPersistenceDebug,,:search,true,3,1,4,3,1,4,7,0.222222,0.260559,0,0.013675,0.005992,15,0.001188,8,144,0.5,0.028866
145,compileDebugAidl,,:designernews,false,4,3,7,4,3,7,7,0.235897,0.306211,36.674747,0.053875,0.012659,14,0.001528,8,145,0.095238,0.036433
146,mergeDebugResources,,:about,true,3,5,8,3,5,8,5,0.326797,0.400667,85.135786,0.021321,0.035251,10,0.001372,8,146,0.089286,0.037044
147,createDebugCompatibleScreenManifests,,:dribbble,true,1,1,2,1,1,2,7,0.222222,0.260559,0,0.004553,0.007514,13,0.000961,8,147,0.5,0.011987
148,compileDebugRenderscript,,:designernews,false,5,3,8,5,3,8,7,0.236181,0.304661,76.474747,0.054381,0.008825,14,0.001988,8,148,0.053571,0.042461
149,mainApkListPersistenceDebug,,:dribbble,true,3,1,4,3,1,4,7,0.222222,0.260559,0,0.014343,0.007514,13,0.001178,8,149,0.5,0.028866
150,generateDebugBuildConfig,,:designernews,true,4,2,6,4,2,6,7,0.225962,0.276292,26.474747,0.053875,0.008025,14,0.001528,8,150,0.133333,0.036433
151,generateDebugSources,,:designernews,false,2,4,6,2,4,6,8,0.213115,0.296658,21,0.019524,0.015708,14,0.001503,8,151,0.133333,0.021473
152,compileDebugAidl,,:dribbble,false,4,3,7,4,3,7,7,0.235897,0.306211,36.674747,0.053875,0.012659,13,0.001528,8,152,0.095238,0.036433
153,compileDebugRenderscript,,:dribbble,false,5,3,8,5,3,8,7,0.236181,0.304661,76.474747,0.054381,0.008825,13,0.001988,8,153,0.053571,0.042461
154,generateDebugBuildConfig,,:dribbble,true,4,2,6,4,2,6,7,0.225962,0.276292,26.474747,0.053875,0.008025,13,0.001528,8,154,0.133333,0.036433
155,generateDebugSources,,:dribbble,false,2,4,6,2,4,6,8,0.213115,0.296658,21,0.019524,0.015708,13,0.001503,8,155,0.133333,0.021473
156,dataBindingExportBuildInfoDebug,,:designernews,false,3,2,5,3,2,5,7,0.246512,0.303504,9.474747,0.052368,0.009388,14,0.001208,8,156,0.15,0.027282
157,bundleLibCompileDebug,,:core,false,34,3,37,34,3,37,6,0.328,0.393496,764.49798,0.516207,0.010772,16,0.006676,8,157,0.035285,0.325139
158,dataBindingExportBuildInfoDebug,,:dribbble,false,3,2,5,3,2,5,7,0.246512,0.303504,9.474747,0.052368,0.009388,13,0.001208,8,158,0.15,0.027282
159,dataBindingMergeDependencyArtifactsDebug,,:designernews,true,2,4,6,2,4,6,5,0.377049,0.441667,34.854906,0.015899,0.040262,14,0.001249,8,159,0.133333,0.023825
160,dataBindingMergeDependencyArtifactsDebug,,:dribbble,true,2,4,6,2,4,6,5,0.377049,0.441667,34.854906,0.015899,0.040262,13,0.001249,8,160,0.133333,0.023825
161,bundleLibResDebug,,:core,false,10,4,14,10,4,14,6,0.333333,0.407937,293.251804,0.028775,0.01094,12,0.002239,8,161,0.016484,0.040616
162,dataBindingMergeGenClassesDebug,,:dribbble,false,1,2,3,1,2,3,6,0.262857,0.318841,8.334127,0.001074,0.012069,13,0.00113,8,162,0.166667,0.014402
163,generateDebugResValues,,:dribbble,true,1,1,2,1,1,2,7,0.222222,0.260559,20.5,0.000506,0.007514,13,0.001307,8,163,0,0.006028
164,generateDebugResources,,:dribbble,false,1,2,3,1,2,3,8,0.197581,0.250194,23.5,0.003384,0.005269,13,0.001081,8,164,0,0.01331
165,dataBindingMergeGenClassesDebug,,:designernews,false,1,2,3,1,2,3,6,0.262857,0.318841,8.334127,0.001074,0.012069,14,0.00113,8,165,0.166667,0.014402
166,generateDebugResValues,,:designernews,true,1,1,2,1,1,2,7,0.222222,0.260559,20.5,0.000506,0.007514,14,0.001307,8,166,0,0.006028
167,generateDebugResources,,:designernews,false,1,2,3,1,2,3,8,0.197581,0.250194,23.5,0.003384,0.005269,14,0.001081,8,167,0,0.01331
168,mergeDebugResources,,:dribbble,true,3,5,8,3,5,8,5,0.326797,0.400667,85.135786,0.021321,0.035251,13,0.001372,8,168,0.089286,0.037044
169,extractDebugAnnotations,,:core,true,2,10,12,2,10,12,5,0.44086,0.549593,16.466667,0.005002,0.090006,12,0.001072,8,169,0.234848,0.007722
170,mergeDebugResources,,:designernews,true,3,5,8,3,5,8,5,0.326797,0.400667,85.135786,0.021321,0.035251,14,0.001372,8,170,0.089286,0.037044
171,transformResourcesWithMergeJavaResForDebug,,:core,false,1,3,4,1,3,4,6,0.328125,0.392063,3,0.001385,0.00722,12,0.001004,8,171,0.25,0.004062
172,dataBindingGenBaseClassesDebug,,:about,false,4,4,8,4,4,8,6,0.32716,0.385535,46.948124,0.067193,0.011189,10,0.001327,8,172,0.178571,0.036705
173,featureDebugWriter,,:about,false,2,1,3,2,1,3,7,0.222222,0.260559,112.6,0.000823,0.007514,14,0.001411,8,173,0,0.044292
174,generateDebugFeatureTransitiveDeps,,:about,true,1,3,4,1,3,4,5,0.330827,0.382197,226.92381,0,0.044348,13,0.001945,8,174,0.166667,0.028405
175,dataBindingGenBaseClassesDebug,,:designernews,false,4,4,8,4,4,8,6,0.32716,0.385535,46.948124,0.067193,0.011189,14,0.001327,8,175,0.178571,0.036705
176,dataBindingGenBaseClassesDebug,,:dribbble,false,4,4,8,4,4,8,6,0.32716,0.385535,46.948124,0.067193,0.011189,13,0.001327,8,176,0.178571,0.036705
177,mainApkListPersistenceDebug,,:about,true,3,1,4,3,1,4,7,0.222222,0.260559,0,0.014343,0.007514,10,0.001178,8,177,0.5,0.028866
178,createDebugCompatibleScreenManifests,,:about,true,1,1,2,1,1,2,7,0.222222,0.260559,0,0.004553,0.007514,10,0.000961,8,178,0.5,0.011987
179,checkDebugLibraries,,:app,true,1,4,5,1,4,5,6,0.265193,0.327083,1275.695238,0.000664,0,13,0.005165,8,179,0,0.123093
180,mergeDebugShaders,,:designernews,true,1,1,2,1,1,2,7,0.222222,0.260559,0,0.000728,0.007514,14,0.00162,8,180,0.5,0.005995
181,mergeDebugShaders,,:about,true,1,1,2,1,1,2,7,0.222222,0.260559,0,0.000728,0.007514,10,0.00162,8,181,0.5,0.005995
182,compileDebugShaders,,:designernews,true,2,2,4,2,2,4,7,0.225962,0.276292,50,0.003427,0.007583,14,0.001816,8,182,0.25,0.008201
