Time,Value1,Value2
2016-07-18 13:00:59,9,15.75
2016-07-18 13:01:00,15,6.64
2016-07-18 13:01:01,1,24.64
2016-07-18 13:01:02,10,33.95
2016-07-18 13:01:03,27,29.19
2016-07-18 13:01:04,2,46.97
2016-07-18 13:01:05,49,42.11
2016-07-18 13:01:06,3,33.37
2016-07-18 13:01:07,45,12.49
2016-07-18 13:01:08,49,43.91
2016-07-18 13:01:09,27,18.35
2016-07-18 13:01:10,37,22.27
2016-07-18 13:01:11,33,5.65
2016-07-18 13:01:12,40,32.39
2016-07-18 13:01:13,4,36.99
2016-07-18 13:01:14,39,32.55
2016-07-18 13:01:15,26,12.12
2016-07-18 13:01:16,37,6.19
2016-07-18 13:01:17,44,4.62
2016-07-18 13:01:18,26,24.1
2016-07-18 13:01:19,33,47.59
2016-07-18 13:01:20,35,11.85
2016-07-18 13:01:21,14,20.6
2016-07-18 13:01:22,16,7.85
2016-07-18 13:01:23,18,28.48
2016-07-18 13:01:24,1,20.29
2016-07-18 13:01:25,30,15.37
2016-07-18 13:01:26,35,20.88
2016-07-18 13:01:27,17,9.31
2016-07-18 13:01:28,8,25.81
2016-07-18 13:01:29,19,7.1
2016-07-18 13:01:30,9,48.3
2016-07-18 13:01:31,13,2.54
2016-07-18 13:01:32,4,48.71
2016-07-18 13:01:33,48,9.61
2016-07-18 13:01:34,16,17.25
2016-07-18 13:01:35,12,29.36
2016-07-18 13:01:36,35,31.36
2016-07-18 13:01:37,10,17.84
2016-07-18 13:01:38,10,43.82
2016-07-18 13:01:39,24,20.14
2016-07-18 13:01:40,5,49.48
2016-07-18 13:01:41,37,44.92
2016-07-18 13:01:42,16,17.14
2016-07-18 13:01:44,23,17.12
2016-07-18 13:01:45,32,10.01
2016-07-18 13:01:46,0,41.08
2016-07-18 13:01:47,5,12.21
2016-07-18 13:01:48,20,9.35
2016-07-18 13:01:49,24,14.74
2016-07-18 13:01:50,38,24.56
2016-07-18 13:01:51,2,27.74
2016-07-18 13:01:52,42,5.06
2016-07-18 13:01:53,47,49.21
2016-07-18 13:01:54,28,35.85
2016-07-18 13:01:55,0,32.23
2016-07-18 13:01:56,49,27.83
2016-07-18 13:01:57,4,43.24
2016-07-18 13:01:58,13,10.13
2016-07-18 13:01:59,40,14.19
2016-07-18 13:02:00,15,27.9
2016-07-18 13:02:01,50,43.38
2016-07-18 13:02:02,35,2.57
2016-07-18 13:02:03,1,23.62
2016-07-18 13:02:04,14,28.19
2016-07-18 13:02:05,20,22.25
2016-07-18 13:02:06,7,37.59
2016-07-18 13:02:07,48,6.93
2016-07-18 13:02:08,47,31.38
2016-07-18 13:02:09,37,39.35
2016-07-18 13:02:10,11,3.54
2016-07-18 13:02:11,20,35.71
2016-07-18 13:02:12,14,47.49
2016-07-18 13:02:13,25,6.79
2016-07-18 13:02:14,38,10.68
2016-07-18 13:02:15,42,14.56
2016-07-18 13:02:16,45,46.34
2016-07-18 13:02:17,6,33.15
2016-07-18 13:02:18,17,30.12
2016-07-18 13:02:19,35,28.88
2016-07-18 13:02:20,31,48.42
2016-07-18 13:02:21,40,20.13
2016-07-18 13:02:22,43,31.86
2016-07-18 13:02:23,47,46.24
2016-07-18 13:02:24,39,5.01
2016-07-18 13:02:25,45,26.12
2016-07-18 13:02:26,7,13.74
2016-07-18 13:02:27,3,44.1
2016-07-18 13:02:28,40,6.75
2016-07-18 13:02:29,32,19.52
2016-07-18 13:02:30,30,17.12
2016-07-18 13:02:31,18,12
2016-07-18 13:02:32,1,47.7
2016-07-18 13:02:33,23,3.1
2016-07-18 13:02:34,31,27.87
2016-07-18 13:02:35,19,39.26
2016-07-18 13:02:36,12,1.97
2016-07-18 13:02:37,1,35.27
2016-07-18 13:02:38,40,48.62
2016-07-18 13:02:39,9,44.05
2016-07-18 13:02:40,25,39.07
2016-07-18 13:02:41,44,1.08
2016-07-18 13:02:42,16,11.09
2016-07-18 13:02:43,34,4.46
2016-07-18 13:02:44,49,27.43
2016-07-18 13:02:45,17,24.59
2016-07-18 13:02:46,40,40.7
2016-07-18 13:02:47,37,5.15
2016-07-18 13:02:48,12,39.15
2016-07-18 13:02:49,22,15.54
2016-07-18 13:02:50,8,20.95
2016-07-18 13:02:51,23,49.65
2016-07-18 13:02:52,37,8.43
2016-07-18 13:02:53,20,16.82
2016-07-18 13:02:54,31,25.08
2016-07-18 13:02:55,18,49.28
2016-07-18 13:02:56,46,44.03
2016-07-18 13:02:57,24,20.59
2016-07-18 13:02:58,37,45.41
2016-07-18 13:02:59,30,25.27
2016-07-18 13:03:00,46,36.6
2016-07-18 13:03:01,41,40.09
2016-07-18 13:03:02,13,45
2016-07-18 13:03:03,22,12.39
2016-07-18 13:03:04,5,37.36
2016-07-18 13:03:05,24,3.78
2016-07-18 13:03:06,0,4.73
2016-07-18 13:03:07,37,27.81
2016-07-18 13:03:08,38,8.46
2016-07-18 13:03:09,47,16.78
2016-07-18 13:03:10,19,34.24
2016-07-18 13:03:11,48,2.41
2016-07-18 13:03:12,37,10.1
2016-07-18 13:03:13,25,11.09
2016-07-18 13:03:14,50,31.54
2016-07-18 13:03:15,36,23.45
2016-07-18 13:03:16,4,9.29
2016-07-18 13:03:17,37,49.21
2016-07-18 13:03:18,9,26.35
2016-07-18 13:03:19,32,8.64
2016-07-18 13:03:20,48,10.34
2016-07-18 13:03:21,6,4.3
2016-07-18 13:03:22,2,4.39
2016-07-18 13:03:23,6,2.55
2016-07-18 13:03:24,11,27.32
2016-07-18 13:03:25,36,15.59
2016-07-18 13:03:26,16,12.58
2016-07-18 13:03:27,27,15.63
2016-07-18 13:03:28,11,36.18
2016-07-18 13:03:29,18,14.62
2016-07-18 13:03:30,26,34.5
2016-07-18 13:03:31,46,39.06
2016-07-18 13:03:32,8,47.88
2016-07-18 13:03:33,14,40.34
2016-07-18 13:03:34,47,9.56
2016-07-18 13:03:35,49,39.03
2016-07-18 13:03:36,36,24.02
2016-07-18 13:03:37,24,39.6
2016-07-18 13:03:38,29,48.98
2016-07-18 13:03:39,12,45.6
2016-07-18 13:03:40,19,24.72
2016-07-18 13:03:41,33,46.05
2016-07-18 13:03:42,22,2.99
2016-07-18 13:03:43,5,45.95
2016-07-18 13:03:44,14,2.92
2016-07-18 13:03:45,1,11.51
2016-07-18 13:03:46,16,2.11
2016-07-18 13:03:47,6,41.64
2016-07-18 13:03:48,25,20.88
2016-07-18 13:03:49,22,30.25
2016-07-18 13:03:50,50,39.85
2016-07-18 13:03:51,18,27.87
2016-07-18 13:03:52,41,7.23
2016-07-18 13:03:53,8,9.4
2016-07-18 13:03:54,48,9.56
2016-07-18 13:03:55,49,32.38
2016-07-18 13:03:56,39,39.4
2016-07-18 13:03:57,13,10.98
2016-07-18 13:03:58,48,48.03
2016-07-18 13:03:59,33,35.74
2016-07-18 13:04:00,3,1.06
2016-07-18 13:04:01,17,19.54
2016-07-18 13:04:02,18,37.98
2016-07-18 13:04:03,47,26.62
2016-07-18 13:04:04,31,14.56
2016-07-18 13:04:05,40,18.12
2016-07-18 13:04:06,12,24.67
2016-07-18 13:04:07,24,30.62
2016-07-18 13:04:08,12,14.01
2016-07-18 13:04:09,12,41.94
2016-07-18 13:04:10,2,43.17
2016-07-18 13:04:11,4,7.78
2016-07-18 13:04:12,21,26.52
2016-07-18 13:04:13,1,47.68
2016-07-18 13:04:14,44,13.07
2016-07-18 13:04:15,6,33.84
2016-07-18 13:04:16,42,5.95
2016-07-18 13:04:17,23,29.74
2016-07-18 13:04:18,27,1.66
2016-07-18 13:04:19,38,7.9
2016-07-18 13:04:20,40,7.93
2016-07-18 13:04:21,39,0.13
2016-07-18 13:04:22,4,46.51
2016-07-18 13:04:23,10,1.65
2016-07-18 13:04:24,12,27.17
2016-07-18 13:04:25,9,41.28
2016-07-18 13:04:26,18,6.24
2016-07-18 13:04:27,7,5.16
2016-07-18 13:04:28,10,20.33
2016-07-18 13:04:29,3,26.26
2016-07-18 13:04:30,19,37.94
2016-07-18 13:04:31,27,33.23
2016-07-18 13:04:32,25,36.28
2016-07-18 13:04:33,24,33.97
2016-07-18 13:04:34,11,18.43
2016-07-18 13:04:35,15,34.03
2016-07-18 13:04:36,37,47.18
2016-07-18 13:04:37,32,16.16
2016-07-18 13:04:38,27,13.77
2016-07-18 13:04:39,37,9.98
2016-07-18 13:04:40,24,12.51
2016-07-18 13:04:41,2,30.49
2016-07-18 13:04:42,1,19.81
2016-07-18 13:04:43,48,46.77
2016-07-18 13:04:44,47,22.13
2016-07-18 13:04:45,8,2.79
2016-07-18 13:04:46,23,44.92
2016-07-18 13:04:47,38,8.66
2016-07-18 13:04:48,37,29.69
2016-07-18 13:04:49,15,40.79
2016-07-18 13:04:50,29,9.23
2016-07-18 13:04:51,36,22.69
2016-07-18 13:04:52,14,47.15
2016-07-18 13:04:53,43,49.56
2016-07-18 13:04:54,14,31.98
2016-07-18 13:04:55,41,34.2
2016-07-18 13:04:56,4,49.86
2016-07-18 13:04:57,27,26.79
2016-07-18 13:04:58,17,10.97
2016-07-18 13:04:59,29,29.18
2016-07-18 13:05:00,26,44.17
2016-07-18 13:05:01,10,25.04
2016-07-18 13:05:02,21,45.84
2016-07-18 13:05:03,4,22.7
2016-07-18 13:05:05,0,41.82
2016-07-18 13:05:06,6,49.75
2016-07-18 13:05:07,48,17.08
2016-07-18 13:05:08,25,3.33
2016-07-18 13:05:09,40,26.59
2016-07-18 13:05:10,30,24.76
2016-07-18 13:05:11,17,4.33
2016-07-18 13:05:12,25,43.11
2016-07-18 13:05:13,10,17.28
2016-07-18 13:05:14,10,7.67
2016-07-18 13:05:15,16,22.14
2016-07-18 13:05:16,45,25.53
2016-07-18 13:05:17,18,38.69
2016-07-18 13:05:18,34,38.59
2016-07-18 13:05:19,41,22.62
2016-07-18 13:05:20,19,39.45
2016-07-18 13:05:21,49,47.54
2016-07-18 13:05:22,18,21.21
2016-07-18 13:05:23,22,29.7
2016-07-18 13:05:24,5,32.7
2016-07-18 13:05:25,42,43.1
2016-07-18 13:05:26,12,24.45
2016-07-18 13:05:27,47,41.7
2016-07-18 13:05:28,8,30.22
2016-07-18 13:05:29,17,25.25
2016-07-18 13:05:30,27,21.04
2016-07-18 13:05:31,37,45.73
2016-07-18 13:05:32,31,34.9
2016-07-18 13:05:33,6,49.55
2016-07-18 13:05:34,4,5.72
2016-07-18 13:05:35,50,31.31
2016-07-18 13:05:36,5,26.02
2016-07-18 13:05:37,3,36.62
2016-07-18 13:05:38,14,20.4
2016-07-18 13:05:39,33,35.87
2016-07-18 13:05:40,11,37.9
2016-07-18 13:05:41,0,28.87
2016-07-18 13:05:42,8,18.79
2016-07-18 13:05:43,9,7.22
2016-07-18 13:05:44,1,3.47
2016-07-18 13:05:45,13,36.7
2016-07-18 13:05:46,31,48.29
2016-07-18 13:05:47,34,26.41
2016-07-18 13:05:48,20,22.89
2016-07-18 13:05:49,49,32.51
2016-07-18 13:05:50,22,39.89
2016-07-18 13:05:51,16,23.45
2016-07-18 13:05:52,33,35.8
2016-07-18 13:05:53,33,47.51
2016-07-18 13:05:54,32,32.62
2016-07-18 13:05:55,45,33.64
2016-07-18 13:05:56,38,33.8
2016-07-18 13:05:57,6,37.85
2016-07-18 13:05:58,49,34.95
2016-07-18 13:05:59,49,29.59
2016-07-18 13:06:00,2,9.71
2016-07-18 13:06:01,5,42.15
2016-07-18 13:06:02,23,13.11
2016-07-18 13:06:03,0,12.29
2016-07-18 13:06:04,33,18.36
2016-07-18 13:06:05,38,5.76
2016-07-18 13:06:06,41,40.44
2016-07-18 13:06:07,18,32.36
2016-07-18 13:06:08,21,17.86
2016-07-18 13:06:09,37,38.66
2016-07-18 13:06:10,29,18.81
2016-07-18 13:06:11,12,44.15
2016-07-18 13:06:12,15,13.26
2016-07-18 13:06:13,45,12.07
2016-07-18 13:06:14,42,1.67
2016-07-18 13:06:15,43,2.63
2016-07-18 13:06:16,19,23.01
2016-07-18 13:06:17,43,24.3
2016-07-18 13:06:18,27,42.77
2016-07-18 13:06:19,36,30.78
2016-07-18 13:06:20,18,13.71
2016-07-18 13:06:21,5,30.71
2016-07-18 13:06:22,46,25
2016-07-18 13:06:23,15,7.46
2016-07-18 13:06:24,19,25.77
2016-07-18 13:06:25,23,25.25
2016-07-18 13:06:26,17,32.3
2016-07-18 13:06:27,23,38.54
2016-07-18 13:06:28,13,40.34
2016-07-18 13:06:29,26,10.83
2016-07-18 13:06:30,19,27.51
2016-07-18 13:06:31,4,4.05
2016-07-18 13:06:32,26,35.84
2016-07-18 13:06:33,45,44.82
2016-07-18 13:06:34,48,9.98
2016-07-18 13:06:35,33,3.93
2016-07-18 13:06:36,44,43.72
2016-07-18 13:06:37,32,17.36
2016-07-18 13:06:38,31,26.46
2016-07-18 13:06:39,4,30.66
2016-07-18 13:06:40,48,24.99
2016-07-18 13:06:41,2,29.46
2016-07-18 13:06:42,47,17.76
2016-07-18 13:06:43,45,34.73
2016-07-18 13:06:44,15,21.13
2016-07-18 13:06:45,18,39.98
2016-07-18 13:06:46,36,37.62
2016-07-18 13:06:47,49,11.77
2016-07-18 13:06:48,35,3.16
2016-07-18 13:06:49,6,15.04
2016-07-18 13:06:50,8,20.16
2016-07-18 13:06:51,5,46.98
2016-07-18 13:06:52,3,36.38
2016-07-18 13:06:53,6,27.52
2016-07-18 13:06:54,34,5.58
2016-07-18 13:06:55,15,30
2016-07-18 13:06:56,22,18.6
2016-07-18 13:06:57,34,45.47
2016-07-18 13:06:58,15,24.74
2016-07-18 13:06:59,19,30.93
2016-07-18 13:07:00,46,11.98
2016-07-18 13:07:01,47,45.53
2016-07-18 13:07:02,17,28.97
2016-07-18 13:07:03,18,21.64
2016-07-18 13:07:04,50,3.3
2016-07-18 13:07:05,34,20.47
2016-07-18 13:07:06,1,48.43
2016-07-18 13:07:07,10,39.33
2016-07-18 13:07:08,35,23.85
2016-07-18 13:07:09,21,20.31
2016-07-18 13:07:10,15,31.35
2016-07-18 13:07:11,8,33.18
2016-07-18 13:07:12,27,13.78
2016-07-18 13:07:13,45,22.34
2016-07-18 13:07:14,14,20.38
2016-07-18 13:07:15,29,0.85
2016-07-18 13:07:16,38,23.06
2016-07-18 13:07:17,25,20.84
2016-07-18 13:07:18,45,48.47
2016-07-18 13:07:19,44,13.8
2016-07-18 13:07:20,37,24.96
2016-07-18 13:07:21,23,19.27
2016-07-18 13:07:22,30,28.59
2016-07-18 13:07:23,2,36.73
2016-07-18 13:07:24,23,4.21
2016-07-18 13:07:25,38,44.7
2016-07-18 13:07:26,50,27.4
2016-07-18 13:07:27,50,12.14
2016-07-18 13:07:28,6,34.24
2016-07-18 13:07:29,25,9.36
2016-07-18 13:07:30,44,10.41
2016-07-18 13:07:31,30,43.21
2016-07-18 13:07:32,37,14.7
2016-07-18 13:07:33,49,12.11
2016-07-18 13:07:34,0,21.97
2016-07-18 13:07:35,30,34.64
2016-07-18 13:07:36,38,36.63
2016-07-18 13:07:37,0,13.54
2016-07-18 13:07:38,15,47.98
2016-07-18 13:07:39,26,36.44
2016-07-18 13:07:40,30,19.76
2016-07-18 13:07:41,0,45.9
2016-07-18 13:07:42,49,48.01
2016-07-18 13:07:43,44,23.69
2016-07-18 13:07:44,49,33.01
2016-07-18 13:07:45,0,19.68
2016-07-18 13:07:46,42,26.42
2016-07-18 13:07:47,30,45.52
2016-07-18 13:07:48,34,0.05
2016-07-18 13:07:49,7,17.02
2016-07-18 13:07:50,48,24.12
2016-07-18 13:07:51,37,17.89
2016-07-18 13:07:52,19,11.95
2016-07-18 13:07:53,27,25.98
2016-07-18 13:07:54,12,15.24
2016-07-18 13:07:55,2,1.29
2016-07-18 13:07:56,1,19.75
2016-07-18 13:07:57,33,49.03
2016-07-18 13:07:58,5,10.46
2016-07-18 13:07:59,14,11.6
2016-07-18 13:08:00,18,11.14
2016-07-18 13:08:01,44,18.74
2016-07-18 13:08:02,43,17.84
2016-07-18 13:08:03,33,12.57
2016-07-18 13:08:04,44,38.51
2016-07-18 13:08:05,10,37.99
2016-07-18 13:08:06,8,26.83
2016-07-18 13:08:07,50,9.42
2016-07-18 13:08:08,34,46.55
2016-07-18 13:08:09,50,22.22
2016-07-18 13:08:10,45,24.72
2016-07-18 13:08:11,49,35.21
2016-07-18 13:08:12,14,42.67
2016-07-18 13:08:13,9,21.55
2016-07-18 13:08:14,46,10.69
2016-07-18 13:08:15,19,6.96
2016-07-18 13:08:16,38,35.56
2016-07-18 13:08:17,13,43.31
2016-07-18 13:08:18,1,4.18
2016-07-18 13:08:19,29,11.54
2016-07-18 13:08:20,26,7.15
2016-07-18 13:08:21,10,49.38
2016-07-18 13:08:22,1,3.65
2016-07-18 13:08:23,47,2.16
2016-07-18 13:08:24,11,12.62
2016-07-18 13:08:26,29,25.8
2016-07-18 13:08:27,16,12
2016-07-18 13:08:28,46,11.83
2016-07-18 13:08:29,9,46.35
2016-07-18 13:08:30,39,7.25
2016-07-18 13:08:31,21,41.14
2016-07-18 13:08:32,41,12.5
2016-07-18 13:08:33,6,37.58
2016-07-18 13:08:34,12,2.5
2016-07-18 13:08:35,25,41.46
2016-07-18 13:08:36,9,28.01
2016-07-18 13:08:37,4,25.67
2016-07-18 13:08:38,43,10.67
2016-07-18 13:08:39,44,31.03
2016-07-18 13:08:40,12,46.91
2016-07-18 13:08:41,48,12.64
2016-07-18 13:08:42,30,13.21
2016-07-18 13:08:43,29,13.77
2016-07-18 13:08:44,18,25.94
2016-07-18 13:08:45,11,16.89
2016-07-18 13:08:46,46,49.44
2016-07-18 13:08:47,18,8.96
2016-07-18 13:08:48,13,37.08
2016-07-18 13:08:49,5,3.17
2016-07-18 13:08:50,31,0.53
2016-07-18 13:08:51,24,28.47
2016-07-18 13:08:52,13,9.57
2016-07-18 13:08:53,44,49.14
2016-07-18 13:08:54,0,44.93
2016-07-18 13:08:55,50,7.62
2016-07-18 13:08:56,40,47.2
2016-07-18 13:08:57,33,34.68
2016-07-18 13:08:58,31,30.21
2016-07-18 13:08:59,4,34.63
2016-07-18 13:09:00,41,33.38
2016-07-18 13:09:01,33,48.33
2016-07-18 13:09:02,17,33.76
2016-07-18 13:09:03,41,12.44
2016-07-18 13:09:04,25,33.22
2016-07-18 13:09:05,22,25.82
2016-07-18 13:09:06,40,9.91
2016-07-18 13:09:07,11,9.43
2016-07-18 13:09:08,29,38.96
2016-07-18 13:09:09,45,32.7
2016-07-18 13:09:10,31,36.63
2016-07-18 13:09:11,2,47.21
2016-07-18 13:09:12,7,21.36
2016-07-18 13:09:13,29,36.29
2016-07-18 13:09:14,21,16.87
2016-07-18 13:09:15,7,9.27
2016-07-18 13:09:16,19,4.65
2016-07-18 13:09:17,32,41.85
2016-07-18 13:09:18,22,12.18
2016-07-18 13:09:19,30,39.83
2016-07-18 13:09:20,50,17.58
2016-07-18 13:09:21,10,30.5
2016-07-18 13:09:22,15,43.42
2016-07-18 13:09:23,7,36.98
2016-07-18 13:09:24,10,39.61
2016-07-18 13:09:25,44,12.82
2016-07-18 13:09:26,27,18.22
2016-07-18 13:09:27,36,31.03
2016-07-18 13:09:28,44,3.36
2016-07-18 13:09:29,11,39.92
2016-07-18 13:09:30,35,33.04
2016-07-18 13:09:31,24,39.65
2016-07-18 13:09:32,13,1.13
2016-07-18 13:09:33,30,1.22
2016-07-18 13:09:34,44,45.4
2016-07-18 13:09:35,34,1.14
2016-07-18 13:09:36,17,46.64
2016-07-18 13:09:37,9,49.34
2016-07-18 13:09:38,38,46.88
2016-07-18 13:09:39,7,0.94
2016-07-18 13:09:40,38,35.92
2016-07-18 13:09:41,10,0.69
2016-07-18 13:09:42,48,19.35
2016-07-18 13:09:43,47,49.42
2016-07-18 13:09:44,19,28.95
2016-07-18 13:09:45,35,6.79
2016-07-18 13:09:46,20,7.14
2016-07-18 13:09:47,14,5.04
2016-07-18 13:09:48,7,12.18
2016-07-18 13:09:49,41,11.47
2016-07-18 13:09:50,5,41.11
2016-07-18 13:09:51,25,7.08
2016-07-18 13:09:52,33,50
2016-07-18 13:09:53,46,19.85
2016-07-18 13:09:54,20,15.14
2016-07-18 13:09:55,4,15.63
2016-07-18 13:09:56,32,0.21
2016-07-18 13:09:57,3,0.37
2016-07-18 13:09:58,12,7.72
2016-07-18 13:09:59,20,46.73
2016-07-18 13:10:00,23,41.79
2016-07-18 13:10:01,31,20.66
2016-07-18 13:10:02,18,42.23
2016-07-18 13:10:03,31,24.45
2016-07-18 13:10:04,1,42.12
2016-07-18 13:10:05,41,37.78
2016-07-18 13:10:06,1,23.74
2016-07-18 13:10:07,1,22.8
2016-07-18 13:10:08,29,11.06
2016-07-18 13:10:09,39,43.38
2016-07-18 13:10:10,22,2.2
2016-07-18 13:10:11,21,49
2016-07-18 13:10:12,41,27.44
2016-07-18 13:10:13,12,26.9
2016-07-18 13:10:14,49,27.99
2016-07-18 13:10:15,1,5.69
2016-07-18 13:10:16,11,39.21
2016-07-18 13:10:17,2,10.4
2016-07-18 13:10:18,39,48.61
2016-07-18 13:10:19,30,24.15
2016-07-18 13:10:20,37,29.25
2016-07-18 13:10:21,4,15.58
2016-07-18 13:10:22,20,4
2016-07-18 13:10:23,31,10.39
2016-07-18 13:10:24,48,20.65
2016-07-18 13:10:25,6,28.62
2016-07-18 13:10:26,28,1.55
2016-07-18 13:10:27,7,22.32
2016-07-18 13:10:28,15,19.11
2016-07-18 13:10:29,4,4.71
2016-07-18 13:10:30,22,0.36
2016-07-18 13:10:31,23,0.44
2016-07-18 13:10:32,11,43.77
2016-07-18 13:10:33,12,46.22
2016-07-18 13:10:34,14,36.27
2016-07-18 13:10:35,11,49.65
2016-07-18 13:10:36,9,5.66
2016-07-18 13:10:37,28,38.61
2016-07-18 13:10:38,13,9.84
2016-07-18 13:10:39,48,5.24
2016-07-18 13:10:40,36,13.26
2016-07-18 13:10:41,23,39.51
2016-07-18 13:10:42,14,2.64
2016-07-18 13:10:43,22,47.87
2016-07-18 13:10:44,29,21.26
2016-07-18 13:10:45,22,36.88
2016-07-18 13:10:46,19,4.14
2016-07-18 13:10:47,19,5.33
2016-07-18 13:10:48,11,9.14
2016-07-18 13:10:49,0,12.9
2016-07-18 13:10:50,27,9.27
2016-07-18 13:10:51,16,39.15
2016-07-18 13:10:52,22,48.41
2016-07-18 13:10:53,33,24.44
2016-07-18 13:10:54,7,35.7
2016-07-18 13:10:55,28,37.62
2016-07-18 13:10:56,18,44.09
2016-07-18 13:10:57,27,6.57
2016-07-18 13:10:58,19,36.5
2016-07-18 13:10:59,25,2.39
2016-07-18 13:11:00,5,14.72
2016-07-18 13:11:01,2,33.37
2016-07-18 13:11:02,42,30.54
2016-07-18 13:11:03,16,31.63
2016-07-18 13:11:04,27,1.58
2016-07-18 13:11:05,4,12.68
2016-07-18 13:11:06,43,49.63
2016-07-18 13:11:07,1,25.19
2016-07-18 13:11:08,45,11.97
2016-07-18 13:11:09,26,1.02
2016-07-18 13:11:10,19,35.11
2016-07-18 13:11:11,18,27.12
2016-07-18 13:11:12,45,21.47
2016-07-18 13:11:13,43,11.15
2016-07-18 13:11:14,0,35.06
2016-07-18 13:11:15,22,46.79
2016-07-18 13:11:16,34,5.01
2016-07-18 13:11:17,21,20.09
2016-07-18 13:11:18,14,22.73
2016-07-18 13:11:19,12,4.04
2016-07-18 13:11:20,38,28.54
2016-07-18 13:11:21,45,13.05
2016-07-18 13:11:22,1,18.15
2016-07-18 13:11:23,37,11.4
2016-07-18 13:11:24,32,25.04
2016-07-18 13:11:25,48,41.49
2016-07-18 13:11:26,22,37.6
2016-07-18 13:11:27,19,22.31
2016-07-18 13:11:28,6,10.72
2016-07-18 13:11:29,20,38.09
2016-07-18 13:11:30,32,35.67
2016-07-18 13:11:31,33,42.19
2016-07-18 13:11:32,37,25.11
2016-07-18 13:11:33,11,18.71
2016-07-18 13:11:34,20,0.43
2016-07-18 13:11:35,31,27.69
2016-07-18 13:11:36,3,18.44
2016-07-18 13:11:37,26,45.47
2016-07-18 13:11:38,19,6.06
2016-07-18 13:11:39,10,22.71
2016-07-18 13:11:40,15,5.92
2016-07-18 13:11:41,45,12.47
2016-07-18 13:11:42,42,0.14
2016-07-18 13:11:43,1,20.4
2016-07-18 13:11:44,43,27.31
2016-07-18 13:11:45,35,24.04
2016-07-18 13:11:47,40,43.51
2016-07-18 13:11:48,25,31.74
2016-07-18 13:11:49,6,31.26
2016-07-18 13:11:50,35,4.65
2016-07-18 13:11:51,19,22
2016-07-18 13:11:52,33,18.52
2016-07-18 13:11:53,26,30.86
2016-07-18 13:11:54,6,3.67
2016-07-18 13:11:55,48,34.55
2016-07-18 13:11:56,31,29.68
2016-07-18 13:11:57,24,26.5
2016-07-18 13:11:58,3,36.24
2016-07-18 13:11:59,31,25.21
2016-07-18 13:12:00,22,15.35
2016-07-18 13:12:01,20,2.79
2016-07-18 13:12:02,13,36.08
2016-07-18 13:12:03,12,4.02
2016-07-18 13:12:04,46,36.37
2016-07-18 13:12:05,24,14.4
2016-07-18 13:12:06,30,21.19
2016-07-18 13:12:07,10,45.58
2016-07-18 13:12:08,34,44.13
2016-07-18 13:12:09,15,23.36
2016-07-18 13:12:10,49,7.24
2016-07-18 13:12:11,7,30.91
2016-07-18 13:12:12,33,21.42
2016-07-18 13:12:13,1,21.52
2016-07-18 13:12:14,50,14.82
2016-07-18 13:12:15,6,26.92
2016-07-18 13:12:16,19,20.48
2016-07-18 13:12:17,40,18.99
2016-07-18 13:12:18,4,39.08
2016-07-18 13:12:19,39,34.93
