Train,Stations,Subway transfers,Connections,Station Label
A,Franklin Avenue,S (BMT Franklin Avenue Line),None,35
A,Nostrand Avenue,C,None,36
A,Kingston–Throop Avenues,None,None,37
A,Utica Avenue,C,None,38
A,Ralph Avenue,None,None,39
A,Rockaway Avenue,None,None,40
A,Broadway Junction,C J M Z ​ (BMT Jamaica Line) L (BMT Canarsie Line),None,41
A,Liberty Avenue,None,None,42
A,Van Siclen Avenue,None,None,43
A,Shepherd Avenue,None,None,44
A,Euclid Avenue,C,None,45
A,Grant Avenue,None,None,46
A,80th Street,None,None,47
A,88th Street,None,None,48
A,Rockaway Boulevard,None,None,49
A,104th Street,None,None,50
A,Aqueduct Racetrack,None,None,51
A,Beach 67th Street,None,None,52
A,Beach 90th Street,S (Rockaway Park Shuttle),None,53
A,S (Rockaway Park Shuttle),None,None,54
A,S (Rockaway Park Shuttle),None,None,55
A,S (Rockaway Park Shuttle),None,None,56
B,Bedford Park Boulevard,D,None,1
B,Kingsbridge Road,D,None,2
B,Fordham Road,D,None,3
B,182nd–183rd Streets,D,None,4
B,Tremont Avenue,D,None,5
B,174th–175th Streets,D,None,6
B,170th Street,D,None,7
B,167th Street,D,None,8
B,161st Street–Yankee Stadium,D 4 (IRT Jerome Avenue Line),None,9
B,155th Street,D,None,10
B,145th Street,D A ​C (IND Eighth Avenue Line),None,11
B,135th Street,C,None,12
B,125th Street,A ​​C ​D,None,13
B,116th Street,C,None,14
B,Cathedral Parkway–110th Street,C,None,15
B,103rd Street,C,None,16
B,96th Street,C,None,17
B,86th Street,C,None,18
B,81st Street–Museum of Natural History,C,None,19
B,72nd Street,C,None,20
B,59th Street–Columbus Circle,A ​​C ​D 1 (IRT Broadway–Seventh Avenue Line),None,21
B,Seventh Avenue,D E (IND Queens Boulevard Line),None,22
B,47th–50th Streets–Rockefeller Center,​D ​F ​M,None,23
B,42nd Street–Bryant Park,​D ​F ​M 7 <7> ​ (IRT Flushing Line at Fifth Avenue),None,24
B,34th Street–Herald Square,​D ​F ​M N ​Q ​R ​W (BMT Broadway Line),None,25
B,West Fourth Street–Washington Square,​D ​F ​M A ​C ​E (IND Eighth Avenue Line),None,26
B,Broadway–Lafayette Street,​D ​F ​M 6 <6> ​ (IRT Lexington Avenue Line at Bleecker Street),None,27
B,Grand Street,D,None,28
B,DeKalb Avenue,​Q ​R ​W,None,29
B,Atlantic Avenue–Barclays Center,Q D ​N ​R ​W (BMT Fourth Avenue Line) 2 ​3 ​4 ​5 (IRT Eastern Parkway Line),None,30
B,Seventh Avenue,Q,None,31
B,Prospect Park,Q S (BMT Franklin Avenue Line),None,32
B,Church Avenue,Q,None,33
B,Newkirk Plaza,Q,None,34
B,Kings Highway,Q,None,35
B,Sheepshead Bay,Q,None,36
B,Brighton Beach,Q,None,37
C,168th Street,A 1 (IRT Broadway–Seventh Avenue Line),None,1
C,163rd Street–Amsterdam Avenue,None,None,2
C,155th Street,None,Bx6 Select Bus Service,3
C,145th Street,A B ​D (IND Concourse Line),None,4
C,135th Street,B,None,5
C,125th Street,A ​B ​​D,M60 Select Bus Service to LaGuardia Airport,6
C,116th Street,B,None,7
C,Cathedral Parkway–110th Street,B,None,8
C,103rd Street,B,None,9
C,96th Street,B,None,10
C,86th Street,B,M86 Select Bus Service,11
C,81st Street–Museum of Natural History,B,M79 Select Bus Service,12
C,72nd Street,B,None,13
C,59th Street–Columbus Circle,A ​B ​​D 1 (IRT Broadway–Seventh Avenue Line),None,14
C,50th Street,E (IND Queens Boulevard Line),Station is ADA-accessible in the southbound direction only.,15
C,42nd Street–Port Authority Bus Terminal,"A ​​E 1 ​2 ​3 (IRT Broadway–Seventh Avenue Line), 7 <7> ​ (IRT Flushing Line), N ​Q ​R ​W (BMT Broadway Line), S (42nd Street Shuttle) at Times Square–42nd Street",Port Authority Bus Terminal M34A Select Bus Service,16
C,34th Street–Penn Station,A ​​E,"M34 / M34A Select Bus Service Amtrak, LIRR, NJ Transit at Pennsylvania Station",17
C,23rd Street,E,M23 Select Bus Service,18
C,14th Street,A ​​E L (BMT Canarsie Line),None,19
C,West Fourth Street–Washington Square,A ​​E B ​D ​F ​M (IND Sixth Avenue Line),PATH at 9th Street,20
C,Spring Street,E,None,21
C,Canal Street,A ​​E,None,22
C,Chambers Street,A ​​E 2 ​3 (IRT Broadway–Seventh Avenue Line at Park Place) N ​R ​W (BMT Broadway Line at Cortlandt Street),PATH at World Trade Center,23
C,Fulton Street,A 2 ​3 (IRT Broadway–Seventh Avenue Line) 4 ​5 (IRT Lexington Avenue Line) J ​Z (BMT Nassau Street Line) Connection to R ​W (BMT Broadway Line) at Cortlandt Street via Dey Street Passageway,None,24
C,High Street,A,None,25
C,Jay Street–MetroTech,A F R ​W (BMT Fourth Avenue Line),None,26
C,Hoyt–Schermerhorn Streets,A G (IND Crosstown Line),None,27
C,Lafayette Avenue,None,None,28
C,Clinton–Washington Avenues,None,None,29
C,Franklin Avenue,S (BMT Franklin Avenue Line),None,30
C,Nostrand Avenue,A,"B44 Select Bus Service, LIRR Atlantic Branch at Nostrand Avenue",31
C,Kingston–Throop Avenues,None,B15 bus to JFK Airport,32
C,Utica Avenue,A,B46 Select Bus Service,33
C,Ralph Avenue,None,None,34
C,Rockaway Avenue,None,None,35
C,Broadway Junction,A J M Z ​ (BMT Jamaica Line) L (BMT Canarsie Line),None,36
C,Liberty Avenue,None,None,37
C,Van Siclen Avenue,None,None,38
C,Shepherd Avenue,None,None,39
C,Euclid Avenue,A,None,40
D,Norwood–205th Street,None,None,1
D,Bedford Park Boulevard,B,Some a.m. rush hour trips to and from Brooklyn begin or end their runs at this station[a],2
D,Kingsbridge Road,B,None,3
D,Fordham Road,B,Bx12 Select Bus Service,4
D,182nd–183rd Streets,B,None,5
D,Tremont Avenue,B,None,6
D,174th–175th Streets,B,None,7
D,170th Street,B,None,8
D,167th Street,B,None,9
D,161st Street–Yankee Stadium,B 4 (IRT Jerome Avenue Line),Bx6 Select Bus Service,10
D,155th Street,B,None,11
D,145th Street,B A ​C (IND Eighth Avenue Line),None,12
D,125th Street,A ​B ​C ​,M60 Select Bus Service to LaGuardia Airport,13
D,59th Street–Columbus Circle,A ​B ​C ​ 1 ​2 (IRT Broadway–Seventh Avenue Line),None,14
D,Seventh Avenue,B E (IND Queens Boulevard Line),None,15
D,47th–50th Streets–Rockefeller Center,B ​​F ​M,None,16
D,42nd Street–Bryant Park,B ​​F ​M 7 <7> ​ (IRT Flushing Line at Fifth Avenue),None,17
D,34th Street–Herald Square,B ​​F ​M N ​Q ​R ​W (BMT Broadway Line),M34 / M34A Select Bus Service PATH at 33rd Street,18
D,West Fourth Street–Washington Square,B ​​F ​M A ​C ​E (IND Eighth Avenue Line),PATH at 9th Street,19
D,Broadway–Lafayette Street,B ​​F ​M 4 ​6 <6> (IRT Lexington Avenue Line at Bleecker Street),One northbound weekday evening trip begins at this station,20
D,Grand Street,B,None,21
D,DeKalb Avenue,​N ​Q ​R,None,22
D,Atlantic Avenue–Barclays Center,​N ​R ​W B ​Q (BMT Brighton Line) 2 ​3 ​4 ​5 (IRT Eastern Parkway Line),LIRR Atlantic Branch at Atlantic Terminal,23
D,Union Street,​N ​R,None,24
D,Ninth Street,​N ​R F ​G (IND Culver Line at Fourth Avenue),None,25
D,Prospect Avenue,​N ​R,None,26
D,25th Street,​N ​R,None,27
D,36th Street,​N ​R ​W,None,28
D,Ninth Avenue,None,None,29
D,Fort Hamilton Parkway,None,None,30
D,50th Street,None,None,31
D,55th Street,None,None,32
D,62nd Street,N ​W (BMT Sea Beach Line at New Utrecht Avenue),None,33
D,71st Street,None,None,34
D,79th Street,None,None,35
D,18th Avenue,None,None,36
D,20th Avenue,None,None,37
D,Bay Parkway,None,None,38
D,25th Avenue,None,None,39
D,Bay 50th Street,None,None,40
D,Coney Island–Stillwell Avenue,F (IND Culver Line) N (BMT Sea Beach Line) Q (BMT Brighton Line),None,41
E,Jamaica–179th Street,F,None,1
E,Jamaica Center–Parsons/Archer,J ​Z,None,2
E,Briarwood,F,None,3
E,Kew Gardens–Union Turnpike,F,None,4
E,75th Avenue,F,None,5
E,Forest Hills–71st Avenue,​F ​M ​R,None,6
E,67th Avenue,None,None,7
E,63rd Drive–Rego Park,None,None,8
E,Woodhaven Boulevard,None,None,9
E,Grand Avenue–Newtown,None,None,10
E,Elmhurst Avenue,None,None,11
E,Jackson Heights–Roosevelt Avenue,7 (IRT Flushing Line) ​F ​M ​R,None,12
E,65th Street,None,None,13
E,Northern Boulevard,None,None,14
E,46th Street,None,None,15
E,Steinway Street,None,None,16
E,36th Street,None,None,17
E,Queens Plaza,​M ​R,None,18
E,Court Square–23rd Street,M G (IND Crosstown Line) 7 <7> ​ (IRT Flushing Line),None,19
E,Lexington Avenue–53rd Street,4 ​6 <6> (IRT Lexington Avenue Line at 51st Street) M,None,20
E,Fifth Avenue/53rd Street,M,None,21
E,Seventh Avenue,B ​D,None,22
E,50th Street,A ​C (IND Eighth Avenue Line),None,23
E,42nd Street–Port Authority Bus Terminal,A ​C ​ 1 ​2 ​3 (IRT Broadway–Seventh Avenue Line) 7 <7> ​ (IRT Flushing Line) N ​Q ​R ​W (BMT Broadway Line) S (42nd Street Shuttle) at Times Square–42nd Street,None,24
E,34th Street–Penn Station,A ​C ​,None,25
E,23rd Street,A ​C ​,None,26
E,14th Street,A ​C ​ L (BMT Canarsie Line),None,27
E,West Fourth Street–Washington Square,A ​C ​ B ​D ​F ​M (IND Sixth Avenue Line),None,28
E,Spring Street,A ​C ​,None,29
E,Canal Street,A ​C ​,None,30
