id,group,US8K,KFSD,BOTH
Rimshot,Music,0,4,4
Drum roll,Music,0,7,7
Bass drum,Music,0,7,7
Timpani,Music,0,3,3
Tabla,Music,0,7,7
Cymbal,Music,0,8,8
Hi-hat,Music,0,3,3
Wood block,Music,1,1,2
Tambourine,Music,0,10,10
Rattle (instrument),Music,194,411,605
Maraca,Music,2,3,5
Gong,Music,0,9,9
Tubular bells,Music,0,21,21
Mallet percussion,Music,0,5,5
"Marimba, xylophone",Music,0,22,22
Glockenspiel,Music,0,16,16
Vibraphone,Music,13,43,56
Steelpan,Music,0,3,3
Orchestra,Music,34,41,75
Brass instrument,Music,23,96,119
French horn,Music,46,66,112
Trumpet,Music,50,75,125
Trombone,Music,11,70,81
Bowed string instrument,Music,1,12,13
String section,Music,0,3,3
"Violin, fiddle",Music,42,29,71
Pizzicato,Music,0,3,3
Cello,Music,2,10,12
Double bass,Music,0,3,3
"Wind instrument, woodwind instrument",Music,4,80,84
Flute,Music,9,96,105
Saxophone,Music,0,0,0
Clarinet,Music,11,31,42
Harp,Music,0,0,0
Bell,Music,7,35,42
Church bell,Music,0,36,36
Jingle bell,Music,3,7,10
Bicycle bell,Music,4,62,66
Tuning fork,Music,1,20,21
Chime,Music,0,20,20
Wind chime,Music,1,13,14
Change ringing (campanology),Music,0,6,6
Harmonica,Music,0,21,21
Accordion,Music,0,20,20
Bagpipes,Music,0,8,8
Didgeridoo,Music,0,1,1
Shofar,Music,0,1,1
Theremin,Music,1,25,26
Singing bowl,Music,0,0,0
Scratching (performance technique),Music,3,60,63
Pop music,Music,3,11,14
Hip hop music,Music,0,1,1
Beatboxing,Music,48,119,167
Rock music,Music,1,2,3
Heavy metal,Music,0,2,2
Punk rock,Music,0,1,1
Grunge,Music,0,0,0
Progressive rock,Music,0,2,2
Rock and roll,Music,1,4,5
Psychedelic rock,Music,3,7,10
Rhythm and blues,Music,0,1,1
Soul music,Music,1,1,2
Reggae,Music,214,31,245
Country,Music,0,0,0
Swing music,Music,1,11,12
Bluegrass,Music,0,0,0
Funk,Music,59,11,70
Folk music,Music,1,0,1
Middle Eastern music,Music,4,10,14
Jazz,Music,0,0,0
Disco,Music,62,215,277
Classical music,Music,0,1,1
Opera,Music,59,149,208
Electronic music,Music,5,21,26
House music,Music,69,22,91
Techno,Music,2,19,21
Dubstep,Music,0,4,4
Drum and bass,Music,1,5,6
Electronica,Music,0,4,4
Electronic dance music,Music,0,32,32
Ambient music,Music,0,0,0
Trance music,Music,5,1,6
Music of Latin America,Music,0,1,1
Salsa music,Music,1,2,3
Flamenco,Music,0,0,0
Blues,Music,0,0,0
Music for children,Music,3,17,20
New-age music,Music,1,2,3
Vocal music,Music,27,154,181
A capella,Music,69,355,424
Music of Africa,Music,0,1,1
Afrobeat,Music,11,2,13
Christian music,Music,7,30,37
Gospel music,Music,2,5,7
Music of Asia,Music,4,11,15
Carnatic music,Music,16,83,99
Music of Bollywood,Music,8,9,17
Ska,Music,7,1,8
Traditional music,Music,2,3,5
Independent music,Music,0,0,0
Song,Music,14,79,93
Background music,Music,0,1,1
Theme music,Music,1,2,3
Jingle (music),Music,0,1,1
Soundtrack music,Music,0,1,1
Lullaby,Music,0,16,16
Video game music,Music,0,0,0
Christmas music,Music,8,31,39
Dance music,Music,6,24,30
Wedding music,Music,0,1,1
Happy music,Music,3,12,15
Funny music,Music,8,17,25
Sad music,Music,0,0,0
Tender music,Music,0,1,1
Exciting music,Music,0,2,2
Angry music,Music,0,1,1
Scary music,Music,0,0,0
Wind,Nature,2,57,59
Rustling leaves,Nature,0,6,6
Wind noise (microphone),Nature,0,41,41
Thunderstorm,Nature,0,2,2
Thunder,Nature,0,3,3
Water,Nature,11,74,85
Rain,Nature,1,16,17
Raindrop,Nature,1,32,33
Rain on surface,Nature,0,10,10
Stream,Nature,1,28,29
Waterfall,Nature,1,7,8
Ocean,Nature,2,23,25
"Waves, surf",Nature,0,22,22
Steam,Nature,0,1,1
Gurgling,Nature,0,13,13
Fire,Nature,32,54,86
Crackle,Nature,28,12,40
Vehicle,Vehicle,46,504,550
"Boat, Water vehicle",Vehicle,0,75,75
"Sailboat, sailing ship",Vehicle,0,13,13
"Rowboat, canoe, kayak",Vehicle,0,27,27
"Motorboat, speedboat",Vehicle,0,8,8
Ship,Vehicle,0,5,5
Motor vehicle (road),Vehicle,8,10,18
Car,Vehicle,18,178,196
"Vehicle horn, car horn, honking",Vehicle,3,16,19
Toot,Vehicle,0,13,13
Car alarm,Vehicle,187,289,476
"Power windows, electric windows",Vehicle,1,1,2
Skidding,Vehicle,3,38,41
Tire squeal,Vehicle,5,10,15
Car passing by,Vehicle,177,51,228
"Race car, auto racing",Vehicle,0,13,13
Truck,Vehicle,2,51,53
Air brake,Vehicle,7,11,18
"Air horn, truck horn",Vehicle,9,50,59
Reversing beeps,Vehicle,0,1,1
"Ice cream truck, ice cream van",Vehicle,6,45,51
Bus,Vehicle,17,125,142
Emergency vehicle,Vehicle,6,2,8
Police car (siren),Vehicle,0,1,1
Ambulance (siren),Vehicle,11,13,24
"Fire engine, fire truck (siren)",Vehicle,0,0,0
Motorcycle,Vehicle,15,43,58
"Traffic noise, roadway noise",Vehicle,2,50,52
Rail transport,Vehicle,0,1,1
Train,Vehicle,0,1,1
Train whistle,Vehicle,0,0,0
Train horn,Vehicle,0,0,0
"Railroad car, train wagon",Vehicle,0,0,0
Train wheels squealing,Vehicle,0,7,7
"Subway, metro, underground",Vehicle,0,1,1
Aircraft,Vehicle,0,16,16
Aircraft engine,Vehicle,1,5,6
Jet engine,Vehicle,1,62,63
"Propeller, airscrew",Vehicle,0,6,6
Helicopter,Vehicle,0,3,3
"Fixed-wing aircraft, airplane",Vehicle,0,5,5
Bicycle,Vehicle,13,93,106
Skateboard,Vehicle,3,4,7
Engine,Vehicle,25,75,100
Light engine (high frequency),Vehicle,4,4,8
"Dental drill, dentist's drill",Vehicle,29,2,31
Lawn mower,Vehicle,101,13,114
Chainsaw,Vehicle,4,15,19
Medium engine (mid frequency),Vehicle,4,37,41
Heavy engine (low frequency),Vehicle,0,8,8
Engine knocking,Vehicle,12,22,34
Engine starting,Vehicle,1,6,7
Idling,Vehicle,1,3,4
"Accelerating, revving, vroom",Vehicle,9,26,35
Door,Indoors,172,187,359
Doorbell,Indoors,14,39,53
Ding-dong,Indoors,2,23,25
Sliding door,Indoors,31,31,62
Slam,Indoors,10,19,29
Knock,Indoors,210,588,798
Tap,Indoors,6,34,40
Squeak,Indoors,454,942,1396
Cupboard open or close,Indoors,0,7,7
Drawer open or close,Indoors,1,1,2
"Dishes, pots, and pans",Indoors,114,168,282
"Cutlery, silverware",Indoors,58,62,120
Chopping (food),Indoors,2,13,15
Frying (food),Indoors,27,95,122
Microwave oven,Indoors,62,31,93
Blender,Indoors,56,51,107
"Water tap, faucet",Indoors,0,2,2
Sink (filling or washing),Indoors,0,0,0
Bathtub (filling or washing),Indoors,4,20,24
Hair dryer,Indoors,3,5,8
Toilet flush,Indoors,1,14,15
Toothbrush,Indoors,110,314,424
Electric toothbrush,Indoors,390,759,1149
Vacuum cleaner,Indoors,0,12,12
Zipper (clothing),Indoors,18,22,40
Keys jangling,Indoors,260,192,452
Coin (dropping),Indoors,22,97,119
Scissors,Indoors,150,155,305
"Electric shaver, electric razor",Indoors,8,42,50
Shuffling cards,Indoors,1,1,2
Typing,Indoors,0,26,26
Typewriter,Indoors,5,11,16
Computer keyboard,Indoors,24,110,134
Writing,Indoors,24,9,33
Alarm,Indoors,59,105,164
Telephone,Indoors,0,5,5
Telephone bell ringing,Indoors,11,59,70
Ringtone,Indoors,3,31,34
"Telephone dialing, DTMF",Indoors,5,100,105
Dial tone,Indoors,53,205,258
Busy signal,Indoors,4,6,10
Alarm clock,Indoors,1,4,5
Siren,Indoors,6,0,6
Civil defense siren,Indoors,0,0,0
Buzzer,Indoors,125,99,224
"Smoke detector, smoke alarm",Indoors,1,5,6
Fire alarm,Indoors,20,22,42
Foghorn,Mechanical,1,16,17
Whistle,Mechanical,44,157,201
Steam whistle,Mechanical,1,13,14
Mechanisms,Mechanical,59,23,82
"Ratchet, pawl",Mechanical,74,91,165
Clock,Mechanical,17,5,22
Tick,Mechanical,1,7,8
Tick-tock,Mechanical,0,9,9
Gears,Mechanical,78,57,135
Pulleys,Mechanical,29,26,55
Sewing machine,Mechanical,17,23,40
Mechanical fan,Mechanical,0,4,4
Air conditioning,Mechanical,34,4,38
Cash register,Mechanical,4,29,33
Printer,Mechanical,0,25,25
Camera,Mechanical,28,38,66
Single-lens reflex camera,Mechanical,3,16,19
Tools,Mechanical,6,3,9
Hammer,Mechanical,2,1,3
Jackhammer,Mechanical,6,0,6
Sawing,Mechanical,64,49,113
Filing (rasp),Mechanical,112,77,189
Sanding,Mechanical,89,9,98
Power tool,Mechanical,10,2,12
Drill,Mechanical,8,2,10
Explosion,Foley,61,20,81
"Gunshot, gunfire",Foley,58,9,67
Machine gun,Foley,11,5,16
Fusillade,Foley,0,0,0
Artillery fire,Foley,5,12,17
Cap gun,Foley,27,3,30
Fireworks,Foley,0,7,7
Firecracker,Foley,21,35,56
"Burst, pop",Foley,67,20,87
Eruption,Foley,12,10,22
Boom,Foley,1,5,6
Wood,Foley,73,40,113
Chop,Foley,11,26,37
Splinter,Foley,6,6,12
Crack,Foley,5,87,92
Glass,Foley,80,146,226
"Chink, clink",Foley,27,13,40
Shatter,Foley,0,1,1
Liquid,Foley,9,62,71
"Splash, splatter",Foley,3,10,13
Slosh,Foley,0,16,16
Squish,Foley,12,59,71
Drip,Foley,67,263,330
Pour,Foley,1,9,10
"Trickle, dribble",Foley,24,37,61
Gush,Foley,1,3,4
Fill (with liquid),Foley,1,11,12
Spray,Foley,2,6,8
Pump (liquid),Foley,0,10,10
Stir,Foley,11,44,55
Boiling,Foley,0,21,21
Sonar,Foley,5,7,12
Arrow,Foley,175,93,268
"Whoosh, swoosh, swish",Foley,67,152,219
"Thump, thud",Foley,1,4,5
Thunk,Foley,102,129,231
Electronic tuner,Foley,0,17,17
Effects unit,Foley,0,7,7
Chorus effect,Foley,0,7,7
Basketball bounce,Foley,61,27,88
Bang,Foley,26,15,41
"Slap, smack",Foley,731,142,873
"Whack, thwack",Foley,1,1,2
"Smash, crash",Foley,163,60,223
Breaking,Foley,4,5,9
Bouncing,Foley,24,122,146
Whip,Foley,0,2,2
Flap,Foley,8,25,33
Scratch,Foley,3,105,108
Scrape,Foley,121,226,347
Rub,Foley,339,86,425
Roll,Foley,1,2,3
Crushing,Foley,17,6,23
"Crumpling, crinkling",Foley,1,3,4
Tearing,Foley,128,93,221
"Beep, bleep",Foley,74,459,533
Ping,Foley,2,17,19
Ding,Foley,7,51,58
Clang,Foley,0,13,13
Squeal,Foley,157,308,465
Creak,Foley,101,51,152
Rustle,Foley,5,8,13
Whir,Foley,0,7,7
Clatter,Foley,91,224,315
Sizzle,Foley,112,59,171
Clicking,Foley,19,13,32
Clickety-clack,Foley,0,0,0
Rumble,Foley,0,9,9
Plop,Foley,5,66,71
"Jingle, tinkle",Foley,22,62,84
Hum,Foley,28,44,72
Zing,Foley,19,30,49
Boing,Foley,27,307,334
Crunch,Foley,53,579,632
Silence,Foley,2,31,33
Sine wave,Foley,7,92,99
Harmonic,Foley,0,11,11
Chirp tone,Foley,88,494,582
Sound effect,Foley,9,3,12
Pulse,Foley,2,1,3
"Inside, small room",Environment,308,734,1042
"Inside, large room or hall",Environment,132,201,333
"Inside, public space",Environment,7,7,14
"Outside, urban or manmade",Environment,45,97,142
"Outside, rural or natural",Environment,30,114,144
Reverberation,Environment,16,28,44
Echo,Environment,1,6,7
Noise,Noise,13,22,35
Environmental noise,Noise,0,2,2
Static,Noise,102,535,637
Mains hum,Noise,1,4,5
Distortion,Noise,0,5,5
Sidetone,Noise,2,26,28
Cacophony,Noise,1,4,5
White noise,Noise,44,46,90
Pink noise,Noise,17,4,21
Throbbing,Noise,1,16,17
Vibration,Noise,7,20,27
Television,Noise,83,46,129
Radio,Noise,4,21,25
Field recording,Noise,5,39,44
