SECTOR_NAME,POSTED_TIME,day,month,year,,,,,,,,,,,,,,
Retail,10/2/2017 7:16,10,2,2017,,,,,,,,,,,,,,
Retail,25/9/2013 16:04,25,9,2013,,,,,,,,,,,,,,
Housing,13/10/2015 6:44,13,10,2015,,,,,,,,,,,,,,
Food,23/10/2013 0:27,23,10,2013,,,,,,,,,,,,,,
Agriculture,13/11/2013 15:00,13,11,2013,,,,,,,,,,,,,,
Housing,22/6/2016 5:14,22,6,2016,,,,,,,,,,,,,,
Arts,25/11/2016 4:33,25,11,2016,,,,,,,,,,,,,,
Retail,27/7/2015 7:15,27,7,2015,,,,,,,,,,,,,,
Food,18/12/2017 7:41,18,12,2017,,,,,,,,,,,,,,
Transportation,29/9/2017 9:10,29,9,2017,,,,,,,,,,,,,,
Agriculture,28/2/2014 14:25,28,2,2014,,,,,,,,,,,,,,
Retail,12/12/2013 16:26,12,12,2013,,,,,,,,,,,,,,
Personal Use,4/10/2015 21:47,4,10,2015,,,,,,,,,,,,,,
Agriculture,23/6/2016 3:44,23,6,2016,,,,,,,,,,,,,,
Food,26/9/2017 7:43,26,9,2017,,,,,,,,,,,,,,
Manufacturing,22/10/2015 7:56,22,10,2015,,,,,,,,,,,,,,
Agriculture,25/9/2017 9:31,25,9,2017,,,,,,,,,,,,,,
Agriculture,28/7/2016 2:54,28,7,2016,,,,,,,,,,,,,,
Housing,5/8/2016 3:11,5,8,2016,,,,,,,,,,,,,,
Services,12/1/2017 14:23,12,1,2017,,,,,,,,,,,,,,
Retail,9/6/2015 23:33,9,6,2015,,,,,,,,,,,,,,
Personal Use,4/5/2017 7:03,4,5,2017,,,,,,,,,,,,,,
Retail,17/12/2013 17:10,17,12,2013,,,,,,,,,,,,,,
Retail,16/4/2014 8:57,16,4,2014,,,,,,,,,,,,,,
Agriculture,21/10/2014 8:10,21,10,2014,,,,,,,,,,,,,,
Agriculture,11/6/2014 6:51,11,6,2014,,,,,,,,,,,,,,
Agriculture,3/8/2016 7:55,3,8,2016,,,,,,,,,,,,,,
Agriculture,22/5/2017 14:59,22,5,2017,,,,,,,,,,,,,,
Agriculture,23/8/2013 15:35,23,8,2013,,,,,,,,,,,,,,
Retail,23/3/2015 17:50,23,3,2015,,,,,,,,,,,,,,
Food,25/3/2015 13:50,25,3,2015,,,,,,,,,,,,,,
Agriculture,6/2/2013 8:26,6,2,2013,,,,,,,,,,,,,,
Personal Use,28/1/2013 19:37,28,1,2013,,,,,,,,,,,,,,
Retail,18/5/2013 17:40,18,5,2013,,,,,,,,,,,,,,
Retail,6/8/2014 9:11,6,8,2014,,,,,,,,,,,,,,
Agriculture,26/3/2015 12:06,26,3,2015,,,,,,,,,,,,,,
Retail,28/11/2017 6:05,28,11,2017,,,,,,,,,,,,,,
Manufacturing,28/4/2014 21:53,28,4,2014,,,,,,,,,,,,,,
Housing,10/11/2015 6:17,10,11,2015,,,,,,,,,,,,,,
Agriculture,2/4/2015 9:05,2,4,2015,,,,,,,,,,,,,,
Agriculture,14/3/2013 8:48,14,3,2013,,,,,,,,,,,,,,
Clothing,14/11/2013 14:31,14,11,2013,,,,,,,,,,,,,,
Retail,26/3/2017 19:38,26,3,2017,,,,,,,,,,,,,,
Food,28/10/2017 22:40,28,10,2017,,,,,,,,,,,,,,
Food,11/4/2013 5:13,11,4,2013,,,,,,,,,,,,,,
Retail,18/4/2017 23:13,18,4,2017,,,,,,,,,,,,,,
Agriculture,29/12/2016 7:03,29,12,2016,,,,,,,,,,,,,,
Clothing,8/12/2014 9:31,8,12,2014,,,,,,,,,,,,,,
Agriculture,12/10/2015 2:50,12,10,2015,,,,,,,,,,,,,,
Agriculture,31/5/2017 8:02,31,5,2017,,,,,,,,,,,,,,
Food,20/9/2017 12:28,20,9,2017,,,,,,,,,,,,,,
Wholesale,18/4/2015 2:16,18,4,2015,,,,,,,,,,,,,,
Housing,20/11/2015 17:22,20,11,2015,,,,,,,,,,,,,,
Food,20/5/2014 8:41,20,5,2014,,,,,,,,,,,,,,
Retail,18/9/2014 16:05,18,9,2014,,,,,,,,,,,,,,
Transportation,18/6/2015 7:26,18,6,2015,,,,,,,,,,,,,,
Food,2/10/2015 13:01,2,10,2015,,,,,,,,,,,,,,
Food,6/11/2014 11:13,6,11,2014,,,,,,,,,,,,,,
Retail,29/6/2016 6:31,29,6,2016,,,,,,,,,,,,,,
Agriculture,28/10/2014 6:24,28,10,2014,,,,,,,,,,,,,,
Manufacturing,7/11/2014 11:30,7,11,2014,,,,,,,,,,,,,,
Arts,5/7/2016 1:00,5,7,2016,,,,,,,,,,,,,,
Agriculture,11/1/2014 11:35,11,1,2014,,,,,,,,,,,,,,
Food,9/12/2015 23:53,9,12,2015,,,,,,,,,,,,,,
Agriculture,23/3/2015 2:51,23,3,2015,,,,,,,,,,,,,,
Agriculture,13/6/2014 8:34,13,6,2014,,,,,,,,,,,,,,
Agriculture,20/9/2015 1:01,20,9,2015,,,,,,,,,,,,,,
Retail,2/6/2015 3:07,2,6,2015,,,,,,,,,,,,,,
Food,24/7/2017 8:01,24,7,2017,,,,,,,,,,,,,,
Education,30/11/2014 20:09,30,11,2014,,,,,,,,,,,,,,
Retail,26/11/2015 9:06,26,11,2015,,,,,,,,,,,,,,
Food,27/11/2013 8:26,27,11,2013,,,,,,,,,,,,,,
Clothing,8/11/2016 9:30,8,11,2016,,,,,,,,,,,,,,
Agriculture,25/4/2017 4:46,25,4,2017,,,,,,,,,,,,,,
Personal Use,20/3/2017 7:13,20,3,2017,,,,,,,,,,,,,,
Agriculture,9/5/2014 1:17,9,5,2014,,,,,,,,,,,,,,
Clothing,22/10/2015 16:51,22,10,2015,,,,,,,,,,,,,,
Agriculture,29/7/2014 4:43,29,7,2014,,,,,,,,,,,,,,
Agriculture,7/6/2017 14:00,7,6,2017,,,,,,,,,,,,,,
Food,11/3/2016 6:48,11,3,2016,,,,,,,,,,,,,,
Food,6/11/2017 9:13,6,11,2017,,,,,,,,,,,,,,
Food,28/3/2016 5:07,28,3,2016,,,,,,,,,,,,,,
Agriculture,22/6/2015 7:18,22,6,2015,,,,,,,,,,,,,,
Food,3/3/2015 13:49,3,3,2015,,,,,,,,,,,,,,
Manufacturing,22/3/2016 0:47,22,3,2016,,,,,,,,,,,,,,
Agriculture,15/6/2015 23:47,15,6,2015,,,,,,,,,,,,,,
Transportation,10/4/2013 7:58,10,4,2013,,,,,,,,,,,,,,
Agriculture,25/4/2014 4:08,25,4,2014,,,,,,,,,,,,,,
Food,2/6/2016 2:00,2,6,2016,,,,,,,,,,,,,,
Retail,4/3/2015 3:42,4,3,2015,,,,,,,,,,,,,,
Clothing,22/3/2013 9:22,22,3,2013,,,,,,,,,,,,,,
Personal Use,26/7/2015 9:23,26,7,2015,,,,,,,,,,,,,,
Retail,8/10/2013 7:36,8,10,2013,,,,,,,,,,,,,,
Retail,15/2/2017 0:31,15,2,2017,,,,,,,,,,,,,,
Agriculture,18/2/2016 4:41,18,2,2016,,,,,,,,,,,,,,
Services,10/7/2013 7:27,10,7,2013,,,,,,,,,,,,,,
Food,19/6/2015 21:23,19,6,2015,,,,,,,,,,,,,,
Transportation,17/7/2013 1:42,17,7,2013,,,,,,,,,,,,,,
Clothing,17/5/2017 8:03,17,5,2017,,,,,,,,,,,,,,
Retail,22/3/2016 10:57,22,3,2016,,,,,,,,,,,,,,
Retail,18/4/2017 8:40,18,4,2017,,,,,,,,,,,,,,
Agriculture,3/5/2016 9:51,3,5,2016,,,,,,,,,,,,,,
Agriculture,17/11/2017 3:42,17,11,2017,,,,,,,,,,,,,,
Services,27/9/2013 20:47,27,9,2013,,,,,,,,,,,,,,
Housing,11/8/2016 8:23,11,8,2016,,,,,,,,,,,,,,
Food,24/4/2014 11:46,24,4,2014,,,,,,,,,,,,,,
Agriculture,30/8/2017 9:10,30,8,2017,,,,,,,,,,,,,,
Food,10/11/2017 5:05,10,11,2017,,,,,,,,,,,,,,
Food,17/6/2013 11:48,17,6,2013,,,,,,,,,,,,,,
Agriculture,8/12/2016 8:06,8,12,2016,,,,,,,,,,,,,,
Food,7/4/2017 15:57,7,4,2017,,,,,,,,,,,,,,
Clothing,26/5/2014 14:33,26,5,2014,,,,,,,,,,,,,,
Food,18/8/2014 10:44,18,8,2014,,,,,,,,,,,,,,
Retail,6/12/2017 3:41,6,12,2017,,,,,,,,,,,,,,
Services,6/5/2016 13:29,6,5,2016,,,,,,,,,,,,,,
Education,3/12/2014 8:47,3,12,2014,,,,,,,,,,,,,,
Housing,29/3/2013 20:23,29,3,2013,,,,,,,,,,,,,,
Education,25/7/2017 0:58,25,7,2017,,,,,,,,,,,,,,
Food,9/7/2016 18:02,9,7,2016,,,,,,,,,,,,,,
Food,15/7/2014 14:53,15,7,2014,,,,,,,,,,,,,,
Agriculture,2/3/2015 4:01,2,3,2015,,,,,,,,,,,,,,
Agriculture,31/1/2013 14:51,31,1,2013,,,,,,,,,,,,,,
Retail,4/10/2017 0:16,4,10,2017,,,,,,,,,,,,,,
Agriculture,14/3/2016 11:35,14,3,2016,,,,,,,,,,,,,,
Agriculture,21/1/2016 10:08,21,1,2016,,,,,,,,,,,,,,
Food,6/9/2017 14:23,6,9,2017,,,,,,,,,,,,,,
Food,15/10/2015 1:39,15,10,2015,,,,,,,,,,,,,,
Housing,20/11/2014 21:42,20,11,2014,,,,,,,,,,,,,,
Retail,4/9/2017 6:22,4,9,2017,,,,,,,,,,,,,,
Food,22/10/2013 2:34,22,10,2013,,,,,,,,,,,,,,
Education,20/11/2013 7:03,20,11,2013,,,,,,,,,,,,,,
Clothing,27/1/2017 14:12,27,1,2017,,,,,,,,,,,,,,
Housing,24/8/2014 11:51,24,8,2014,,,,,,,,,,,,,,
Retail,16/1/2013 12:49,16,1,2013,,,,,,,,,,,,,,
Retail,8/5/2013 5:51,8,5,2013,,,,,,,,,,,,,,
Agriculture,27/4/2015 11:44,27,4,2015,,,,,,,,,,,,,,
Services,24/7/2013 6:29,24,7,2013,,,,,,,,,,,,,,
Agriculture,20/5/2017 8:25,20,5,2017,,,,,,,,,,,,,,
Retail,20/9/2017 22:11,20,9,2017,,,,,,,,,,,,,,
Retail,23/1/2015 2:11,23,1,2015,,,,,,,,,,,,,,
Food,10/7/2015 9:00,10,7,2015,,,,,,,,,,,,,,
Food,14/3/2016 2:25,14,3,2016,,,,,,,,,,,,,,
Education,26/8/2014 7:53,26,8,2014,,,,,,,,,,,,,,
Food,12/1/2015 6:47,12,1,2015,,,,,,,,,,,,,,
Agriculture,17/3/2015 7:01,17,3,2015,,,,,,,,,,,,,,
Food,2/5/2016 6:46,2,5,2016,,,,,,,,,,,,,,
Health,26/11/2013 17:25,26,11,2013,,,,,,,,,,,,,,
Food,21/1/2014 13:31,21,1,2014,,,,,,,,,,,,,,
Agriculture,21/4/2017 8:10,21,4,2017,,,,,,,,,,,,,,
Retail,28/1/2014 0:21,28,1,2014,,,,,,,,,,,,,,
Agriculture,23/4/2015 3:13,23,4,2015,,,,,,,,,,,,,,
Retail,4/6/2015 8:25,4,6,2015,,,,,,,,,,,,,,
Food,21/10/2015 3:24,21,10,2015,,,,,,,,,,,,,,
Agriculture,17/7/2017 13:27,17,7,2017,,,,,,,,,,,,,,
Education,4/4/2017 21:16,4,4,2017,,,,,,,,,,,,,,
Food,30/4/2014 9:13,30,4,2014,,,,,,,,,,,,,,
Agriculture,29/10/2013 15:52,29,10,2013,,,,,,,,,,,,,,
Agriculture,11/8/2016 8:34,11,8,2016,,,,,,,,,,,,,,
Agriculture,14/2/2013 16:02,14,2,2013,,,,,,,,,,,,,,
Food,18/11/2016 12:31,18,11,2016,,,,,,,,,,,,,,
Agriculture,30/9/2016 1:30,30,9,2016,,,,,,,,,,,,,,
Transportation,31/3/2017 6:18,31,3,2017,,,,,,,,,,,,,,
Food,16/11/2017 14:48,16,11,2017,,,,,,,,,,,,,,
Retail,26/3/2014 18:05,26,3,2014,,,,,,,,,,,,,,
Agriculture,3/3/2016 2:28,3,3,2016,,,,,,,,,,,,,,
Personal Use,7/10/2015 3:40,7,10,2015,,,,,,,,,,,,,,
Personal Use,9/9/2013 15:48,9,9,2013,,,,,,,,,,,,,,
Food,20/7/2015 6:37,20,7,2015,,,,,,,,,,,,,,
Agriculture,21/10/2013 4:56,21,10,2013,,,,,,,,,,,,,,
Food,25/2/2016 20:27,25,2,2016,,,,,,,,,,,,,,
Personal Use,26/12/2016 6:21,26,12,2016,,,,,,,,,,,,,,
Agriculture,10/3/2014 4:29,10,3,2014,,,,,,,,,,,,,,
Food,19/2/2017 13:19,19,2,2017,,,,,,,,,,,,,,
Retail,9/10/2015 1:40,9,10,2015,,,,,,,,,,,,,,
Personal Use,8/12/2016 2:59,8,12,2016,,,,,,,,,,,,,,
Education,8/12/2017 13:35,8,12,2017,,,,,,,,,,,,,,
Clothing,26/2/2014 12:43,26,2,2014,,,,,,,,,,,,,,
Agriculture,8/9/2015 20:45,8,9,2015,,,,,,,,,,,,,,
Retail,28/11/2016 5:31,28,11,2016,,,,,,,,,,,,,,
Education,29/9/2016 11:29,29,9,2016,,,,,,,,,,,,,,
Food,27/9/2016 10:36,27,9,2016,,,,,,,,,,,,,,
Food,11/11/2017 0:06,11,11,2017,,,,,,,,,,,,,,
Services,2/6/2013 7:40,2,6,2013,,,,,,,,,,,,,,
Food,29/9/2016 12:55,29,9,2016,,,,,,,,,,,,,,
Agriculture,10/7/2013 10:35,10,7,2013,,,,,,,,,,,,,,
Retail,29/5/2013 0:41,29,5,2013,,,,,,,,,,,,,,
Retail,7/12/2016 7:36,7,12,2016,,,,,,,,,,,,,,
Food,14/12/2017 14:50,14,12,2017,,,,,,,,,,,,,,
Food,3/4/2017 8:04,3,4,2017,,,,,,,,,,,,,,
Agriculture,12/3/2014 17:30,12,3,2014,,,,,,,,,,,,,,
Arts,27/2/2017 3:51,27,2,2017,,,,,,,,,,,,,,
Retail,27/3/2013 15:32,27,3,2013,,,,,,,,,,,,,,
Agriculture,16/4/2013 9:35,16,4,2013,,,,,,,,,,,,,,
Housing,3/10/2013 8:25,3,10,2013,,,,,,,,,,,,,,
Retail,16/5/2016 2:03,16,5,2016,,,,,,,,,,,,,,
Retail,18/6/2014 8:08,18,6,2014,,,,,,,,,,,,,,
Housing,27/11/2014 22:52,27,11,2014,,,,,,,,,,,,,,
Housing,21/7/2016 3:10,21,7,2016,,,,,,,,,,,,,,
Retail,21/6/2017 2:42,21,6,2017,,,,,,,,,,,,,,
Services,1/1/2014 9:48,1,1,2014,,,,,,,,,,,,,,
Agriculture,17/1/2017 12:11,17,1,2017,,,,,,,,,,,,,,
Agriculture,14/6/2013 6:56,14,6,2013,,,,,,,,,,,,,,
Transportation,29/10/2013 0:04,29,10,2013,,,,,,,,,,,,,,
Agriculture,12/8/2015 12:45,12,8,2015,,,,,,,,,,,,,,
Food,13/7/2017 12:48,13,7,2017,,,,,,,,,,,,,,
Food,18/3/2014 2:11,18,3,2014,,,,,,,,,,,,,,
Housing,13/12/2017 5:44,13,12,2017,,,,,,,,,,,,,,
Agriculture,13/3/2013 9:59,13,3,2013,,,,,,,,,,,,,,
Agriculture,15/5/2015 6:51,15,5,2015,,,,,,,,,,,,,,
Retail,21/10/2017 21:43,21,10,2017,,,,,,,,,,,,,,
Housing,21/8/2015 14:32,21,8,2015,,,,,,,,,,,,,,
Transportation,1/2/2013 6:05,1,2,2013,,,,,,,,,,,,,,
Clothing,30/11/2013 10:39,30,11,2013,,,,,,,,,,,,,,
Food,24/1/2015 0:54,24,1,2015,,,,,,,,,,,,,,
Health,24/9/2015 23:29,24,9,2015,,,,,,,,,,,,,,
Retail,13/12/2017 21:54,13,12,2017,,,,,,,,,,,,,,
Clothing,18/7/2017 16:57,18,7,2017,,,,,,,,,,,,,,
Agriculture,20/1/2016 10:54,20,1,2016,,,,,,,,,,,,,,
Retail,21/6/2017 4:15,21,6,2017,,,,,,,,,,,,,,
Food,26/6/2015 19:35,26,6,2015,,,,,,,,,,,,,,
Personal Use,13/12/2016 13:18,13,12,2016,,,,,,,,,,,,,,
Retail,12/2/2017 22:48,12,2,2017,,,,,,,,,,,,,,
Agriculture,21/5/2014 12:04,21,5,2014,,,,,,,,,,,,,,
Arts,10/9/2015 6:10,10,9,2015,,,,,,,,,,,,,,
Services,14/10/2014 20:09,14,10,2014,,,,,,,,,,,,,,
Food,25/5/2017 3:11,25,5,2017,,,,,,,,,,,,,,
Education,16/2/2015 17:13,16,2,2015,,,,,,,,,,,,,,
Personal Use,29/8/2016 8:40,29,8,2016,,,,,,,,,,,,,,
Clothing,21/9/2015 12:54,21,9,2015,,,,,,,,,,,,,,
Services,17/4/2015 7:59,17,4,2015,,,,,,,,,,,,,,
Clothing,16/9/2013 10:43,16,9,2013,,,,,,,,,,,,,,
Construction,20/8/2015 13:20,20,8,2015,,,,,,,,,,,,,,
Agriculture,1/9/2015 6:55,1,9,2015,,,,,,,,,,,,,,
Personal Use,8/6/2016 4:39,8,6,2016,,,,,,,,,,,,,,
Manufacturing,13/8/2014 15:48,13,8,2014,,,,,,,,,,,,,,
Agriculture,27/7/2015 7:18,27,7,2015,,,,,,,,,,,,,,
Clothing,26/11/2015 8:41,26,11,2015,,,,,,,,,,,,,,
Food,24/7/2013 16:06,24,7,2013,,,,,,,,,,,,,,
Personal Use,12/5/2017 3:47,12,5,2017,,,,,,,,,,,,,,
Clothing,25/12/2015 8:07,25,12,2015,,,,,,,,,,,,,,
Agriculture,30/7/2013 10:19,30,7,2013,,,,,,,,,,,,,,
Services,8/3/2013 13:38,8,3,2013,,,,,,,,,,,,,,
Agriculture,8/10/2015 8:19,8,10,2015,,,,,,,,,,,,,,
Food,6/7/2015 4:09,6,7,2015,,,,,,,,,,,,,,
Food,28/8/2015 16:27,28,8,2015,,,,,,,,,,,,,,
Food,24/4/2013 18:03,24,4,2013,,,,,,,,,,,,,,
Food,16/7/2014 16:24,16,7,2014,,,,,,,,,,,,,,
