LOAN_AMOUNT,SECTOR_NAME,POSTED_TIME,day,month,year,,,,,,,,,,,,,,
825,Retail,6/9/2013 16:26,6,9,2013,,,,,,,,,,,,,,
825,Food,28/3/2016 20:54,28,3,2016,,,,,,,,,,,,,,
250,Food,17/3/2017 8:00,17,3,2017,,,,,,,,,,,,,,
4000,Food,20/5/2013 9:00,20,5,2013,,,,,,,,,,,,,,
700,Agriculture,17/10/2016 15:38,17,10,2016,,,,,,,,,,,,,,
1175,Retail,17/6/2014 7:35,17,6,2014,,,,,,,,,,,,,,
450,Retail,2/10/2015 3:43,2,10,2015,,,,,,,,,,,,,,
500,Agriculture,31/8/2016 0:37,31,8,2016,,,,,,,,,,,,,,
1050,Agriculture,14/7/2016 8:48,14,7,2016,,,,,,,,,,,,,,
1500,Services,25/4/2013 9:03,25,4,2013,,,,,,,,,,,,,,
1025,Services,2/1/2015 14:42,2,1,2015,,,,,,,,,,,,,,
275,Retail,5/9/2016 7:24,5,9,2016,,,,,,,,,,,,,,
475,Retail,9/3/2016 2:30,9,3,2016,,,,,,,,,,,,,,
500,Retail,18/8/2016 7:30,18,8,2016,,,,,,,,,,,,,,
100,Personal Use,12/11/2015 7:45,12,11,2015,,,,,,,,,,,,,,
600,Agriculture,15/4/2013 5:23,15,4,2013,,,,,,,,,,,,,,
250,Agriculture,23/6/2017 11:08,23,6,2017,,,,,,,,,,,,,,
100,Retail,21/6/2016 3:32,21,6,2016,,,,,,,,,,,,,,
750,Agriculture,15/3/2013 10:00,15,3,2013,,,,,,,,,,,,,,
500,Agriculture,30/3/2016 15:00,30,3,2016,,,,,,,,,,,,,,
950,Health,9/11/2013 7:30,9,11,2013,,,,,,,,,,,,,,
125,Personal Use,25/12/2017 9:22,25,12,2017,,,,,,,,,,,,,,
500,Transportation,17/2/2016 6:49,17,2,2016,,,,,,,,,,,,,,
5925,Food,22/10/2015 22:38,22,10,2015,,,,,,,,,,,,,,
50,Personal Use,9/1/2017 11:10,9,1,2017,,,,,,,,,,,,,,
700,Retail,29/6/2017 3:49,29,6,2017,,,,,,,,,,,,,,
575,Food,21/7/2014 10:10,21,7,2014,,,,,,,,,,,,,,
250,Agriculture,11/6/2015 2:22,11,6,2015,,,,,,,,,,,,,,
425,Food,28/5/2014 5:11,28,5,2014,,,,,,,,,,,,,,
550,Retail,9/8/2016 5:12,9,8,2016,,,,,,,,,,,,,,
4675,Retail,19/5/2014 14:02,19,5,2014,,,,,,,,,,,,,,
650,Food,30/7/2015 9:34,30,7,2015,,,,,,,,,,,,,,
2025,Food,23/9/2015 15:49,23,9,2015,,,,,,,,,,,,,,
525,Agriculture,10/11/2014 8:45,10,11,2014,,,,,,,,,,,,,,
3425,Clothing,2/7/2015 20:44,2,7,2015,,,,,,,,,,,,,,
900,Food,9/2/2017 0:01,9,2,2017,,,,,,,,,,,,,,
1150,Food,17/7/2014 18:05,17,7,2014,,,,,,,,,,,,,,
250,Housing,26/8/2014 20:10,26,8,2014,,,,,,,,,,,,,,
125,Retail,12/2/2013 9:46,12,2,2013,,,,,,,,,,,,,,
1325,Retail,24/3/2017 1:59,24,3,2017,,,,,,,,,,,,,,
1300,Agriculture,7/10/2014 5:36,7,10,2014,,,,,,,,,,,,,,
350,Education,27/6/2014 7:59,27,6,2014,,,,,,,,,,,,,,
100,Agriculture,7/6/2016 6:07,7,6,2016,,,,,,,,,,,,,,
2000,Services,10/2/2014 11:33,10,2,2014,,,,,,,,,,,,,,
225,Services,17/1/2013 12:00,17,1,2013,,,,,,,,,,,,,,
75,Agriculture,26/11/2014 10:51,26,11,2014,,,,,,,,,,,,,,
125,Retail,31/7/2015 14:48,31,7,2015,,,,,,,,,,,,,,
250,Food,19/9/2017 8:44,19,9,2017,,,,,,,,,,,,,,
250,Education,29/1/2014 20:08,29,1,2014,,,,,,,,,,,,,,
775,Retail,18/11/2014 12:41,18,11,2014,,,,,,,,,,,,,,
325,Services,8/5/2017 10:17,8,5,2017,,,,,,,,,,,,,,
1225,Agriculture,6/2/2013 11:41,6,2,2013,,,,,,,,,,,,,,
1200,Agriculture,26/1/2017 11:19,26,1,2017,,,,,,,,,,,,,,
325,Retail,28/11/2016 5:57,28,11,2016,,,,,,,,,,,,,,
250,Food,1/7/2014 3:13,1,7,2014,,,,,,,,,,,,,,
1000,Services,8/9/2014 12:13,8,9,2014,,,,,,,,,,,,,,
300,Services,26/5/2017 7:24,26,5,2017,,,,,,,,,,,,,,
1350,Retail,6/11/2014 22:31,6,11,2014,,,,,,,,,,,,,,
200,Clothing,30/12/2015 11:59,30,12,2015,,,,,,,,,,,,,,
3800,Food,25/4/2016 17:34,25,4,2016,,,,,,,,,,,,,,
500,Education,30/8/2014 2:25,30,8,2014,,,,,,,,,,,,,,
475,Food,12/6/2014 22:08,12,6,2014,,,,,,,,,,,,,,
825,Construction,25/4/2013 4:17,25,4,2013,,,,,,,,,,,,,,
325,Food,19/6/2014 9:50,19,6,2014,,,,,,,,,,,,,,
1200,Agriculture,25/11/2014 14:38,25,11,2014,,,,,,,,,,,,,,
600,Services,20/12/2013 10:57,20,12,2013,,,,,,,,,,,,,,
350,Food,20/12/2016 3:06,20,12,2016,,,,,,,,,,,,,,
300,Personal Use,10/10/2013 21:08,10,10,2013,,,,,,,,,,,,,,
175,Personal Use,17/11/2017 2:55,17,11,2017,,,,,,,,,,,,,,
300,Services,5/6/2013 8:45,5,6,2013,,,,,,,,,,,,,,
1025,Agriculture,16/10/2017 22:31,16,10,2017,,,,,,,,,,,,,,
950,Retail,25/6/2013 8:48,25,6,2013,,,,,,,,,,,,,,
400,Clothing,5/8/2014 20:20,5,8,2014,,,,,,,,,,,,,,
1025,Retail,28/10/2015 14:39,28,10,2015,,,,,,,,,,,,,,
300,Agriculture,20/12/2017 7:15,20,12,2017,,,,,,,,,,,,,,
500,Agriculture,22/9/2016 11:30,22,9,2016,,,,,,,,,,,,,,
775,Retail,11/3/2017 1:26,11,3,2017,,,,,,,,,,,,,,
225,Agriculture,17/10/2016 11:39,17,10,2016,,,,,,,,,,,,,,
650,Agriculture,20/3/2017 23:04,20,3,2017,,,,,,,,,,,,,,
350,Agriculture,3/2/2015 5:44,3,2,2015,,,,,,,,,,,,,,
500,Food,30/3/2016 7:54,30,3,2016,,,,,,,,,,,,,,
175,Retail,15/2/2014 0:28,15,2,2014,,,,,,,,,,,,,,
600,Agriculture,16/6/2014 20:24,16,6,2014,,,,,,,,,,,,,,
1000,Retail,5/11/2015 16:19,5,11,2015,,,,,,,,,,,,,,
1625,Agriculture,18/6/2013 12:26,18,6,2013,,,,,,,,,,,,,,
200,Agriculture,24/11/2015 7:17,24,11,2015,,,,,,,,,,,,,,
175,Food,12/11/2015 7:44,12,11,2015,,,,,,,,,,,,,,
625,Food,20/2/2013 7:00,20,2,2013,,,,,,,,,,,,,,
425,Agriculture,28/2/2014 8:42,28,2,2014,,,,,,,,,,,,,,
300,Agriculture,14/7/2017 4:10,14,7,2017,,,,,,,,,,,,,,
125,Personal Use,9/1/2017 6:40,9,1,2017,,,,,,,,,,,,,,
200,Agriculture,7/10/2016 13:50,7,10,2016,,,,,,,,,,,,,,
725,Agriculture,14/12/2013 14:40,14,12,2013,,,,,,,,,,,,,,
225,Retail,2/4/2014 2:05,2,4,2014,,,,,,,,,,,,,,
1275,Agriculture,19/9/2013 21:13,19,9,2013,,,,,,,,,,,,,,
600,Retail,20/10/2014 9:58,20,10,2014,,,,,,,,,,,,,,
250,Services,31/5/2013 6:50,31,5,2013,,,,,,,,,,,,,,
100,Agriculture,31/3/2017 5:09,31,3,2017,,,,,,,,,,,,,,
250,Manufacturing,22/10/2013 11:13,22,10,2013,,,,,,,,,,,,,,
575,Clothing,5/2/2015 0:59,5,2,2015,,,,,,,,,,,,,,
625,Retail,12/3/2014 10:09,12,3,2014,,,,,,,,,,,,,,
800,Agriculture,18/5/2013 17:42,18,5,2013,,,,,,,,,,,,,,
775,Clothing,28/12/2016 20:10,28,12,2016,,,,,,,,,,,,,,
975,Food,30/10/2017 7:25,30,10,2017,,,,,,,,,,,,,,
100,Personal Use,19/12/2017 3:26,19,12,2017,,,,,,,,,,,,,,
125,Retail,10/2/2017 7:16,10,2,2017,,,,,,,,,,,,,,
175,Retail,25/9/2013 16:04,25,9,2013,,,,,,,,,,,,,,
700,Housing,13/10/2015 6:44,13,10,2015,,,,,,,,,,,,,,
250,Food,23/10/2013 0:27,23,10,2013,,,,,,,,,,,,,,
1100,Agriculture,13/11/2013 15:00,13,11,2013,,,,,,,,,,,,,,
125,Housing,22/6/2016 5:14,22,6,2016,,,,,,,,,,,,,,
125,Arts,25/11/2016 4:33,25,11,2016,,,,,,,,,,,,,,
900,Retail,27/7/2015 7:15,27,7,2015,,,,,,,,,,,,,,
300,Food,18/12/2017 7:41,18,12,2017,,,,,,,,,,,,,,
300,Transportation,29/9/2017 9:10,29,9,2017,,,,,,,,,,,,,,
275,Agriculture,28/2/2014 14:25,28,2,2014,,,,,,,,,,,,,,
1050,Retail,12/12/2013 16:26,12,12,2013,,,,,,,,,,,,,,
50,Personal Use,4/10/2015 21:47,4,10,2015,,,,,,,,,,,,,,
1250,Agriculture,23/6/2016 3:44,23,6,2016,,,,,,,,,,,,,,
1000,Food,26/9/2017 7:43,26,9,2017,,,,,,,,,,,,,,
875,Manufacturing,22/10/2015 7:56,22,10,2015,,,,,,,,,,,,,,
1275,Agriculture,25/9/2017 9:31,25,9,2017,,,,,,,,,,,,,,
225,Agriculture,28/7/2016 2:54,28,7,2016,,,,,,,,,,,,,,
650,Housing,5/8/2016 3:11,5,8,2016,,,,,,,,,,,,,,
2300,Services,12/1/2017 14:23,12,1,2017,,,,,,,,,,,,,,
600,Retail,9/6/2015 23:33,9,6,2015,,,,,,,,,,,,,,
200,Personal Use,4/5/2017 7:03,4,5,2017,,,,,,,,,,,,,,
650,Retail,17/12/2013 17:10,17,12,2013,,,,,,,,,,,,,,
500,Retail,16/4/2014 8:57,16,4,2014,,,,,,,,,,,,,,
1875,Agriculture,21/10/2014 8:10,21,10,2014,,,,,,,,,,,,,,
700,Agriculture,11/6/2014 6:51,11,6,2014,,,,,,,,,,,,,,
100,Agriculture,3/8/2016 7:55,3,8,2016,,,,,,,,,,,,,,
225,Agriculture,22/5/2017 14:59,22,5,2017,,,,,,,,,,,,,,
650,Agriculture,23/8/2013 15:35,23,8,2013,,,,,,,,,,,,,,
500,Retail,23/3/2015 17:50,23,3,2015,,,,,,,,,,,,,,
300,Food,25/3/2015 13:50,25,3,2015,,,,,,,,,,,,,,
2425,Agriculture,6/2/2013 8:26,6,2,2013,,,,,,,,,,,,,,
1025,Personal Use,28/1/2013 19:37,28,1,2013,,,,,,,,,,,,,,
500,Retail,18/5/2013 17:40,18,5,2013,,,,,,,,,,,,,,
525,Retail,6/8/2014 9:11,6,8,2014,,,,,,,,,,,,,,
350,Agriculture,26/3/2015 12:06,26,3,2015,,,,,,,,,,,,,,
300,Retail,28/11/2017 6:05,28,11,2017,,,,,,,,,,,,,,
525,Manufacturing,28/4/2014 21:53,28,4,2014,,,,,,,,,,,,,,
200,Housing,10/11/2015 6:17,10,11,2015,,,,,,,,,,,,,,
150,Agriculture,2/4/2015 9:05,2,4,2015,,,,,,,,,,,,,,
200,Agriculture,14/3/2013 8:48,14,3,2013,,,,,,,,,,,,,,
2575,Clothing,14/11/2013 14:31,14,11,2013,,,,,,,,,,,,,,
6025,Retail,26/3/2017 19:38,26,3,2017,,,,,,,,,,,,,,
3325,Food,28/10/2017 22:40,28,10,2017,,,,,,,,,,,,,,
900,Food,11/4/2013 5:13,11,4,2013,,,,,,,,,,,,,,
1100,Retail,18/4/2017 23:13,18,4,2017,,,,,,,,,,,,,,
225,Agriculture,29/12/2016 7:03,29,12,2016,,,,,,,,,,,,,,
750,Clothing,8/12/2014 9:31,8,12,2014,,,,,,,,,,,,,,
1475,Agriculture,12/10/2015 2:50,12,10,2015,,,,,,,,,,,,,,
1475,Agriculture,31/5/2017 8:02,31,5,2017,,,,,,,,,,,,,,
175,Food,20/9/2017 12:28,20,9,2017,,,,,,,,,,,,,,
475,Wholesale,18/4/2015 2:16,18,4,2015,,,,,,,,,,,,,,
925,Housing,20/11/2015 17:22,20,11,2015,,,,,,,,,,,,,,
525,Food,20/5/2014 8:41,20,5,2014,,,,,,,,,,,,,,
875,Retail,18/9/2014 16:05,18,9,2014,,,,,,,,,,,,,,
1125,Transportation,18/6/2015 7:26,18,6,2015,,,,,,,,,,,,,,
350,Food,2/10/2015 13:01,2,10,2015,,,,,,,,,,,,,,
75,Food,6/11/2014 11:13,6,11,2014,,,,,,,,,,,,,,
150,Retail,29/6/2016 6:31,29,6,2016,,,,,,,,,,,,,,
1500,Agriculture,28/10/2014 6:24,28,10,2014,,,,,,,,,,,,,,
1000,Manufacturing,7/11/2014 11:30,7,11,2014,,,,,,,,,,,,,,
475,Arts,5/7/2016 1:00,5,7,2016,,,,,,,,,,,,,,
425,Agriculture,11/1/2014 11:35,11,1,2014,,,,,,,,,,,,,,
125,Food,9/12/2015 23:53,9,12,2015,,,,,,,,,,,,,,
275,Agriculture,23/3/2015 2:51,23,3,2015,,,,,,,,,,,,,,
900,Agriculture,13/6/2014 8:34,13,6,2014,,,,,,,,,,,,,,
225,Agriculture,20/9/2015 1:01,20,9,2015,,,,,,,,,,,,,,
375,Retail,2/6/2015 3:07,2,6,2015,,,,,,,,,,,,,,
325,Food,24/7/2017 8:01,24,7,2017,,,,,,,,,,,,,,
2575,Education,30/11/2014 20:09,30,11,2014,,,,,,,,,,,,,,
1500,Retail,26/11/2015 9:06,26,11,2015,,,,,,,,,,,,,,
1150,Food,27/11/2013 8:26,27,11,2013,,,,,,,,,,,,,,
400,Clothing,8/11/2016 9:30,8,11,2016,,,,,,,,,,,,,,
300,Agriculture,25/4/2017 4:46,25,4,2017,,,,,,,,,,,,,,
200,Personal Use,20/3/2017 7:13,20,3,2017,,,,,,,,,,,,,,
550,Agriculture,9/5/2014 1:17,9,5,2014,,,,,,,,,,,,,,
500,Clothing,22/10/2015 16:51,22,10,2015,,,,,,,,,,,,,,
500,Agriculture,29/7/2014 4:43,29,7,2014,,,,,,,,,,,,,,
125,Agriculture,7/6/2017 14:00,7,6,2017,,,,,,,,,,,,,,
450,Food,11/3/2016 6:48,11,3,2016,,,,,,,,,,,,,,
400,Food,6/11/2017 9:13,6,11,2017,,,,,,,,,,,,,,
325,Food,28/3/2016 5:07,28,3,2016,,,,,,,,,,,,,,
325,Agriculture,22/6/2015 7:18,22,6,2015,,,,,,,,,,,,,,
350,Food,3/3/2015 13:49,3,3,2015,,,,,,,,,,,,,,
875,Manufacturing,22/3/2016 0:47,22,3,2016,,,,,,,,,,,,,,
950,Agriculture,15/6/2015 23:47,15,6,2015,,,,,,,,,,,,,,
300,Transportation,10/4/2013 7:58,10,4,2013,,,,,,,,,,,,,,
800,Agriculture,25/4/2014 4:08,25,4,2014,,,,,,,,,,,,,,
325,Food,2/6/2016 2:00,2,6,2016,,,,,,,,,,,,,,
350,Retail,4/3/2015 3:42,4,3,2015,,,,,,,,,,,,,,
800,Clothing,22/3/2013 9:22,22,3,2013,,,,,,,,,,,,,,
700,Personal Use,26/7/2015 9:23,26,7,2015,,,,,,,,,,,,,,
250,Retail,8/10/2013 7:36,8,10,2013,,,,,,,,,,,,,,
625,Retail,15/2/2017 0:31,15,2,2017,,,,,,,,,,,,,,
350,Agriculture,18/2/2016 4:41,18,2,2016,,,,,,,,,,,,,,
275,Services,10/7/2013 7:27,10,7,2013,,,,,,,,,,,,,,
800,Food,19/6/2015 21:23,19,6,2015,,,,,,,,,,,,,,
150,Transportation,17/7/2013 1:42,17,7,2013,,,,,,,,,,,,,,
350,Clothing,17/5/2017 8:03,17,5,2017,,,,,,,,,,,,,,
125,Retail,22/3/2016 10:57,22,3,2016,,,,,,,,,,,,,,
225,Retail,18/4/2017 8:40,18,4,2017,,,,,,,,,,,,,,
300,Agriculture,3/5/2016 9:51,3,5,2016,,,,,,,,,,,,,,
1475,Agriculture,17/11/2017 3:42,17,11,2017,,,,,,,,,,,,,,
400,Services,27/9/2013 20:47,27,9,2013,,,,,,,,,,,,,,
1000,Housing,11/8/2016 8:23,11,8,2016,,,,,,,,,,,,,,
200,Food,24/4/2014 11:46,24,4,2014,,,,,,,,,,,,,,
200,Agriculture,30/8/2017 9:10,30,8,2017,,,,,,,,,,,,,,
325,Food,10/11/2017 5:05,10,11,2017,,,,,,,,,,,,,,
250,Food,17/6/2013 11:48,17,6,2013,,,,,,,,,,,,,,
300,Agriculture,8/12/2016 8:06,8,12,2016,,,,,,,,,,,,,,
550,Food,7/4/2017 15:57,7,4,2017,,,,,,,,,,,,,,
600,Clothing,26/5/2014 14:33,26,5,2014,,,,,,,,,,,,,,
1625,Food,18/8/2014 10:44,18,8,2014,,,,,,,,,,,,,,
500,Retail,6/12/2017 3:41,6,12,2017,,,,,,,,,,,,,,
175,Services,6/5/2016 13:29,6,5,2016,,,,,,,,,,,,,,
400,Education,3/12/2014 8:47,3,12,2014,,,,,,,,,,,,,,
1000,Housing,29/3/2013 20:23,29,3,2013,,,,,,,,,,,,,,
225,Education,25/7/2017 0:58,25,7,2017,,,,,,,,,,,,,,
1500,Food,9/7/2016 18:02,9,7,2016,,,,,,,,,,,,,,
725,Food,15/7/2014 14:53,15,7,2014,,,,,,,,,,,,,,
375,Agriculture,2/3/2015 4:01,2,3,2015,,,,,,,,,,,,,,
775,Agriculture,31/1/2013 14:51,31,1,2013,,,,,,,,,,,,,,
175,Retail,4/10/2017 0:16,4,10,2017,,,,,,,,,,,,,,
500,Agriculture,14/3/2016 11:35,14,3,2016,,,,,,,,,,,,,,
3100,Agriculture,21/1/2016 10:08,21,1,2016,,,,,,,,,,,,,,
875,Food,6/9/2017 14:23,6,9,2017,,,,,,,,,,,,,,
575,Food,15/10/2015 1:39,15,10,2015,,,,,,,,,,,,,,
600,Housing,20/11/2014 21:42,20,11,2014,,,,,,,,,,,,,,
1000,Retail,4/9/2017 6:22,4,9,2017,,,,,,,,,,,,,,
250,Food,22/10/2013 2:34,22,10,2013,,,,,,,,,,,,,,
1375,Education,20/11/2013 7:03,20,11,2013,,,,,,,,,,,,,,
900,Clothing,27/1/2017 14:12,27,1,2017,,,,,,,,,,,,,,
250,Housing,24/8/2014 11:51,24,8,2014,,,,,,,,,,,,,,
800,Retail,16/1/2013 12:49,16,1,2013,,,,,,,,,,,,,,
275,Retail,8/5/2013 5:51,8,5,2013,,,,,,,,,,,,,,
1825,Agriculture,27/4/2015 11:44,27,4,2015,,,,,,,,,,,,,,
250,Services,24/7/2013 6:29,24,7,2013,,,,,,,,,,,,,,
2100,Agriculture,20/5/2017 8:25,20,5,2017,,,,,,,,,,,,,,
650,Retail,20/9/2017 22:11,20,9,2017,,,,,,,,,,,,,,
250,Retail,23/1/2015 2:11,23,1,2015,,,,,,,,,,,,,,
125,Food,10/7/2015 9:00,10,7,2015,,,,,,,,,,,,,,
625,Food,14/3/2016 2:25,14,3,2016,,,,,,,,,,,,,,
175,Education,26/8/2014 7:53,26,8,2014,,,,,,,,,,,,,,
800,Food,12/1/2015 6:47,12,1,2015,,,,,,,,,,,,,,
250,Agriculture,17/3/2015 7:01,17,3,2015,,,,,,,,,,,,,,
150,Food,2/5/2016 6:46,2,5,2016,,,,,,,,,,,,,,
150,Health,26/11/2013 17:25,26,11,2013,,,,,,,,,,,,,,
225,Food,21/1/2014 13:31,21,1,2014,,,,,,,,,,,,,,
275,Agriculture,21/4/2017 8:10,21,4,2017,,,,,,,,,,,,,,
700,Retail,28/1/2014 0:21,28,1,2014,,,,,,,,,,,,,,
1300,Agriculture,23/4/2015 3:13,23,4,2015,,,,,,,,,,,,,,
225,Retail,4/6/2015 8:25,4,6,2015,,,,,,,,,,,,,,
225,Food,21/10/2015 3:24,21,10,2015,,,,,,,,,,,,,,
300,Agriculture,17/7/2017 13:27,17,7,2017,,,,,,,,,,,,,,
250,Education,4/4/2017 21:16,4,4,2017,,,,,,,,,,,,,,
100,Food,30/4/2014 9:13,30,4,2014,,,,,,,,,,,,,,
375,Agriculture,29/10/2013 15:52,29,10,2013,,,,,,,,,,,,,,
225,Agriculture,11/8/2016 8:34,11,8,2016,,,,,,,,,,,,,,
600,Agriculture,14/2/2013 16:02,14,2,2013,,,,,,,,,,,,,,
225,Food,18/11/2016 12:31,18,11,2016,,,,,,,,,,,,,,
250,Agriculture,30/9/2016 1:30,30,9,2016,,,,,,,,,,,,,,
100,Transportation,31/3/2017 6:18,31,3,2017,,,,,,,,,,,,,,
1100,Food,16/11/2017 14:48,16,11,2017,,,,,,,,,,,,,,
1525,Retail,26/3/2014 18:05,26,3,2014,,,,,,,,,,,,,,
1125,Agriculture,3/3/2016 2:28,3,3,2016,,,,,,,,,,,,,,
300,Personal Use,7/10/2015 3:40,7,10,2015,,,,,,,,,,,,,,
375,Personal Use,9/9/2013 15:48,9,9,2013,,,,,,,,,,,,,,
575,Food,20/7/2015 6:37,20,7,2015,,,,,,,,,,,,,,
500,Agriculture,21/10/2013 4:56,21,10,2013,,,,,,,,,,,,,,
1000,Food,25/2/2016 20:27,25,2,2016,,,,,,,,,,,,,,
25,Personal Use,26/12/2016 6:21,26,12,2016,,,,,,,,,,,,,,
100,Agriculture,10/3/2014 4:29,10,3,2014,,,,,,,,,,,,,,
400,Food,19/2/2017 13:19,19,2,2017,,,,,,,,,,,,,,
100,Retail,9/10/2015 1:40,9,10,2015,,,,,,,,,,,,,,
100,Personal Use,8/12/2016 2:59,8,12,2016,,,,,,,,,,,,,,
1000,Education,8/12/2017 13:35,8,12,2017,,,,,,,,,,,,,,
250,Clothing,26/2/2014 12:43,26,2,2014,,,,,,,,,,,,,,
975,Agriculture,8/9/2015 20:45,8,9,2015,,,,,,,,,,,,,,
1025,Retail,28/11/2016 5:31,28,11,2016,,,,,,,,,,,,,,
150,Education,29/9/2016 11:29,29,9,2016,,,,,,,,,,,,,,
225,Food,27/9/2016 10:36,27,9,2016,,,,,,,,,,,,,,
1100,Food,11/11/2017 0:06,11,11,2017,,,,,,,,,,,,,,
700,Services,2/6/2013 7:40,2,6,2013,,,,,,,,,,,,,,
175,Food,29/9/2016 12:55,29,9,2016,,,,,,,,,,,,,,
350,Agriculture,10/7/2013 10:35,10,7,2013,,,,,,,,,,,,,,
375,Retail,29/5/2013 0:41,29,5,2013,,,,,,,,,,,,,,
175,Retail,7/12/2016 7:36,7,12,2016,,,,,,,,,,,,,,
2675,Food,14/12/2017 14:50,14,12,2017,,,,,,,,,,,,,,
500,Food,3/4/2017 8:04,3,4,2017,,,,,,,,,,,,,,
375,Agriculture,12/3/2014 17:30,12,3,2014,,,,,,,,,,,,,,
425,Arts,27/2/2017 3:51,27,2,2017,,,,,,,,,,,,,,
325,Retail,27/3/2013 15:32,27,3,2013,,,,,,,,,,,,,,
2100,Agriculture,16/4/2013 9:35,16,4,2013,,,,,,,,,,,,,,
1575,Housing,3/10/2013 8:25,3,10,2013,,,,,,,,,,,,,,
225,Retail,16/5/2016 2:03,16,5,2016,,,,,,,,,,,,,,
700,Retail,18/6/2014 8:08,18,6,2014,,,,,,,,,,,,,,
575,Housing,27/11/2014 22:52,27,11,2014,,,,,,,,,,,,,,
900,Housing,21/7/2016 3:10,21,7,2016,,,,,,,,,,,,,,
350,Retail,21/6/2017 2:42,21,6,2017,,,,,,,,,,,,,,
250,Services,1/1/2014 9:48,1,1,2014,,,,,,,,,,,,,,
150,Agriculture,17/1/2017 12:11,17,1,2017,,,,,,,,,,,,,,
475,Agriculture,14/6/2013 6:56,14,6,2013,,,,,,,,,,,,,,
375,Transportation,29/10/2013 0:04,29,10,2013,,,,,,,,,,,,,,
800,Agriculture,12/8/2015 12:45,12,8,2015,,,,,,,,,,,,,,
400,Food,13/7/2017 12:48,13,7,2017,,,,,,,,,,,,,,
425,Food,18/3/2014 2:11,18,3,2014,,,,,,,,,,,,,,
100,Housing,13/12/2017 5:44,13,12,2017,,,,,,,,,,,,,,
2850,Agriculture,13/3/2013 9:59,13,3,2013,,,,,,,,,,,,,,
875,Agriculture,15/5/2015 6:51,15,5,2015,,,,,,,,,,,,,,
2825,Retail,21/10/2017 21:43,21,10,2017,,,,,,,,,,,,,,
1325,Housing,21/8/2015 14:32,21,8,2015,,,,,,,,,,,,,,
400,Transportation,1/2/2013 6:05,1,2,2013,,,,,,,,,,,,,,
200,Clothing,30/11/2013 10:39,30,11,2013,,,,,,,,,,,,,,
875,Food,24/1/2015 0:54,24,1,2015,,,,,,,,,,,,,,
750,Health,24/9/2015 23:29,24,9,2015,,,,,,,,,,,,,,
775,Retail,13/12/2017 21:54,13,12,2017,,,,,,,,,,,,,,
275,Clothing,18/7/2017 16:57,18,7,2017,,,,,,,,,,,,,,
225,Agriculture,20/1/2016 10:54,20,1,2016,,,,,,,,,,,,,,
1650,Retail,21/6/2017 4:15,21,6,2017,,,,,,,,,,,,,,
300,Food,26/6/2015 19:35,26,6,2015,,,,,,,,,,,,,,
1250,Personal Use,13/12/2016 13:18,13,12,2016,,,,,,,,,,,,,,
625,Retail,12/2/2017 22:48,12,2,2017,,,,,,,,,,,,,,
1550,Agriculture,21/5/2014 12:04,21,5,2014,,,,,,,,,,,,,,
450,Arts,10/9/2015 6:10,10,9,2015,,,,,,,,,,,,,,
1975,Services,14/10/2014 20:09,14,10,2014,,,,,,,,,,,,,,
