x,y,value
Soup,Piano Bars,1
Turkish,Falafel,1
Delis,Hot Pot,1
Specialty Food,Salad,1
Desserts,Wine Bars,1
Ethnic Food,Turkish,1
Cantonese,Pizza,1
Turkish,Arabian,1
Patisserie/Cake Shop,Falafel,1
Food Delivery Services,Hot Pot,1
Beer Bar,Pizza,1
Fast Food,Live/Raw Food,1
Beer Bar,Live/Raw Food,1
Mediterranean,Hot Pot,1
Fast Food,Hot Pot,1
Italian,Beer Bar,1
Live/Raw Food,Salad,1
Salad,Falafel,1
Persian/Iranian,Food Court,1
Meat Shops,Vegetarian,1
Piano Bars,Cupcakes,1
Falafel,Turkish,1
Delis,Live/Raw Food,1
Turkish,Italian,1
Pubs,Vegetarian,1
Shaved Ice,Piano Bars,1
Hot Pot,Patisserie/Cake Shop,1
Piano Bars,Pubs,1
Wine Bars,Salad,1
Persian/Iranian,Specialty Food,1
Salad,Piano Bars,1
Fast Food,Specialty Food,1
Live/Raw Food,Arabian,1
Food Court,Delis,1
Pizza,Food Delivery Services,1
Cantonese,Piano Bars,1
Persian/Iranian,Falafel,1
Beer Bar,Shaved Ice,1
Mediterranean,Cafes,1
Food Court,Falafel,1
Specialty Food,Shaved Ice,1
Pizza,Cantonese,1
Cupcakes,Shaved Ice,1
Vegetarian,Gelato,1
Arabian,Pubs,1
Cheese Shops,Shaved Ice,1
Beer Bar,Desserts,1
Patisserie/Cake Shop,Salad,1
Meat Shops,Live/Raw Food,1
Specialty Food,Persian/Iranian,1
Arabian,Food Court,1
Pubs,Cheese Shops,1
Desserts,Live/Raw Food,1
Piano Bars,Patisserie/Cake Shop,1
Cheese Shops,Food Delivery Services,1
Soup,Pubs,1
Pizza,Shaved Ice,1
Turkish,Beer Bar,1
Delis,Pubs,1
Shaved Ice,Fast Food,1
Wine Bars,Cheese Shops,1
Patisserie/Cake Shop,Cupcakes,1
Patisserie/Cake Shop,Food Delivery Services,1
Salad,Patisserie/Cake Shop,1
Desserts,Vegetarian,1
Specialty Food,Pizza,1
Vegetarian,Pubs,1
Soup,Pizza,1
Gelato,Pizza,1
Piano Bars,Arabian,1
Pizza,Turkish,1
Italian,Pubs,1
Hot Pot,Fast Food,1
Persian/Iranian,Ethnic Food,1
Delis,Food Delivery Services,1
Hot Pot,Gelato,1
Meat Shops,Falafel,1
Cantonese,Patisserie/Cake Shop,1
Persian/Iranian,Salad,1
Hot Pot,Turkish,1
Persian/Iranian,Cantonese,1
Gelato,Patisserie/Cake Shop,1
Live/Raw Food,Desserts,1
Mediterranean,Beer Bar,1
Cafes,Food Court,1
Wine Bars,Gelato,1
Cheese Shops,Meat Shops,1
Cheese Shops,Pizza,1
Salad,Food Court,1
Live/Raw Food,Turkish,1
Wine Bars,Food Court,1
Wine Bars,Mediterranean,1
Salad,Meat Shops,1
Fast Food,Turkish,1
Fast Food,Food Court,1
Piano Bars,Turkish,1
Cafes,Turkish,1
Wine Bars,Patisserie/Cake Shop,1
Persian/Iranian,Hot Pot,1
Shaved Ice,Hot Pot,1
Pizza,Hot Pot,1
Specialty Food,Beer Bar,1
Pizza,Persian/Iranian,1
Meat Shops,Ethnic Food,1
Pizza,Cupcakes,1
Fast Food,Ethnic Food,1
Delis,Desserts,1
Food Delivery Services,Patisserie/Cake Shop,1
Persian/Iranian,Beer Bar,1
Pizza,Vegetarian,1
Wine Bars,Beer Bar,1
Patisserie/Cake Shop,Pizza,1
Piano Bars,Fast Food,1
Ethnic Food,Pizza,1
Cantonese,Live/Raw Food,1
Salad,Shaved Ice,1
Salad,Turkish,1
Meat Shops,Cafes,1
Vegetarian,Cafes,1
Persian/Iranian,Piano Bars,1
Fast Food,Pizza,1
Cupcakes,Desserts,1
Gelato,Falafel,1
Soup,Shaved Ice,1
Wine Bars,Vegetarian,1
Persian/Iranian,Delis,1
Vegetarian,Fast Food,1
Food Delivery Services,Cheese Shops,1
Beer Bar,Arabian,1
Specialty Food,Cafes,1
Specialty Food,Food Delivery Services,1
Arabian,Cafes,1
Italian,Soup,1
Turkish,Specialty Food,1
Specialty Food,Desserts,1
Pubs,Live/Raw Food,1
Hot Pot,Cheese Shops,1
Mediterranean,Shaved Ice,1
Arabian,Gelato,1
Food Court,Ethnic Food,1
Gelato,Pubs,1
Salad,Cheese Shops,1
Pubs,Ethnic Food,1
Arabian,Specialty Food,1
Cafes,Hot Pot,1
Gelato,Ethnic Food,1
Patisserie/Cake Shop,Fast Food,1
Wine Bars,Cupcakes,1
Cafes,Beer Bar,1
Gelato,Turkish,1
Mediterranean,Turkish,1
Cupcakes,Pizza,1
Turkish,Cantonese,1
Falafel,Fast Food,1
Vegetarian,Specialty Food,1
Cupcakes,Italian,1
Arabian,Cupcakes,1
Mediterranean,Live/Raw Food,1
Beer Bar,Persian/Iranian,1
Hot Pot,Meat Shops,1
Falafel,Pubs,1
Ethnic Food,Vegetarian,1
Delis,Gelato,1
Beer Bar,Delis,1
Pizza,Gelato,1
Patisserie/Cake Shop,Cafes,1
Wine Bars,Fast Food,1
Ethnic Food,Food Delivery Services,1
Cupcakes,Hot Pot,1
Turkish,Persian/Iranian,1
Patisserie/Cake Shop,Mediterranean,1
Mediterranean,Vegetarian,1
Falafel,Vegetarian,1
Delis,Patisserie/Cake Shop,1
Wine Bars,Italian,1
Food Court,Cantonese,1
Gelato,Italian,1
Arabian,Salad,1
Specialty Food,Live/Raw Food,1
Delis,Soup,1
Beer Bar,Falafel,1
Arabian,Soup,1
Meat Shops,Shaved Ice,1
Cupcakes,Persian/Iranian,1
Soup,Cafes,1
Cupcakes,Patisserie/Cake Shop,1
Salad,Beer Bar,1
Desserts,Arabian,1
Soup,Food Court,1
Falafel,Ethnic Food,1
Cupcakes,Fast Food,1
Shaved Ice,Italian,1
Hot Pot,Salad,1
Live/Raw Food,Beer Bar,1
Food Delivery Services,Delis,1
Salad,Soup,1
Mediterranean,Meat Shops,1
Shaved Ice,Ethnic Food,1
Meat Shops,Desserts,1
Cheese Shops,Vegetarian,1
Desserts,Specialty Food,1
Food Court,Meat Shops,1
Food Delivery Services,Live/Raw Food,1
Falafel,Food Delivery Services,1
Piano Bars,Food Delivery Services,1
Italian,Shaved Ice,1
Shaved Ice,Gelato,1
Cupcakes,Meat Shops,1
Patisserie/Cake Shop,Cantonese,1
Live/Raw Food,Pubs,1
Pizza,Arabian,1
Cafes,Live/Raw Food,1
Cafes,Pizza,1
Salad,Cupcakes,1
Specialty Food,Gelato,1
Food Court,Specialty Food,1
Gelato,Cafes,1
Desserts,Salad,1
Gelato,Persian/Iranian,1
Piano Bars,Italian,1
Specialty Food,Vegetarian,1
Ethnic Food,Cafes,1
Italian,Mediterranean,1
Arabian,Ethnic Food,1
Wine Bars,Turkish,1
Desserts,Delis,1
Shaved Ice,Cafes,1
Desserts,Shaved Ice,1
Specialty Food,Meat Shops,1
Beer Bar,Fast Food,1
Cantonese,Cupcakes,1
Turkish,Cafes,1
Cafes,Arabian,1
Hot Pot,Shaved Ice,1
Arabian,Falafel,1
Cheese Shops,Specialty Food,1
Cantonese,Desserts,1
Pubs,Desserts,1
Pubs,Piano Bars,1
Cafes,Persian/Iranian,1
Pizza,Fast Food,1
Food Delivery Services,Cafes,1
Cantonese,Gelato,1
Beer Bar,Turkish,1
Italian,Cantonese,1
Cheese Shops,Arabian,1
Cafes,Vegetarian,1
Desserts,Pizza,1
Live/Raw Food,Soup,1
Food Delivery Services,Cupcakes,1
Food Court,Desserts,1
Food Court,Hot Pot,1
Turkish,Gelato,1
Cheese Shops,Piano Bars,1
Persian/Iranian,Cafes,1
Hot Pot,Persian/Iranian,1
Soup,Wine Bars,1
Cafes,Soup,1
Delis,Salad,1
Hot Pot,Desserts,1
Patisserie/Cake Shop,Vegetarian,1
Food Delivery Services,Soup,1
Falafel,Desserts,1
Fast Food,Gelato,1
Meat Shops,Delis,1
Salad,Gelato,1
Turkish,Patisserie/Cake Shop,1
Persian/Iranian,Food Delivery Services,1
Italian,Vegetarian,1
Wine Bars,Cantonese,1
Desserts,Fast Food,1
Cafes,Piano Bars,1
Salad,Pizza,1
Cantonese,Specialty Food,1
Food Delivery Services,Italian,1
Specialty Food,Falafel,1
Pizza,Pubs,1
Delis,Mediterranean,1
Specialty Food,Arabian,1
Vegetarian,Falafel,1
Shaved Ice,Pubs,1
Beer Bar,Cupcakes,1
Pizza,Cheese Shops,1
Mediterranean,Desserts,1
Pubs,Pizza,1
Food Court,Soup,1
Piano Bars,Pizza,1
Live/Raw Food,Food Delivery Services,1
Soup,Persian/Iranian,1
Pubs,Patisserie/Cake Shop,1
Arabian,Cantonese,1
Beer Bar,Specialty Food,1
Wine Bars,Live/Raw Food,1
Arabian,Live/Raw Food,1
Salad,Desserts,1
Live/Raw Food,Ethnic Food,1
Fast Food,Piano Bars,1
Gelato,Beer Bar,1
Fast Food,Persian/Iranian,1
Hot Pot,Delis,1
Italian,Delis,1
Meat Shops,Salad,1
Gelato,Cheese Shops,1
Hot Pot,Beer Bar,1
Mediterranean,Pizza,1
Food Court,Fast Food,1
Falafel,Wine Bars,1
Meat Shops,Wine Bars,1
Desserts,Cantonese,1
Wine Bars,Piano Bars,1
Beer Bar,Cheese Shops,1
Persian/Iranian,Pizza,1
Persian/Iranian,Cheese Shops,1
Soup,Gelato,1
Hot Pot,Wine Bars,1
Food Delivery Services,Gelato,1
Mediterranean,Pubs,1
Hot Pot,Mediterranean,1
Gelato,Soup,1
Beer Bar,Salad,1
Delis,Meat Shops,1
Cafes,Ethnic Food,1
Wine Bars,Desserts,1
Delis,Shaved Ice,1
Arabian,Italian,1
Ethnic Food,Falafel,1
Delis,Cantonese,1
Falafel,Mediterranean,1
Ethnic Food,Persian/Iranian,1
Delis,Beer Bar,1
Fast Food,Desserts,1
Mediterranean,Food Delivery Services,1
Food Court,Vegetarian,1
Persian/Iranian,Live/Raw Food,1
Cantonese,Salad,1
Ethnic Food,Salad,1
Food Court,Cafes,1
Cupcakes,Mediterranean,1
Soup,Patisserie/Cake Shop,1
Turkish,Fast Food,1
Specialty Food,Wine Bars,1
Soup,Delis,1
Shaved Ice,Salad,1
Arabian,Cheese Shops,1
Wine Bars,Arabian,1
Cupcakes,Salad,1
Arabian,Piano Bars,1
Pubs,Falafel,1
Hot Pot,Cafes,1
Ethnic Food,Fast Food,1
Food Court,Patisserie/Cake Shop,1
Cafes,Meat Shops,1
Cheese Shops,Delis,1
Cupcakes,Pubs,1
Cheese Shops,Hot Pot,1
Beer Bar,Cafes,1
Patisserie/Cake Shop,Ethnic Food,1
Arabian,Turkish,1
Meat Shops,Food Delivery Services,1
Ethnic Food,Piano Bars,1
Turkish,Food Court,1
Cantonese,Arabian,1
Ethnic Food,Meat Shops,1
Cafes,Desserts,1
Italian,Piano Bars,1
Food Delivery Services,Pubs,1
Food Delivery Services,Shaved Ice,1
Food Delivery Services,Cantonese,1
Ethnic Food,Arabian,1
Ethnic Food,Desserts,1
Falafel,Italian,1
Hot Pot,Specialty Food,1
Wine Bars,Soup,1
Italian,Turkish,1
Piano Bars,Wine Bars,1
Live/Raw Food,Cheese Shops,1
Salad,Delis,1
Cupcakes,Specialty Food,1
Delis,Persian/Iranian,1
Vegetarian,Arabian,1
Hot Pot,Falafel,1
Delis,Food Court,1
Cafes,Pubs,1
Ethnic Food,Food Court,1
Fast Food,Mediterranean,1
Falafel,Piano Bars,1
Delis,Pizza,1
Gelato,Desserts,1
Cantonese,Pubs,1
Shaved Ice,Cantonese,1
Cupcakes,Wine Bars,1
Cantonese,Ethnic Food,1
Desserts,Food Delivery Services,1
Cafes,Salad,1
Turkish,Pizza,1
Live/Raw Food,Pizza,1
Falafel,Cupcakes,1
Pubs,Gelato,1
Salad,Live/Raw Food,1
Soup,Falafel,1
Pizza,Delis,1
Ethnic Food,Gelato,1
Food Delivery Services,Fast Food,1
Shaved Ice,Falafel,1
Gelato,Mediterranean,1
Falafel,Soup,1
Pizza,Ethnic Food,1
Meat Shops,Food Court,1
Meat Shops,Persian/Iranian,1
Food Court,Arabian,1
Vegetarian,Food Court,1
Vegetarian,Wine Bars,1
Cantonese,Meat Shops,1
Piano Bars,Cafes,1
Patisserie/Cake Shop,Specialty Food,1
Food Delivery Services,Salad,1
Vegetarian,Desserts,1
Food Delivery Services,Mediterranean,1
Salad,Italian,1
Soup,Specialty Food,1
Ethnic Food,Hot Pot,1
Pizza,Cafes,1
Meat Shops,Arabian,1
Vegetarian,Mediterranean,1
Cheese Shops,Live/Raw Food,1
Meat Shops,Italian,1
Delis,Cafes,1
Shaved Ice,Cheese Shops,1
Meat Shops,Pizza,1
Cupcakes,Ethnic Food,1
Meat Shops,Cantonese,1
Food Delivery Services,Turkish,1
Food Court,Wine Bars,1
Turkish,Shaved Ice,1
Soup,Cheese Shops,1
Food Delivery Services,Piano Bars,1
Delis,Arabian,1
Italian,Gelato,1
Soup,Turkish,1
Specialty Food,Cheese Shops,1
Cheese Shops,Beer Bar,1
Delis,Falafel,1
Shaved Ice,Cupcakes,1
Soup,Live/Raw Food,1
Italian,Food Delivery Services,1
Food Delivery Services,Persian/Iranian,1
Ethnic Food,Beer Bar,1
Food Court,Food Delivery Services,1
Ethnic Food,Cupcakes,1
Ethnic Food,Live/Raw Food,1
Cantonese,Food Court,1
Specialty Food,Cupcakes,1
Salad,Fast Food,1
Italian,Specialty Food,1
Cheese Shops,Patisserie/Cake Shop,1
Specialty Food,Piano Bars,1
Wine Bars,Pubs,1
Gelato,Vegetarian,1
Pizza,Food Court,1
Patisserie/Cake Shop,Soup,1
Italian,Wine Bars,1
Hot Pot,Piano Bars,1
Cupcakes,Live/Raw Food,1
Ethnic Food,Cantonese,1
Cafes,Food Delivery Services,1
Cupcakes,Cheese Shops,1
Persian/Iranian,Desserts,1
Food Court,Turkish,1
Cheese Shops,Turkish,1
Cupcakes,Turkish,1
Fast Food,Delis,1
Turkish,Mediterranean,1
Pizza,Salad,1
Fast Food,Pubs,1
Desserts,Turkish,1
Specialty Food,Ethnic Food,1
Fast Food,Cupcakes,1
Desserts,Italian,1
Cheese Shops,Italian,1
Meat Shops,Fast Food,1
Desserts,Beer Bar,1
Pubs,Persian/Iranian,1
Cheese Shops,Gelato,1
Fast Food,Patisserie/Cake Shop,1
Cantonese,Delis,1
Fast Food,Meat Shops,1
Beer Bar,Wine Bars,1
Live/Raw Food,Mediterranean,1
Cheese Shops,Fast Food,1
Ethnic Food,Wine Bars,1
Specialty Food,Fast Food,1
Wine Bars,Cafes,1
Falafel,Food Court,1
Gelato,Cantonese,1
Arabian,Patisserie/Cake Shop,1
Mediterranean,Arabian,1
Cantonese,Beer Bar,1
Patisserie/Cake Shop,Delis,1
Delis,Specialty Food,1
Shaved Ice,Pizza,1
Soup,Beer Bar,1
Arabian,Mediterranean,1
Vegetarian,Salad,1
Fast Food,Arabian,1
Pizza,Wine Bars,1
Patisserie/Cake Shop,Pubs,1
Italian,Arabian,1
Mediterranean,Delis,1
Cheese Shops,Wine Bars,1
Persian/Iranian,Arabian,1
Beer Bar,Patisserie/Cake Shop,1
Fast Food,Food Delivery Services,1
Meat Shops,Mediterranean,1
Specialty Food,Pubs,1
Soup,Mediterranean,1
Italian,Salad,1
Food Court,Shaved Ice,1
Falafel,Gelato,1
Italian,Food Court,1
Specialty Food,Patisserie/Cake Shop,1
Wine Bars,Meat Shops,1
Beer Bar,Pubs,1
Cafes,Shaved Ice,1
Food Court,Live/Raw Food,1
Meat Shops,Pubs,1
Food Court,Pubs,1
Cantonese,Shaved Ice,1
Hot Pot,Pizza,1
Pubs,Turkish,1
Delis,Ethnic Food,1
Arabian,Delis,1
Live/Raw Food,Persian/Iranian,1
Pubs,Italian,1
Meat Shops,Cupcakes,1
Beer Bar,Hot Pot,1
Mediterranean,Falafel,1
Patisserie/Cake Shop,Wine Bars,1
Soup,Fast Food,1
Live/Raw Food,Fast Food,1
Arabian,Desserts,1
Patisserie/Cake Shop,Persian/Iranian,1
Wine Bars,Food Delivery Services,1
Cantonese,Hot Pot,1
Italian,Desserts,1
Shaved Ice,Persian/Iranian,1
Cupcakes,Beer Bar,1
Vegetarian,Delis,1
Shaved Ice,Live/Raw Food,1
Cheese Shops,Falafel,1
Piano Bars,Persian/Iranian,1
Food Court,Mediterranean,1
Arabian,Shaved Ice,1
Pizza,Patisserie/Cake Shop,1
Fast Food,Cantonese,1
Food Delivery Services,Vegetarian,1
Hot Pot,Ethnic Food,1
Italian,Falafel,1
Cafes,Fast Food,1
Cantonese,Soup,1
Pubs,Cantonese,1
Cheese Shops,Salad,1
Food Delivery Services,Meat Shops,1
Wine Bars,Persian/Iranian,1
Piano Bars,Food Court,1
Beer Bar,Gelato,1
Patisserie/Cake Shop,Shaved Ice,1
Cheese Shops,Soup,1
Ethnic Food,Italian,1
Pubs,Delis,1
Salad,Cafes,1
Italian,Pizza,1
Pubs,Salad,1
Cupcakes,Soup,1
Soup,Arabian,1
Food Delivery Services,Ethnic Food,1
Salad,Arabian,1
Piano Bars,Beer Bar,1
Soup,Meat Shops,1
Cheese Shops,Cupcakes,1
Fast Food,Soup,1
Italian,Persian/Iranian,1
Pizza,Live/Raw Food,1
Fast Food,Beer Bar,1
Food Court,Salad,1
Turkish,Soup,1
Turkish,Food Delivery Services,1
Pubs,Hot Pot,1
Fast Food,Vegetarian,1
Cupcakes,Vegetarian,1
Cantonese,Persian/Iranian,1
Desserts,Cafes,1
Shaved Ice,Wine Bars,1
Ethnic Food,Cheese Shops,1
Hot Pot,Food Delivery Services,1
Ethnic Food,Soup,1
Beer Bar,Meat Shops,1
Falafel,Cafes,1
Live/Raw Food,Shaved Ice,1
Turkish,Piano Bars,1
Piano Bars,Meat Shops,1
Persian/Iranian,Patisserie/Cake Shop,1
Vegetarian,Live/Raw Food,1
Pubs,Food Court,1
Shaved Ice,Meat Shops,1
Piano Bars,Shaved Ice,1
Shaved Ice,Desserts,1
Pizza,Italian,1
Cantonese,Wine Bars,1
Ethnic Food,Shaved Ice,1
Shaved Ice,Beer Bar,1
Beer Bar,Mediterranean,1
Pizza,Meat Shops,1
Beer Bar,Vegetarian,1
Piano Bars,Live/Raw Food,1
Food Court,Italian,1
Shaved Ice,Vegetarian,1
Vegetarian,Food Delivery Services,1
Cheese Shops,Mediterranean,1
Shaved Ice,Soup,1
Salad,Ethnic Food,1
Shaved Ice,Delis,1
Piano Bars,Salad,1
Shaved Ice,Food Delivery Services,1
Piano Bars,Cheese Shops,1
Persian/Iranian,Italian,1
Persian/Iranian,Wine Bars,1
Hot Pot,Pubs,1
Turkish,Desserts,1
Pubs,Fast Food,1
Piano Bars,Mediterranean,1
Turkish,Delis,1
Pubs,Cupcakes,1
Pubs,Beer Bar,1
Mediterranean,Patisserie/Cake Shop,1
Soup,Cupcakes,1
Soup,Italian,1
Arabian,Fast Food,1
Delis,Piano Bars,1
Hot Pot,Soup,1
Turkish,Hot Pot,1
Falafel,Pizza,1
Shaved Ice,Food Court,1
Ethnic Food,Mediterranean,1
Patisserie/Cake Shop,Italian,1
Persian/Iranian,Shaved Ice,1
Ethnic Food,Specialty Food,1
Specialty Food,Turkish,1
Pizza,Soup,1
Italian,Patisserie/Cake Shop,1
Shaved Ice,Patisserie/Cake Shop,1
Falafel,Cantonese,1
Patisserie/Cake Shop,Cheese Shops,1
Salad,Food Delivery Services,1
Vegetarian,Patisserie/Cake Shop,1
Hot Pot,Cupcakes,1
Fast Food,Wine Bars,1
Soup,Salad,1
Salad,Persian/Iranian,1
Desserts,Food Court,1
Cantonese,Food Delivery Services,1
Meat Shops,Piano Bars,1
Live/Raw Food,Meat Shops,1
Pubs,Food Delivery Services,1
Turkish,Cheese Shops,1
Soup,Hot Pot,1
Delis,Cupcakes,1
Piano Bars,Ethnic Food,1
Cupcakes,Food Delivery Services,1
Meat Shops,Cheese Shops,1
Falafel,Beer Bar,1
Mediterranean,Cantonese,1
Cheese Shops,Pubs,1
Arabian,Persian/Iranian,1
Mediterranean,Cupcakes,1
Food Court,Beer Bar,1
Shaved Ice,Turkish,1
Piano Bars,Vegetarian,1
Gelato,Specialty Food,1
Vegetarian,Turkish,1
Cafes,Falafel,1
Falafel,Specialty Food,1
Arabian,Beer Bar,1
Live/Raw Food,Delis,1
Vegetarian,Cupcakes,1
Italian,Hot Pot,1
Desserts,Mediterranean,1
Piano Bars,Delis,1
Food Court,Piano Bars,1
Salad,Pubs,1
Desserts,Persian/Iranian,1
Food Delivery Services,Falafel,1
Mediterranean,Ethnic Food,1
Turkish,Vegetarian,1
Falafel,Live/Raw Food,1
Soup,Food Delivery Services,1
Cheese Shops,Food Court,1
Beer Bar,Soup,1
Desserts,Cupcakes,1
Meat Shops,Hot Pot,1
Arabian,Wine Bars,1
Mediterranean,Specialty Food,1
Persian/Iranian,Fast Food,1
Meat Shops,Specialty Food,1
Beer Bar,Piano Bars,1
Salad,Wine Bars,1
Cafes,Mediterranean,1
Cheese Shops,Cantonese,1
Live/Raw Food,Piano Bars,1
Ethnic Food,Delis,1
Turkish,Pubs,1
Food Delivery Services,Beer Bar,1
Specialty Food,Food Court,1
Pubs,Wine Bars,1
Live/Raw Food,Italian,1
Italian,Ethnic Food,1
Cantonese,Cafes,1
Live/Raw Food,Specialty Food,1
Fast Food,Falafel,1
Gelato,Live/Raw Food,1
Specialty Food,Soup,1
Patisserie/Cake Shop,Live/Raw Food,1
Salad,Mediterranean,1
Gelato,Fast Food,1
Food Delivery Services,Food Court,1
Persian/Iranian,Meat Shops,1
Specialty Food,Delis,1
Hot Pot,Italian,1
Arabian,Vegetarian,1
Piano Bars,Gelato,1
Live/Raw Food,Patisserie/Cake Shop,1
Vegetarian,Italian,1
Food Court,Persian/Iranian,1
Live/Raw Food,Cantonese,1
Falafel,Persian/Iranian,1
Arabian,Pizza,1
Desserts,Ethnic Food,1
Cantonese,Falafel,1
Persian/Iranian,Vegetarian,1
Persian/Iranian,Turkish,1
Piano Bars,Specialty Food,1
Wine Bars,Falafel,1
Turkish,Ethnic Food,1
Gelato,Food Court,1
Wine Bars,Specialty Food,1
Food Delivery Services,Specialty Food,1
Arabian,Food Delivery Services,1
Mediterranean,Soup,1
Pubs,Arabian,1
Soup,Ethnic Food,1
Gelato,Cupcakes,1
Patisserie/Cake Shop,Beer Bar,1
Gelato,Food Delivery Services,1
Desserts,Hot Pot,1
Pizza,Beer Bar,1
Salad,Hot Pot,1
Food Court,Cupcakes,1
Italian,Cafes,1
Turkish,Salad,1
Salad,Cantonese,1
Falafel,Hot Pot,1
Cupcakes,Piano Bars,1
Cafes,Cheese Shops,1
Persian/Iranian,Pubs,1
Food Court,Pizza,1
Specialty Food,Cantonese,1
Hot Pot,Live/Raw Food,1
Persian/Iranian,Gelato,1
Pizza,Mediterranean,1
Mediterranean,Salad,1
Persian/Iranian,Cupcakes,1
Cantonese,Italian,1
