Account,Owner,City,State,Product,Product Family,Stage,Pipeline Amount,Source,Contract Amount,Stage Date/Close Date,Close Month,Close Quarter
Valenzuela Inc,B. Holiday,Miami,FL,Laptop-17,Laptop,2-Needs Analysis,381119,Web,,6/16/16,6,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,4-Negotiation,260898,Web,,12/18/16,12,4
Gleason LLC,J. Coltrane,El Paso,TX,Laptop-17,Laptop,1-Prospect,218336,Web,,12/20/16,12,4
Gleason LLC,J. Coltrane,Birmingham,AL,Laptop-17,Laptop,2-Needs Analysis,105730,Referral,,4/6/16,4,2
Gleason LLC,J. Coltrane,Houston,TX,Laptop-17,Laptop,1-Prospect,162702,Referral,,2/2/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,153216,Partner,,6/9/16,6,2
Gleason LLC,J. Coltrane,Dallas,TX,Laptop-17,Laptop,1-Prospect,462026,Referral,,2/27/16,2,1
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,1-Prospect,11266,Advertisement,,5/20/16,5,2
Crona and Sons,B. Goodman,Wilmington,DE,Laptop-13,Laptop,1-Prospect,485368,Referral,,11/7/16,11,4
Gleason LLC,J. Coltrane,Van Nuys,CA,Laptop-17,Laptop,2-Needs Analysis,60780,Web,,9/12/16,9,3
Dooley Group,J. Coltrane,Chicago,IL,Tablet-10,Tablet,3-Proposal,275355,Web,,7/2/16,7,3
Zieme Inc,D. Gillespie,Torrance,CA,Laptop-15,Laptop,1-Prospect,274326,Web,,12/25/16,12,4
Gleason LLC,J. Coltrane,Cedar Rapids,IA,Laptop-17,Laptop,1-Prospect,487050,Web,,3/1/16,3,1
Gleason LLC,J. Coltrane,Springfield,MO,Laptop-13,Laptop,1-Prospect,280401,Trade Show,,4/2/16,4,2
Zieme Inc,D. Gillespie,Alexandria,VA,Laptop-17,Laptop,4-Negotiation,219922,Web,,6/17/16,6,2
Gleason LLC,J. Coltrane,Gainesville,GA,Laptop-15,Laptop,1-Prospect,448636,Referral,,9/29/16,9,3
Gleason LLC,J. Coltrane,Herndon,VA,Laptop-17,Laptop,1-Prospect,445087,Web,,7/8/16,7,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,1-Prospect,228382,Web,,7/24/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,256669,Web,,1/12/17,1,1
Gleason LLC,J. Coltrane,Van Nuys,CA,Laptop-17,Laptop,1-Prospect,243782,Referral,,4/10/16,4,2
Zieme Inc,D. Gillespie,Chicago,IL,Laptop-17,Laptop,1-Prospect,14893,Referral,,7/26/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-13,Laptop,2-Needs Analysis,54559,Trade Show,,5/2/16,5,2
Gleason LLC,J. Coltrane,Spokane,WA,Laptop-13,Laptop,1-Prospect,417946,Referral,,4/21/16,4,2
Gleason LLC,J. Coltrane,Arlington,VA,Laptop-15,Laptop,2-Needs Analysis,75136,Web,,2/5/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,228400,Web,,8/30/16,8,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,407293,Web,,6/9/16,6,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,2-Needs Analysis,354124,Web,,3/20/16,3,1
Gleason LLC,J. Coltrane,New Orleans,LA,Laptop-15,Laptop,1-Prospect,377969,Web,,9/29/16,9,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,2-Needs Analysis,136368,Web,,11/17/16,11,4
Zieme Inc,D. Gillespie,Danbury,CT,Laptop-17,Laptop,2-Needs Analysis,165026,Partner,,3/24/16,3,1
Gleason LLC,J. Coltrane,Saint Petersburg,FL,Laptop-17,Laptop,2-Needs Analysis,401177,Referral,,2/11/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Tablet-10,Tablet,1-Prospect,428476,Trade Show,,8/7/16,8,3
Gleason LLC,J. Coltrane,Fargo,ND,Laptop-17,Laptop,2-Needs Analysis,442517,Referral,,7/26/16,7,3
Gleason LLC,J. Coltrane,Jacksonville,FL,Laptop-13,Laptop,Closed Lost,-177029,Web,,6/24/16,6,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-13,Laptop,3-Proposal,469270,Web,,12/16/16,12,4
Gleason LLC,J. Coltrane,New Haven,CT,Laptop-15,Laptop,1-Prospect,28383,Partner,,9/7/16,9,3
Crona and Sons,B. Goodman,Tampa,FL,Laptop-17,Laptop,4-Negotiation,420520,Referral,,7/23/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,238268,Referral,,9/18/16,9,3
Gleason LLC,J. Coltrane,Young America,MN,Tablet-10,Tablet,1-Prospect,221792,Referral,,5/6/16,5,2
Gleason LLC,J. Coltrane,Farmington,MI,Laptop-17,Laptop,Closed Lost,-497764,Web,,10/26/16,10,4
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,1-Prospect,446592,Referral,,5/5/16,5,2
Gleason LLC,J. Coltrane,Shawnee Mission,KS,Laptop-17,Laptop,1-Prospect,93220,Web,,2/2/16,2,1
Gleason LLC,J. Coltrane,San Bernardino,CA,Tablet-8,Tablet,4-Negotiation,44577,Trade Show,,4/19/16,4,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,2-Needs Analysis,185108,Web,,1/4/17,1,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,4-Negotiation,321751,Web,,10/31/16,10,4
Gleason LLC,J. Coltrane,Washington,DC,Laptop-15,Laptop,2-Needs Analysis,336327,Partner,,4/21/16,4,2
Gleason LLC,J. Coltrane,Rochester,NY,Laptop-15,Laptop,1-Prospect,296796,Trade Show,,3/27/16,3,1
Gleason LLC,J. Coltrane,Jamaica,NY,Laptop-15,Laptop,1-Prospect,317169,Trade Show,,12/4/16,12,4
Gleason LLC,J. Coltrane,Saint Louis,MO,Laptop-15,Laptop,2-Needs Analysis,374443,Web,,3/2/16,3,1
Gleason LLC,J. Coltrane,Madison,WI,Laptop-15,Laptop,4-Negotiation,77978,Web,,2/4/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,286623,Web,,5/9/16,5,2
Gleason LLC,J. Coltrane,Sterling,VA,Tablet-10,Tablet,4-Negotiation,344291,Referral,,2/16/16,2,1
Gleason LLC,J. Coltrane,Naperville,IL,Laptop-17,Laptop,4-Negotiation,339415,Trade Show,,8/12/16,8,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,112382,Trade Show,,10/20/16,10,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,3-Proposal,225870,Advertisement,,10/29/16,10,4
Gleason LLC,J. Coltrane,Miami,FL,Laptop-13,Laptop,1-Prospect,453630,Partner,,1/11/17,1,1
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,1-Prospect,328594,Web,,6/17/16,6,2
Walsh and Sons,C. Parker,Seattle,WA,Laptop-13,Laptop,5-Closed Won,-56982,Web,262346,3/21/16,3,1
Gleason LLC,J. Coltrane,Inglewood,CA,Laptop-15,Laptop,1-Prospect,369907,Partner,,12/29/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,473550,Advertisement,,2/4/16,2,1
Gleason LLC,J. Coltrane,Appleton,WI,Laptop-17,Laptop,1-Prospect,126348,Referral,,9/18/16,9,3
Gleason LLC,J. Coltrane,Albuquerque,NM,Laptop-17,Laptop,1-Prospect,311416,Trade Show,,1/4/17,1,1
Gleason LLC,J. Coltrane,Huntington,WV,Laptop-13,Laptop,1-Prospect,474543,Trade Show,,10/18/16,10,4
Gleason LLC,J. Coltrane,Huntington,WV,Laptop-17,Laptop,1-Prospect,413828,Trade Show,,10/16/16,10,4
Gleason LLC,J. Coltrane,Toledo,OH,Laptop-17,Laptop,1-Prospect,345685,Web,,2/24/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,349493,Advertisement,,4/22/16,4,2
Gleason LLC,J. Coltrane,Springfield,VA,Laptop-15,Laptop,2-Needs Analysis,73958,Referral,,11/15/16,11,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,2-Needs Analysis,490438,Referral,,6/25/16,6,2
Zieme Inc,D. Gillespie,Fort Lauderdale,FL,Laptop-17,Laptop,4-Negotiation,34194,Referral,,3/16/16,3,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,371883,Referral,,3/12/16,3,1
Valenzuela Inc,B. Holiday,Miami,FL,Laptop-17,Laptop,1-Prospect,235415,Advertisement,,3/20/16,3,1
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,4-Negotiation,467105,Web,,12/3/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,392082,Referral,,4/26/16,4,2
Gleason LLC,J. Coltrane,Stamford,CT,Laptop-15,Laptop,4-Negotiation,437855,Trade Show,,9/28/16,9,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,97696,Referral,,11/3/16,11,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,2-Needs Analysis,276576,Referral,,2/3/16,2,1
Gleason LLC,J. Coltrane,Torrance,CA,Laptop-17,Laptop,1-Prospect,179539,Partner,,2/19/16,2,1
Gleason LLC,J. Coltrane,Indianapolis,IN,Tablet-8,Tablet,1-Prospect,222577,Web,,6/18/16,6,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,11635,Web,,2/26/16,2,1
Gleason LLC,J. Coltrane,Boca Raton,FL,Tablet-10,Tablet,1-Prospect,324917,Trade Show,,1/29/17,1,1
Gleason LLC,J. Coltrane,Fort Smith,AR,Laptop-17,Laptop,4-Negotiation,320364,Web,,2/2/16,2,1
Gleason LLC,J. Coltrane,Tulsa,OK,Laptop-17,Laptop,1-Prospect,120480,Web,,12/31/16,12,4
Gleason LLC,J. Coltrane,Fresno,CA,Laptop-17,Laptop,1-Prospect,468915,Web,,4/1/16,4,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,2-Needs Analysis,260640,Trade Show,,12/24/16,12,4
Zieme Inc,D. Gillespie,Mesa,AZ,Tablet-10,Tablet,2-Needs Analysis,385034,Referral,,2/8/16,2,1
Gleason LLC,J. Coltrane,Chattanooga,TN,Laptop-13,Laptop,2-Needs Analysis,42067,Referral,,1/27/17,1,1
 Buckridge and Gutmann,M. Roach,Panama City,FL,Laptop-17,Laptop,2-Needs Analysis,53814,Referral,,12/30/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Desktop-1,Desktop,3-Proposal,285565,Advertisement,,4/8/16,4,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,2-Needs Analysis,415213,Advertisement,,1/4/17,1,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,67040,Web,,4/27/16,4,2
Gleason LLC,J. Coltrane,Charleston,WV,Laptop-15,Laptop,2-Needs Analysis,50332,Advertisement,,8/21/16,8,3
Gleason LLC,J. Coltrane,Van Nuys,CA,Laptop-15,Laptop,Closed Lost,-135586,Web,,11/26/16,11,4
Gleason LLC,J. Coltrane,Miami,FL,Laptop-15,Laptop,2-Needs Analysis,405947,Referral,,6/11/16,6,2
Gleason LLC,J. Coltrane,Charlotte,NC,Phone-2,Phone,1-Prospect,61752,Referral,,8/28/16,8,3
Gleason LLC,J. Coltrane,Lancaster,PA,Laptop-17,Laptop,1-Prospect,102326,Referral,,11/21/16,11,4
Gleason LLC,J. Coltrane,Saint Paul,MN,Laptop-17,Laptop,3-Proposal,106855,Referral,,11/2/16,11,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,415032,Referral,,7/24/16,7,3
Christiansen LLC,D. Ellington,Dallas,TX,Tablet-8,Tablet,3-Proposal,136600,Referral,,5/30/16,5,2
Gleason LLC,J. Coltrane,Duluth,MN,Laptop-17,Laptop,2-Needs Analysis,209194,Web,,2/10/16,2,1
Valenzuela Inc,B. Holiday,Miami,FL,Laptop-15,Laptop,2-Needs Analysis,61671,Referral,,11/15/16,11,4
Gleason LLC,J. Coltrane,New Orleans,LA,Laptop-17,Laptop,2-Needs Analysis,332160,Web,,12/7/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Phone-1,Phone,1-Prospect,109364,Advertisement,,7/20/16,7,3
Gleason LLC,J. Coltrane,Atlanta,GA,Laptop-17,Laptop,1-Prospect,37185,Referral,,2/20/16,2,1
Gleason LLC,J. Coltrane,Sandy,UT,Laptop-17,Laptop,4-Negotiation,343749,Referral,,5/25/16,5,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,2-Needs Analysis,484851,Referral,,12/20/16,12,4
Gleason LLC,J. Coltrane,Pittsburgh,PA,Laptop-13,Laptop,1-Prospect,20334,Partner,,8/7/16,8,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-13,Laptop,1-Prospect,13452,Referral,,3/17/16,3,1
Gleason LLC,J. Coltrane,Columbia,MO,Laptop-17,Laptop,4-Negotiation,352052,Partner,,9/8/16,9,3
Gleason LLC,J. Coltrane,Wilmington,DE,Laptop-17,Laptop,2-Needs Analysis,476889,Web,,6/12/16,6,2
Gleason LLC,J. Coltrane,Portland,ME,Laptop-17,Laptop,5-Closed Won,-482846,Referral,456952,3/25/16,3,1
Gleason LLC,J. Coltrane,Lincoln,NE,Laptop-15,Laptop,4-Negotiation,264502,Web,,8/21/16,8,3
Gleason LLC,J. Coltrane,Minneapolis,MN,Laptop-13,Laptop,Closed Lost,-52983,Referral,,5/1/16,5,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,1-Prospect,380616,Referral,,12/24/16,12,4
Gleason LLC,J. Coltrane,Orlando,FL,Laptop-17,Laptop,1-Prospect,229303,Web,,3/27/16,3,1
Gleason LLC,J. Coltrane,Salt Lake City,UT,Laptop-15,Laptop,4-Negotiation,262604,Advertisement,,1/6/17,1,1
Gleason LLC,J. Coltrane,Charlotte,NC,Laptop-17,Laptop,3-Proposal,191966,Trade Show,,7/15/16,7,3
Gleason LLC,J. Coltrane,Columbia,SC,Laptop-17,Laptop,1-Prospect,485328,Web,,7/16/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Tablet-8,Tablet,Closed Lost,-227798,Referral,,11/13/16,11,4
Gleason LLC,J. Coltrane,Washington,DC,Laptop-15,Laptop,3-Proposal,438208,Web,,10/17/16,10,4
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,1-Prospect,133579,Referral,,5/16/16,5,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,280371,Referral,,3/29/16,3,1
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,3-Proposal,199629,Trade Show,,6/26/16,6,2
Valenzuela Inc,B. Holiday,Miami,FL,Laptop-17,Laptop,3-Proposal,182427,Referral,,6/17/16,6,2
Gleason LLC,J. Coltrane,White Plains,NY,Laptop-17,Laptop,1-Prospect,300054,Web,,12/12/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,164494,Referral,,1/27/17,1,1
Zieme Inc,D. Gillespie,Port Washington,NY,Laptop-15,Laptop,1-Prospect,327359,Web,,9/8/16,9,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,2-Needs Analysis,57823,Referral,,2/13/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,2-Needs Analysis,355812,Referral,,1/3/17,1,1
Gleason LLC,J. Coltrane,Santa Ana,CA,Laptop-13,Laptop,1-Prospect,404415,Referral,,6/13/16,6,2
Gleason LLC,J. Coltrane,Oklahoma City,OK,Laptop-17,Laptop,4-Negotiation,369644,Web,,10/8/16,10,4
Gleason LLC,J. Coltrane,Rockford,IL,Laptop-17,Laptop,4-Negotiation,437662,Referral,,6/5/16,6,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,189679,Referral,,12/22/16,12,4
Zieme Inc,D. Gillespie,Dallas,TX,Laptop-17,Laptop,1-Prospect,343997,Referral,,10/14/16,10,4
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,4-Negotiation,483946,Trade Show,,10/19/16,10,4
Gleason LLC,J. Coltrane,Oklahoma City,OK,Phone-3,Phone,2-Needs Analysis,482600,Referral,,10/24/16,10,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,3-Proposal,486522,Trade Show,,7/23/16,7,3
Gleason LLC,J. Coltrane,Duluth,GA,Laptop-15,Laptop,2-Needs Analysis,373188,Referral,,4/9/16,4,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,Closed Lost,-191559,Trade Show,,4/6/16,4,2
Gleason LLC,J. Coltrane,Chattanooga,TN,Laptop-15,Laptop,4-Negotiation,199929,Web,,8/19/16,8,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,328488,Web,,10/23/16,10,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,4-Negotiation,300575,Web,,10/4/16,10,4
Gleason LLC,J. Coltrane,Houston,TX,Laptop-13,Laptop,1-Prospect,338478,Referral,,8/27/16,8,3
Gleason LLC,J. Coltrane,Tacoma,WA,Laptop-17,Laptop,2-Needs Analysis,289257,Referral,,7/18/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-13,Laptop,1-Prospect,385607,Trade Show,,11/14/16,11,4
Gleason LLC,J. Coltrane,Saint Petersburg,FL,Laptop-15,Laptop,1-Prospect,147269,Web,,9/6/16,9,3
Gleason LLC,J. Coltrane,Bronx,NY,Laptop-17,Laptop,2-Needs Analysis,218782,Trade Show,,2/6/16,2,1
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,1-Prospect,408142,Advertisement,,8/6/16,8,3
Gleason LLC,J. Coltrane,Springfield,IL,Tablet-10,Tablet,2-Needs Analysis,438757,Web,,1/17/17,1,1
Gleason LLC,J. Coltrane,Rochester,NY,Laptop-17,Laptop,2-Needs Analysis,244851,Partner,,9/21/16,9,3
Gleason LLC,J. Coltrane,Oklahoma City,OK,Laptop-17,Laptop,2-Needs Analysis,464276,Referral,,11/29/16,11,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,2-Needs Analysis,227460,Referral,,7/30/16,7,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,1-Prospect,495083,Trade Show,,12/30/16,12,4
Gleason LLC,J. Coltrane,Temple,TX,Laptop-17,Laptop,2-Needs Analysis,451583,Referral,,11/22/16,11,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,434963,Referral,,11/27/16,11,4
Walsh and Sons,C. Parker,New York City,NY,Laptop-17,Laptop,2-Needs Analysis,138886,Referral,,1/9/17,1,1
Zieme Inc,D. Gillespie,Louisville,KY,Laptop-15,Laptop,1-Prospect,146634,Partner,,10/21/16,10,4
Gleason LLC,J. Coltrane,Sacramento,CA,Laptop-17,Laptop,1-Prospect,348394,Trade Show,,7/23/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,2-Needs Analysis,415936,Referral,,7/3/16,7,3
Gleason LLC,J. Coltrane,Washington,DC,Laptop-17,Laptop,4-Negotiation,87654,Web,,7/3/16,7,3
Zieme Inc,D. Gillespie,San Jose,CA,Laptop-17,Laptop,1-Prospect,95308,Web,,6/23/16,6,2
Gleason LLC,J. Coltrane,Glendale,AZ,Laptop-13,Laptop,1-Prospect,8378,Web,,5/20/16,5,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,4-Negotiation,185606,Referral,,10/21/16,10,4
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,1-Prospect,313465,Trade Show,,1/1/17,1,1
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,4-Negotiation,458561,Trade Show,,10/8/16,10,4
Gleason LLC,J. Coltrane,Charlotte,NC,Laptop-17,Laptop,2-Needs Analysis,50213,Referral,,10/6/16,10,4
Gleason LLC,J. Coltrane,Sarasota,FL,Laptop-17,Laptop,2-Needs Analysis,251593,Referral,,7/30/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,108321,Trade Show,,9/13/16,9,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,251497,Referral,,7/21/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,111850,Trade Show,,5/10/16,5,2
Gleason LLC,J. Coltrane,Boise,ID,Laptop-17,Laptop,2-Needs Analysis,8287,Web,,1/4/17,1,1
Gleason LLC,J. Coltrane,Gatesville,TX,Tablet-8,Tablet,1-Prospect,27476,Referral,,6/1/16,6,2
Gleason LLC,J. Coltrane,Las Cruces,NM,Laptop-17,Laptop,3-Proposal,7674,Web,,1/19/17,1,1
Zieme Inc,D. Gillespie,Anchorage,AK,Laptop-17,Laptop,2-Needs Analysis,54284,Advertisement,,3/10/16,3,1
Gleason LLC,J. Coltrane,Savannah,GA,Laptop-17,Laptop,1-Prospect,208975,Referral,,9/7/16,9,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,73952,Referral,,9/5/16,9,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,5-Closed Won,-448791,Referral,212282,5/9/16,5,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,4-Negotiation,314785,Advertisement,,4/14/16,4,2
Dooley Group,J. Coltrane,Chicago,IL,Tablet-10,Tablet,5-Closed Won,-338556,Referral,59452,8/27/16,8,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,434075,Referral,,11/3/16,11,4
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,3-Proposal,181513,Referral,,8/19/16,8,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,104875,Referral,,4/9/16,4,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,265116,Referral,,12/7/16,12,4
Gleason LLC,J. Coltrane,Reno,NV,Laptop-17,Laptop,1-Prospect,323001,Advertisement,,11/24/16,11,4
Gleason LLC,J. Coltrane,Fayetteville,NC,Laptop-15,Laptop,1-Prospect,463832,Partner,,3/19/16,3,1
Gleason LLC,J. Coltrane,Canton,OH,Laptop-17,Laptop,1-Prospect,395280,Web,,3/30/16,3,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,327864,Trade Show,,9/8/16,9,3
Gleason LLC,J. Coltrane,Lake Worth,FL,Laptop-17,Laptop,1-Prospect,139202,Partner,,4/7/16,4,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,241132,Referral,,11/10/16,11,4
Dooley Group,J. Coltrane,Chicago,IL,Phone-3,Phone,5-Closed Won,-335542,Trade Show,236831,3/2/16,3,1
Gleason LLC,J. Coltrane,Juneau,AK,Laptop-17,Laptop,1-Prospect,62877,Web,,12/21/16,12,4
Christiansen LLC,D. Ellington,Dallas,TX,Phone-2,Phone,4-Negotiation,352338,Referral,,6/26/16,6,2
Gleason LLC,J. Coltrane,Silver Spring,MD,Laptop-15,Laptop,1-Prospect,390529,Trade Show,,6/14/16,6,2
Gleason LLC,J. Coltrane,Winter Haven,FL,Laptop-17,Laptop,2-Needs Analysis,226332,Advertisement,,7/22/16,7,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,2-Needs Analysis,333555,Referral,,3/29/16,3,1
Gleason LLC,J. Coltrane,Detroit,MI,Tablet-8,Tablet,2-Needs Analysis,188041,Referral,,10/10/16,10,4
Gleason LLC,J. Coltrane,Columbia,MO,Tablet-8,Tablet,3-Proposal,273779,Trade Show,,8/8/16,8,3
Gleason LLC,J. Coltrane,Saint Louis,MO,Laptop-13,Laptop,1-Prospect,149315,Trade Show,,7/7/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,2-Needs Analysis,42254,Trade Show,,12/6/16,12,4
Gleason LLC,J. Coltrane,Washington,DC,Laptop-15,Laptop,1-Prospect,477559,Referral,,9/5/16,9,3
Crona and Sons,B. Goodman,Huntington,WV,Laptop-15,Laptop,1-Prospect,209392,Trade Show,,4/16/16,4,2
Gleason LLC,J. Coltrane,Miami,FL,Laptop-17,Laptop,1-Prospect,147258,Referral,,5/24/16,5,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,21272,Web,,4/27/16,4,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,Closed Lost,-192459,Referral,,5/3/16,5,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,280578,Web,,4/2/16,4,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,5-Closed Won,-107472,Web,449558,4/21/16,4,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-13,Laptop,1-Prospect,19330,Referral,,2/13/16,2,1
 Daugherty and Daugherty,M. Roach,Baltimore,MD,Laptop-13,Laptop,Closed Lost,-435384,Referral,,3/27/16,3,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,434758,Referral,,2/13/16,2,1
