,date,name,fips,value,deaths
163,2020-02-21,Illinois,17,2,0
164,2020-02-21,Massachusetts,25,1,0
165,2020-02-21,Nebraska,31,11,0
166,2020-02-21,Texas,48,4,0
167,2020-02-21,Washington,53,1,0
168,2020-02-21,Wisconsin,55,1,0
169,2020-02-22,Arizona,4,1,0
170,2020-02-22,California,6,9,0
171,2020-02-22,Illinois,17,2,0
172,2020-02-22,Massachusetts,25,1,0
173,2020-02-22,Nebraska,31,11,0
174,2020-02-22,Texas,48,4,0
175,2020-02-22,Washington,53,1,0
176,2020-02-22,Wisconsin,55,1,0
177,2020-02-23,Arizona,4,1,0
178,2020-02-23,California,6,9,0
179,2020-02-23,Illinois,17,2,0
180,2020-02-23,Massachusetts,25,1,0
181,2020-02-23,Nebraska,31,11,0
182,2020-02-23,Texas,48,4,0
183,2020-02-23,Washington,53,1,0
184,2020-02-23,Wisconsin,55,1,0
185,2020-02-24,Arizona,4,1,0
186,2020-02-24,California,6,11,0
187,2020-02-24,Illinois,17,2,0
188,2020-02-24,Massachusetts,25,1,0
189,2020-02-24,Nebraska,31,12,0
190,2020-02-24,Texas,48,10,0
191,2020-02-24,Washington,53,5,0
192,2020-02-24,Wisconsin,55,1,0
193,2020-02-25,Arizona,4,1,0
194,2020-02-25,California,6,11,0
195,2020-02-25,Illinois,17,2,0
196,2020-02-25,Massachusetts,25,1,0
197,2020-02-25,Nebraska,31,13,0
198,2020-02-25,Texas,48,10,0
199,2020-02-25,Utah,49,1,0
200,2020-02-25,Washington,53,5,0
201,2020-02-25,Wisconsin,55,1,0
202,2020-02-26,Arizona,4,1,0
203,2020-02-26,California,6,26,0
204,2020-02-26,Illinois,17,2,0
205,2020-02-26,Massachusetts,25,1,0
206,2020-02-26,Nebraska,31,13,0
207,2020-02-26,Texas,48,10,0
208,2020-02-26,Utah,49,1,0
209,2020-02-26,Washington,53,5,0
210,2020-02-26,Wisconsin,55,1,0
211,2020-02-27,Arizona,4,1,0
212,2020-02-27,California,6,26,0
213,2020-02-27,Illinois,17,2,0
214,2020-02-27,Massachusetts,25,1,0
215,2020-02-27,Nebraska,31,13,0
216,2020-02-27,Texas,48,10,0
217,2020-02-27,Utah,49,1,0
218,2020-02-27,Washington,53,5,0
219,2020-02-27,Wisconsin,55,1,0
220,2020-02-28,Arizona,4,1,0
221,2020-02-28,California,6,27,0
222,2020-02-28,Illinois,17,2,0
223,2020-02-28,Massachusetts,25,1,0
224,2020-02-28,Nebraska,31,13,0
225,2020-02-28,Oregon,41,1,0
226,2020-02-28,Texas,48,11,0
227,2020-02-28,Utah,49,1,0
228,2020-02-28,Washington,53,7,0
229,2020-02-28,Wisconsin,55,1,0
230,2020-02-29,Arizona,4,1,0
231,2020-02-29,California,6,28,0
232,2020-02-29,Illinois,17,3,0
233,2020-02-29,Massachusetts,25,1,0
234,2020-02-29,Nebraska,31,13,0
235,2020-02-29,Oregon,41,1,0
236,2020-02-29,Texas,48,11,0
237,2020-02-29,Utah,49,1,0
238,2020-02-29,Washington,53,10,1
239,2020-02-29,Wisconsin,55,1,0
240,2020-03-01,Arizona,4,1,0
241,2020-03-01,California,6,33,0
242,2020-03-01,Florida,12,2,0
243,2020-03-01,Illinois,17,3,0
244,2020-03-01,Massachusetts,25,1,0
245,2020-03-01,Nebraska,31,13,0
246,2020-03-01,New York,36,1,0
247,2020-03-01,Oregon,41,2,0
248,2020-03-01,Rhode Island,44,2,0
249,2020-03-01,Texas,48,11,0
250,2020-03-01,Utah,49,1,0
251,2020-03-01,Washington,53,17,3
252,2020-03-01,Wisconsin,55,1,0
253,2020-03-02,Arizona,4,1,0
254,2020-03-02,California,6,38,0
255,2020-03-02,Florida,12,2,0
256,2020-03-02,Georgia,13,2,0
257,2020-03-02,Illinois,17,4,0
258,2020-03-02,Massachusetts,25,2,0
259,2020-03-02,Nebraska,31,13,0
260,2020-03-02,New Hampshire,33,1,0
261,2020-03-02,New York,36,1,0
262,2020-03-02,Oregon,41,2,0
263,2020-03-02,Rhode Island,44,2,0
264,2020-03-02,Texas,48,11,0
265,2020-03-02,Utah,49,1,0
266,2020-03-02,Washington,53,23,6
267,2020-03-02,Wisconsin,55,1,0
268,2020-03-03,Arizona,4,2,0
269,2020-03-03,California,6,45,0
270,2020-03-03,Florida,12,3,0
271,2020-03-03,Georgia,13,2,0
272,2020-03-03,Illinois,17,4,0
273,2020-03-03,Massachusetts,25,2,0
274,2020-03-03,Nebraska,31,13,0
275,2020-03-03,New Hampshire,33,2,0
276,2020-03-03,New York,36,2,0
277,2020-03-03,North Carolina,37,1,0
278,2020-03-03,Oregon,41,2,0
279,2020-03-03,Rhode Island,44,2,0
280,2020-03-03,Texas,48,11,0
281,2020-03-03,Utah,49,1,0
282,2020-03-03,Washington,53,32,10
283,2020-03-03,Wisconsin,55,1,0
284,2020-03-04,Arizona,4,2,0
285,2020-03-04,California,6,55,1
286,2020-03-04,Florida,12,3,0
287,2020-03-04,Georgia,13,2,0
288,2020-03-04,Illinois,17,4,0
289,2020-03-04,Massachusetts,25,2,0
290,2020-03-04,Nebraska,31,13,0
291,2020-03-04,New Hampshire,33,2,0
292,2020-03-04,New Jersey,34,1,0
293,2020-03-04,New York,36,11,0
294,2020-03-04,North Carolina,37,1,0
295,2020-03-04,Oregon,41,2,0
296,2020-03-04,Rhode Island,44,2,0
297,2020-03-04,Texas,48,12,0
298,2020-03-04,Utah,49,1,0
299,2020-03-04,Washington,53,47,11
300,2020-03-04,Wisconsin,55,1,0
301,2020-03-05,Arizona,4,2,0
302,2020-03-05,California,6,67,1
303,2020-03-05,Colorado,8,2,0
304,2020-03-05,Florida,12,4,0
305,2020-03-05,Georgia,13,2,0
306,2020-03-05,Illinois,17,5,0
307,2020-03-05,Maryland,24,3,0
308,2020-03-05,Massachusetts,25,3,0
309,2020-03-05,Nebraska,31,13,0
310,2020-03-05,Nevada,32,2,0
311,2020-03-05,New Hampshire,33,2,0
312,2020-03-05,New Jersey,34,2,0
313,2020-03-05,New York,36,22,0
314,2020-03-05,North Carolina,37,1,0
315,2020-03-05,Oregon,41,2,0
316,2020-03-05,Rhode Island,44,2,0
317,2020-03-05,Tennessee,47,1,0
318,2020-03-05,Texas,48,16,0
319,2020-03-05,Utah,49,1,0
320,2020-03-05,Washington,53,75,11
321,2020-03-05,Wisconsin,55,1,0
322,2020-03-06,Arizona,4,3,0
323,2020-03-06,California,6,81,1
324,2020-03-06,Colorado,8,8,0
325,2020-03-06,Florida,12,7,2
326,2020-03-06,Georgia,13,3,0
327,2020-03-06,Hawaii,15,1,0
328,2020-03-06,Illinois,17,6,0
329,2020-03-06,Indiana,18,1,0
330,2020-03-06,Kentucky,21,1,0
331,2020-03-06,Maryland,24,3,0
332,2020-03-06,Massachusetts,25,8,0
333,2020-03-06,Minnesota,27,1,0
334,2020-03-06,Nebraska,31,14,0
335,2020-03-06,Nevada,32,2,0
336,2020-03-06,New Hampshire,33,2,0
337,2020-03-06,New Jersey,34,4,0
338,2020-03-06,New York,36,44,0
339,2020-03-06,North Carolina,37,2,0
340,2020-03-06,Oklahoma,40,1,0
341,2020-03-06,Oregon,41,2,0
342,2020-03-06,Pennsylvania,42,2,0
343,2020-03-06,Rhode Island,44,3,0
344,2020-03-06,South Carolina,45,2,0
345,2020-03-06,Tennessee,47,1,0
346,2020-03-06,Texas,48,19,0
347,2020-03-06,Utah,49,3,0
348,2020-03-06,Washington,53,86,12
349,2020-03-06,Wisconsin,55,1,0
350,2020-03-07,Arizona,4,5,0
351,2020-03-07,California,6,100,1
352,2020-03-07,Colorado,8,8,0
353,2020-03-07,District of Columbia,11,1,0
354,2020-03-07,Florida,12,12,2
355,2020-03-07,Georgia,13,7,0
356,2020-03-07,Hawaii,15,1,0
357,2020-03-07,Illinois,17,6,0
358,2020-03-07,Indiana,18,1,0
359,2020-03-07,Kansas,20,1,0
360,2020-03-07,Kentucky,21,1,0
361,2020-03-07,Maryland,24,3,0
362,2020-03-07,Massachusetts,25,13,0
363,2020-03-07,Minnesota,27,1,0
364,2020-03-07,Missouri,29,1,0
365,2020-03-07,Nebraska,31,14,0
366,2020-03-07,Nevada,32,2,0
367,2020-03-07,New Hampshire,33,4,0
368,2020-03-07,New Jersey,34,4,0
369,2020-03-07,New York,36,89,0
370,2020-03-07,North Carolina,37,2,0
371,2020-03-07,Oklahoma,40,1,0
372,2020-03-07,Oregon,41,6,0
373,2020-03-07,Pennsylvania,42,4,0
374,2020-03-07,Rhode Island,44,3,0
375,2020-03-07,South Carolina,45,2,0
376,2020-03-07,Tennessee,47,1,0
377,2020-03-07,Texas,48,19,0
378,2020-03-07,Utah,49,3,0
379,2020-03-07,Vermont,50,1,0
380,2020-03-07,Virginia,51,1,0
381,2020-03-07,Washington,53,110,16
382,2020-03-07,Wisconsin,55,1,0
383,2020-03-08,Arizona,4,5,0
384,2020-03-08,California,6,112,1
385,2020-03-08,Colorado,8,8,0
386,2020-03-08,Connecticut,9,1,0
387,2020-03-08,District of Columbia,11,1,0
388,2020-03-08,Florida,12,13,2
389,2020-03-08,Georgia,13,11,0
390,2020-03-08,Hawaii,15,2,0
391,2020-03-08,Illinois,17,7,0
392,2020-03-08,Indiana,18,2,0
393,2020-03-08,Iowa,19,3,0
394,2020-03-08,Kansas,20,1,0
395,2020-03-08,Kentucky,21,4,0
396,2020-03-08,Maryland,24,5,0
397,2020-03-08,Massachusetts,25,28,0
398,2020-03-08,Minnesota,27,2,0
399,2020-03-08,Missouri,29,1,0
400,2020-03-08,Nebraska,31,16,0
401,2020-03-08,Nevada,32,4,0
402,2020-03-08,New Hampshire,33,4,0
403,2020-03-08,New Jersey,34,6,0
404,2020-03-08,New York,36,106,0
405,2020-03-08,North Carolina,37,2,0
406,2020-03-08,Oklahoma,40,1,0
407,2020-03-08,Oregon,41,13,0
408,2020-03-08,Pennsylvania,42,6,0
409,2020-03-08,Rhode Island,44,3,0
410,2020-03-08,South Carolina,45,6,0
411,2020-03-08,Tennessee,47,3,0
412,2020-03-08,Texas,48,23,0
413,2020-03-08,Utah,49,3,0
414,2020-03-08,Vermont,50,1,0
415,2020-03-08,Virginia,51,2,0
416,2020-03-08,Washington,53,141,19
417,2020-03-08,Wisconsin,55,1,0
418,2020-03-09,Arizona,4,6,0
419,2020-03-09,California,6,172,2
420,2020-03-09,Colorado,8,12,0
421,2020-03-09,Connecticut,9,2,0
422,2020-03-09,District of Columbia,11,4,0
423,2020-03-09,Florida,12,14,2
424,2020-03-09,Georgia,13,17,0
425,2020-03-09,Hawaii,15,2,0
426,2020-03-09,Illinois,17,11,0
427,2020-03-09,Indiana,18,4,0
428,2020-03-09,Iowa,19,8,0
429,2020-03-09,Kansas,20,1,0
430,2020-03-09,Kentucky,21,5,0
431,2020-03-09,Louisiana,22,1,0
432,2020-03-09,Maryland,24,6,0
433,2020-03-09,Massachusetts,25,41,0
434,2020-03-09,Minnesota,27,2,0
435,2020-03-09,Missouri,29,1,0
436,2020-03-09,Nebraska,31,16,0
437,2020-03-09,Nevada,32,4,0
438,2020-03-09,New Hampshire,33,4,0
439,2020-03-09,New Jersey,34,11,0
440,2020-03-09,New York,36,142,0
441,2020-03-09,North Carolina,37,7,0
442,2020-03-09,Ohio,39,3,0
443,2020-03-09,Oklahoma,40,1,0
444,2020-03-09,Oregon,41,13,0
445,2020-03-09,Pennsylvania,42,10,0
446,2020-03-09,Rhode Island,44,3,0
447,2020-03-09,South Carolina,45,7,0
448,2020-03-09,Tennessee,47,4,0
449,2020-03-09,Texas,48,24,0
450,2020-03-09,Utah,49,3,0
451,2020-03-09,Vermont,50,1,0
452,2020-03-09,Virginia,51,5,0
453,2020-03-09,Washington,53,179,22
454,2020-03-09,Wisconsin,55,2,0
455,2020-03-10,Arizona,4,6,0
456,2020-03-10,California,6,179,3
457,2020-03-10,Colorado,8,17,0
458,2020-03-10,Connecticut,9,2,0
459,2020-03-10,District of Columbia,11,4,0
460,2020-03-10,Florida,12,23,2
461,2020-03-10,Georgia,13,22,0
462,2020-03-10,Hawaii,15,2,0
463,2020-03-10,Illinois,17,19,0
464,2020-03-10,Indiana,18,6,0
465,2020-03-10,Iowa,19,13,0
466,2020-03-10,Kansas,20,1,0
467,2020-03-10,Kentucky,21,7,0
468,2020-03-10,Louisiana,22,6,0
469,2020-03-10,Maryland,24,9,0
470,2020-03-10,Massachusetts,25,92,0
471,2020-03-10,Michigan,26,2,0
472,2020-03-10,Minnesota,27,3,0
473,2020-03-10,Missouri,29,1,0
474,2020-03-10,Nebraska,31,17,0
475,2020-03-10,Nevada,32,4,0
476,2020-03-10,New Hampshire,33,5,0
477,2020-03-10,New Jersey,34,15,1
478,2020-03-10,New York,36,173,0
479,2020-03-10,North Carolina,37,7,0
480,2020-03-10,Ohio,39,3,0
481,2020-03-10,Oklahoma,40,2,0
482,2020-03-10,Oregon,41,14,0
483,2020-03-10,Pennsylvania,42,12,0
484,2020-03-10,Rhode Island,44,5,0
485,2020-03-10,South Carolina,45,9,0
486,2020-03-10,South Dakota,46,5,1
487,2020-03-10,Tennessee,47,7,0
488,2020-03-10,Texas,48,31,0
489,2020-03-10,Utah,49,4,0
490,2020-03-10,Vermont,50,1,0
491,2020-03-10,Virginia,51,8,0
492,2020-03-10,Washington,53,279,24
493,2020-03-10,Wisconsin,55,3,0
494,2020-03-11,Arizona,4,9,0
495,2020-03-11,Arkansas,5,1,0
496,2020-03-11,California,6,202,4
497,2020-03-11,Colorado,8,34,0
498,2020-03-11,Connecticut,9,3,0
499,2020-03-11,Delaware,10,1,0
500,2020-03-11,District of Columbia,11,10,0
501,2020-03-11,Florida,12,26,2
502,2020-03-11,Georgia,13,31,0
503,2020-03-11,Hawaii,15,2,0
504,2020-03-11,Illinois,17,25,0
505,2020-03-11,Indiana,18,11,0
506,2020-03-11,Iowa,19,14,0
507,2020-03-11,Kansas,20,1,0
508,2020-03-11,Kentucky,21,7,0
509,2020-03-11,Louisiana,22,13,0
510,2020-03-11,Maryland,24,13,0
511,2020-03-11,Massachusetts,25,95,0
512,2020-03-11,Michigan,26,2,0
513,2020-03-11,Minnesota,27,5,0
514,2020-03-11,Mississippi,28,1,0
515,2020-03-11,Missouri,29,1,0
516,2020-03-11,Nebraska,31,23,0
517,2020-03-11,Nevada,32,7,0
518,2020-03-11,New Hampshire,33,5,0
519,2020-03-11,New Jersey,34,23,1
520,2020-03-11,New Mexico,35,4,0
521,2020-03-11,New York,36,217,0
522,2020-03-11,North Carolina,37,8,0
523,2020-03-11,North Dakota,38,1,0
524,2020-03-11,Ohio,39,4,0
525,2020-03-11,Oklahoma,40,2,0
526,2020-03-11,Oregon,41,20,0
527,2020-03-11,Pennsylvania,42,16,0
528,2020-03-11,Rhode Island,44,5,0
529,2020-03-11,South Carolina,45,10,0
530,2020-03-11,South Dakota,46,8,1
531,2020-03-11,Tennessee,47,8,0
532,2020-03-11,Texas,48,33,0
533,2020-03-11,Utah,49,5,0
534,2020-03-11,Vermont,50,2,0
535,2020-03-11,Virginia,51,10,0
536,2020-03-11,Washington,53,338,29
537,2020-03-11,Wisconsin,55,6,0
538,2020-03-11,Wyoming,56,1,0
539,2020-03-12,Alaska,2,1,0
540,2020-03-12,Arizona,4,9,0
541,2020-03-12,Arkansas,5,6,0
542,2020-03-12,California,6,252,4
543,2020-03-12,Colorado,8,49,1
544,2020-03-12,Connecticut,9,6,0
545,2020-03-12,Delaware,10,4,0
546,2020-03-12,District of Columbia,11,10,0
547,2020-03-12,Florida,12,46,2
548,2020-03-12,Georgia,13,31,1
549,2020-03-12,Hawaii,15,2,0
550,2020-03-12,Illinois,17,32,0
551,2020-03-12,Indiana,18,12,0
552,2020-03-12,Iowa,19,16,0
553,2020-03-12,Kansas,20,5,1
554,2020-03-12,Kentucky,21,11,0
555,2020-03-12,Louisiana,22,14,0
556,2020-03-12,Maine,23,1,0
557,2020-03-12,Maryland,24,13,0
558,2020-03-12,Massachusetts,25,108,0
559,2020-03-12,Michigan,26,12,0
560,2020-03-12,Minnesota,27,9,0
561,2020-03-12,Mississippi,28,1,0
562,2020-03-12,Missouri,29,2,0
563,2020-03-12,Nebraska,31,24,0
564,2020-03-12,Nevada,32,11,0
565,2020-03-12,New Hampshire,33,6,0
566,2020-03-12,New Jersey,34,29,1
567,2020-03-12,New Mexico,35,6,0
568,2020-03-12,New York,36,326,0
569,2020-03-12,North Carolina,37,16,0
570,2020-03-12,North Dakota,38,1,0
571,2020-03-12,Ohio,39,5,0
572,2020-03-12,Oklahoma,40,2,0
573,2020-03-12,Oregon,41,30,0
574,2020-03-12,Pennsylvania,42,22,0
575,2020-03-12,Rhode Island,44,5,0
576,2020-03-12,South Carolina,45,12,0
577,2020-03-12,South Dakota,46,8,1
578,2020-03-12,Tennessee,47,18,0
579,2020-03-12,Texas,48,41,0
580,2020-03-12,Utah,49,7,0
581,2020-03-12,Vermont,50,2,0
582,2020-03-12,Virginia,51,17,0
583,2020-03-12,Washington,53,419,32
584,2020-03-12,Wisconsin,55,8,0
585,2020-03-12,Wyoming,56,1,0
586,2020-03-13,Alabama,1,6,0
587,2020-03-13,Alaska,2,1,0
588,2020-03-13,Arizona,4,9,0
589,2020-03-13,Arkansas,5,7,0
590,2020-03-13,California,6,320,5
591,2020-03-13,Colorado,8,78,2
592,2020-03-13,Connecticut,9,11,0
593,2020-03-13,Delaware,10,4,0
594,2020-03-13,District of Columbia,11,10,0
595,2020-03-13,Florida,12,70,2
596,2020-03-13,Georgia,13,41,1
597,2020-03-13,Hawaii,15,2,0
598,2020-03-13,Idaho,16,1,0
599,2020-03-13,Illinois,17,46,0
600,2020-03-13,Indiana,18,12,0
601,2020-03-13,Iowa,19,17,0
602,2020-03-13,Kansas,20,6,1
603,2020-03-13,Kentucky,21,11,0
604,2020-03-13,Louisiana,22,36,0
605,2020-03-13,Maine,23,2,0
606,2020-03-13,Maryland,24,18,0
607,2020-03-13,Massachusetts,25,123,0
608,2020-03-13,Michigan,26,25,0
609,2020-03-13,Minnesota,27,14,0
610,2020-03-13,Mississippi,28,6,0
611,2020-03-13,Missouri,29,4,0
612,2020-03-13,Montana,30,4,0
613,2020-03-13,Nebraska,31,27,0
614,2020-03-13,Nevada,32,19,0
615,2020-03-13,New Hampshire,33,7,0
616,2020-03-13,New Jersey,34,50,1
617,2020-03-13,New Mexico,35,10,0
618,2020-03-13,New York,36,421,0
619,2020-03-13,North Carolina,37,18,0
620,2020-03-13,North Dakota,38,1,0
621,2020-03-13,Ohio,39,13,0
622,2020-03-13,Oklahoma,40,3,0
623,2020-03-13,Oregon,41,30,0
624,2020-03-13,Pennsylvania,42,41,0
625,2020-03-13,Puerto Rico,72,3,0
626,2020-03-13,Rhode Island,44,20,0
627,2020-03-13,South Carolina,45,13,0
628,2020-03-13,South Dakota,46,9,1
629,2020-03-13,Tennessee,47,26,0
630,2020-03-13,Texas,48,58,0
631,2020-03-13,Utah,49,7,0
632,2020-03-13,Vermont,50,2,0
633,2020-03-13,Virginia,51,30,0
634,2020-03-13,Washington,53,511,37
635,2020-03-13,Wisconsin,55,19,0
636,2020-03-13,Wyoming,56,2,0
637,2020-03-14,Alabama,1,12,0
638,2020-03-14,Alaska,2,1,0
639,2020-03-14,Arizona,4,12,0
640,2020-03-14,Arkansas,5,9,0
641,2020-03-14,California,6,381,5
642,2020-03-14,Colorado,8,103,2
643,2020-03-14,Connecticut,9,20,0
644,2020-03-14,Delaware,10,4,0
645,2020-03-14,District of Columbia,11,16,0
646,2020-03-14,Florida,12,70,3
647,2020-03-14,Georgia,13,65,1
648,2020-03-14,Hawaii,15,4,0
649,2020-03-14,Idaho,16,5,0
650,2020-03-14,Illinois,17,66,0
651,2020-03-14,Indiana,18,15,0
652,2020-03-14,Iowa,19,18,0
653,2020-03-14,Kansas,20,8,1
654,2020-03-14,Kentucky,21,18,0
655,2020-03-14,Louisiana,22,77,1
656,2020-03-14,Maine,23,3,0
657,2020-03-14,Maryland,24,27,0
658,2020-03-14,Massachusetts,25,138,0
659,2020-03-14,Michigan,26,33,0
660,2020-03-14,Minnesota,27,21,0
661,2020-03-14,Mississippi,28,6,0
662,2020-03-14,Missouri,29,5,0
663,2020-03-14,Montana,30,6,0
664,2020-03-14,Nebraska,31,29,0
665,2020-03-14,Nevada,32,21,0
666,2020-03-14,New Hampshire,33,7,0
667,2020-03-14,New Jersey,34,75,2
668,2020-03-14,New Mexico,35,13,0
669,2020-03-14,New York,36,610,2
670,2020-03-14,North Carolina,37,25,0
671,2020-03-14,North Dakota,38,1,0
672,2020-03-14,Ohio,39,26,0
673,2020-03-14,Oklahoma,40,4,0
674,2020-03-14,Oregon,41,36,1
675,2020-03-14,Pennsylvania,42,47,0
676,2020-03-14,Puerto Rico,72,4,0
677,2020-03-14,Rhode Island,44,20,0
678,2020-03-14,South Carolina,45,19,0
679,2020-03-14,South Dakota,46,9,1
680,2020-03-14,Tennessee,47,32,0
681,2020-03-14,Texas,48,69,0
682,2020-03-14,Utah,49,21,0
683,2020-03-14,Vermont,50,5,0
684,2020-03-14,Virgin Islands,78,1,0
685,2020-03-14,Virginia,51,42,1
686,2020-03-14,Washington,53,609,40
687,2020-03-14,Wisconsin,55,27,0
688,2020-03-14,Wyoming,56,3,0
689,2020-03-15,Alabama,1,23,0
690,2020-03-15,Alaska,2,1,0
691,2020-03-15,Arizona,4,13,0
